First_day_week,prices
2018-03-12,1492.1739130434783
2018-03-19,1439.1363636363637
2018-03-26,1476.3
2018-04-02,1432.0
2018-04-09,1513.5396825396826
2018-04-16,1538.5238095238096
2018-04-23,1601.076923076923
2018-04-30,1626.8529411764705
2018-05-07,1595.5428571428572
2018-05-14,1788.6206896551723
2018-05-21,1597.646551724138
2018-05-28,1624.7428571428572
2018-06-04,1659.3866666666668
2018-06-11,1541.1833333333334
2018-06-18,1395.3809523809523
2018-06-25,1546.2941176470588
2018-07-02,1595.9285714285713
2018-07-09,1487.7142857142858
2018-07-16,1469.076923076923
2018-07-23,1607.0677966101696
2018-07-30,1590.5526315789473
2018-08-06,1644.6666666666667
2018-08-13,1638.4545454545455
2018-08-20,1757.3529411764705
2018-08-27,1729.0344827586207
2018-09-03,1574.0
2018-09-10,1602.4545454545455
2018-09-17,1674.1052631578948
2018-09-24,1691.6666666666667
2018-10-01,1703.8461538461538
2018-10-08,1586.3333333333333
2018-10-15,1445.875
2018-10-22,1576.4
2018-10-29,1561.235294117647
2018-11-05,1541.0
2018-11-12,1591.0
2018-11-19,1596.7
2018-11-26,1468.2666666666667
2018-12-03,1490.6363636363637
2018-12-10,1550.2592592592594
2018-12-17,1518.0
2018-12-24,1565.4444444444443
2018-12-31,1664.875
2019-01-07,1528.0
2019-01-14,1726.8
2019-01-21,1661.9166666666667
2019-01-28,1653.8
2019-02-04,1557.875
2019-02-11,1752.0
2019-02-18,1663.7272727272727
2019-02-25,1732.3666666666666
2019-03-04,1625.8181818181818
2019-03-11,1774.8333333333333
2019-03-18,1592.0
2019-03-25,1784.0
2019-04-01,1808.5833333333333
2019-04-08,1845.3333333333333
2019-04-15,1605.0681818181818
2019-04-22,1750.2272727272727
2019-04-29,1738.2222222222222
2019-05-06,1773.625
2019-05-13,1834.0
2019-05-20,1705.4
2019-05-27,1674.3636363636363
2019-06-03,1836.9
2019-06-10,1888.7692307692307
2019-06-17,1747.3333333333333
2019-06-24,1960.2727272727273
2019-07-01,1899.5294117647059
2019-07-08,1793.1818181818182
2019-07-15,1968.6363636363637
2019-07-22,1798.5
2019-07-29,1978.9
2019-08-05,1997.9166666666667
2019-08-12,2127.0
2019-08-19,2029.4
2019-08-26,1807.0
2019-09-02,2368.6666666666665
2019-09-09,2355.1666666666665
2019-09-16,2241.0
2019-09-23,2033.8333333333333
2019-09-30,2043.375
2019-10-07,1971.1666666666667
2019-10-14,2019.0588235294117
2019-10-21,1921.6666666666667
2019-10-28,2265.3333333333335
2019-11-04,2182.2
2019-11-11,2273.75
2019-11-18,2047.3333333333333
2019-11-25,1899.2
2019-12-02,1963.7333333333333
2019-12-09,2258.0
2019-12-16,1786.6666666666667
2019-12-23,2001.6666666666667
2019-12-30,1986.25
2020-01-06,2131.5
2020-01-13,2262.5
2020-01-20,2134.8571428571427
2020-01-27,2185.5714285714284
2020-02-03,2311.0
2020-02-10,2377.6857142857143
2020-02-17,2575.5714285714284
2020-02-24,2074.75
2020-03-02,2043.0526315789473
2020-03-09,1891.0
2020-03-16,2233.3333333333335
2020-03-23,2028.032786885246
2020-03-30,2170.0
2020-04-06,2052.0
2020-04-13,2035.6
2020-04-20,2165.0
2020-04-27,2197.8
2020-05-04,2368.75
2020-05-11,2035.2
2020-05-18,2115.2727272727275
2020-05-25,1917.0
2020-06-01,2303.3333333333335
2020-06-08,2281.25
2020-06-15,2150.0
2020-06-22,2104.8333333333335
2020-06-29,2192.3333333333335
2020-07-06,2211.0
2020-07-13,2040.7
2020-07-20,2070.0
