date,county_name,avg_day,pollutant,units,avg_year
2000,Baix Llobregat,55.404043079096,PM10,µg/m3,55.404043079096
2000,Barcelonès,41.211247947454844,PM10,µg/m3,41.211247947454844
2001,Baix Llobregat,58.345917630057826,PM10,µg/m3,58.345917630057826
2001,Barcelonès,37.73971979621544,PM10,µg/m3,37.73971979621544
2002,Baix Llobregat,54.78147779986746,PM10,µg/m3,54.78147779986746
2002,Barcelonès,37.0547900262467,PM10,µg/m3,37.0547900262467
2003,Baix Llobregat,47.406223358908775,PM10,µg/m3,47.406223358908775
2003,Barcelonès,33.964692633810266,PM10,µg/m3,33.964692633810266
2003,Berguedà,19.514285714285716,PM10,µg/m3,19.514285714285716
2003,Segrià,0.11805555555555554,PM10,µg/m3,0.11805555555555554
2004,Baix Llobregat,43.504653868528194,PM10,µg/m3,43.504653868528194
2004,Barcelonès,34.064186426819234,PM10,µg/m3,34.064186426819234
2004,Berguedà,21.76102204408816,PM10,µg/m3,21.76102204408816
2004,Garraf,35.66987179487181,PM10,µg/m3,35.66987179487181
2005,Baix Llobregat,53.29215456674471,PM10,µg/m3,53.29215456674471
2005,Barcelonès,40.62569944044763,PM10,µg/m3,40.62569944044763
2005,Garraf,38.879331683168324,PM10,µg/m3,38.879331683168324
2006,Alt Penedès,19.916666666666664,PM10,µg/m3,19.916666666666664
2006,Baix Llobregat,54.91845776772247,PM10,µg/m3,54.91845776772247
2006,Barcelonès,46.89778784648188,PM10,µg/m3,46.89778784648188
2006,Berguedà,19.570065789473674,PM10,µg/m3,19.570065789473674
2006,Garraf,40.896344580777075,PM10,µg/m3,40.896344580777075
2007,Alt Penedès,28.039018952062435,PM10,µg/m3,28.039018952062435
2007,Baix Camp,10.496944444444448,PM10,µg/m3,10.496944444444448
2007,Baix Llobregat,54.91169154228854,PM10,µg/m3,54.91169154228854
2007,Barcelonès,43.222697507393306,PM10,µg/m3,43.222697507393306
2007,Berguedà,20.740655904595695,PM10,µg/m3,20.740655904595695
2007,Garraf,31.216690891472844,PM10,µg/m3,31.216690891472844
2008,Alt Penedès,26.490384615384617,PM10,µg/m3,26.490384615384617
2008,Baix Camp,18.40459363957597,PM10,µg/m3,18.40459363957597
2008,Baix Llobregat,36.71133207070705,PM10,µg/m3,36.71133207070705
2008,Barcelonès,37.101142960812844,PM10,µg/m3,37.101142960812844
2008,Berguedà,17.817887931034463,PM10,µg/m3,17.817887931034463
2008,Garraf,32.60492886178862,PM10,µg/m3,32.60492886178862
2008,Segrià,27.81666666666666,PM10,µg/m3,27.81666666666666
2008,Vallès Occidental,30.16879251700682,PM10,µg/m3,30.16879251700682
2008,Vallès Oriental,28.5290312876053,PM10,µg/m3,28.5290312876053
2009,Alt Penedès,23.326607915893646,PM10,µg/m3,23.326607915893646
2009,Bages,31.262661955241462,PM10,µg/m3,31.262661955241462
2009,Baix Camp,24.433626465661636,PM10,µg/m3,24.433626465661636
2009,Baix Llobregat,30.730757575757558,PM10,µg/m3,30.730757575757558
2009,Barcelonès,34.100248550124235,PM10,µg/m3,34.100248550124235
2009,Berguedà,17.224872122762154,PM10,µg/m3,17.224872122762154
2009,Garraf,30.346135265700486,PM10,µg/m3,30.346135265700486
2009,Maresme,24.02206790123457,PM10,µg/m3,24.02206790123457
2009,Montsià,26.68223684210527,PM10,µg/m3,26.68223684210527
2009,Segrià,31.379335260115596,PM10,µg/m3,31.379335260115596
2009,Vallès Occidental,32.11406096361846,PM10,µg/m3,32.11406096361846
2009,Vallès Oriental,26.897512437810953,PM10,µg/m3,26.897512437810953
2010,Alt Penedès,19.037754595131656,PM10,µg/m3,19.037754595131656
2010,Bages,23.87739174219538,PM10,µg/m3,23.87739174219538
2010,Baix Camp,20.09642261159784,PM10,µg/m3,20.09642261159784
2010,Baix Llobregat,28.34021842355175,PM10,µg/m3,28.34021842355175
2010,Barcelonès,31.594771241830067,PM10,µg/m3,31.594771241830067
2010,Berguedà,13.736635220125782,PM10,µg/m3,13.736635220125782
2010,Cerdanya,18.82638888888889,PM10,µg/m3,18.82638888888889
2010,Garraf,19.844218164794018,PM10,µg/m3,19.844218164794018
2010,Maresme,19.83200636942675,PM10,µg/m3,19.83200636942675
2010,Montsià,18.84324758842445,PM10,µg/m3,18.84324758842445
2010,Segrià,26.558431952662747,PM10,µg/m3,26.558431952662747
2010,Vallès Occidental,31.684744268077626,PM10,µg/m3,31.684744268077626
2010,Vallès Oriental,19.186741767764307,PM10,µg/m3,19.186741767764307
2011,Alt Penedès,20.186046511627897,PM10,µg/m3,20.186046511627897
2011,Bages,27.9509493670886,PM10,µg/m3,27.9509493670886
2011,Baix Camp,20.46495186522261,PM10,µg/m3,20.46495186522261
2011,Baix Llobregat,33.52625240847785,PM10,µg/m3,33.52625240847785
2011,Barcelonès,30.015657084188938,PM10,µg/m3,30.015657084188938
2011,Berguedà,12.830364506020118,PM10,µg/m3,12.830364506020118
2011,Cerdanya,18.325848303393187,PM10,µg/m3,18.325848303393187
2011,Garraf,23.181845238095224,PM10,µg/m3,23.181845238095224
2011,Maresme,20.980663672654693,PM10,µg/m3,20.980663672654693
2011,Montsià,22.42102713178295,PM10,µg/m3,22.42102713178295
2011,Segrià,28.58239700374531,PM10,µg/m3,28.58239700374531
2011,Vallès Occidental,30.079451345755746,PM10,µg/m3,30.079451345755746
2011,Vallès Oriental,23.60531135531136,PM10,µg/m3,23.60531135531136
2012,Alt Penedès,21.660347551342817,PM10,µg/m3,21.660347551342817
2012,Bages,28.203914141414142,PM10,µg/m3,28.203914141414142
