Country,Happiness_Score_All,Average_working_hours
Norway,7.537750044822692,1423.0404666666666
Denmark,7.532499958992005,1407.2055
Switzerland,7.519249989509583,1589.6089
Iceland,7.515250046730043,1498.6328999999998
Finland,7.479999965667725,1643.7449666666664
Netherlands,7.3837499637603745,1430.2240333333332
Canada,7.3687499961853025,1702.1675666666663
New Zealand,7.314500032424927,1753.6666666666667
Sweden,7.3132499799728405,1615.2735666666667
Australia,7.288249979972839,1737.572766666667
Israel,7.236999955177308,1912.2262
Austria,7.116000010490417,1607.0995333333333
Costa Rica,7.115999999046325,2193.8924
United States,7.025500007629395,1761.0680333333337
Ireland,6.950250059127808,1741.6474333333333
Belgium,6.920999948501588,1544.8980333333332
Germany,6.9150000534057625,1360.1934
Luxembourg,6.897499979019165,1519.7989666666665
United Kingdom,6.780000056266785,1669.2450333333334
Mexico,6.7577500171661375,2252.6666666666665
Brazil,6.747250057220461,1709.4856
Chile,6.625749987602235,1978.6666666666667
Singapore,6.61300000667572,2251.1528333333335
Czech Republic,6.605250051498412,1770.2400333333335
Argentina,6.552749994277955,1691.5363
France,6.49599997806549,1508.7594333333334
Malta,6.485999987602234,2012.1650666666665
Uruguay,6.465749999046325,1552.3470000000004
Colombia,6.3937499685287476,1997.7479999999998
Thailand,6.356249946594238,2185.4456
Spain,6.350749969482423,1695.7877666666666
Slovakia,6.086000012397765,1746.4425666666666
Malaysia,6.045250027656555,2238.2729
Ecuador,5.9829999742507916,1701.3558
Italy,5.972250056266785,1721.6741333333332
Japan,5.935750019073488,1743.7544333333335
Poland,5.930500012397765,2042.6211
South Korea,5.882999955177308,2067.6529666666665
Lithuania,5.8749999876022345,1862.8411333333333
Russia,5.8362499551773075,1975.3333333333333
Slovenia,5.830499974250793,1669.9555333333335
Peru,5.736250038146972,1932.4581
Cyprus,5.654499953269958,1785.5824333333333
Latvia,5.610249976158142,1892.9415999999999
Romania,5.6054999523162845,1794.8205666666665
Estonia,5.57400001525879,1854.4995333333334
Croatia,5.465250055313111,1832.5054666666667
Turkey,5.426,1832.0
Philippines,5.326499957084655,2148.5645
Indonesia,5.267000020980835,2024.287
Pakistan,5.26675001335144,2096.1443
China,5.225999940872192,2174.3501
Hungary,5.222249970436096,1932.7952999999998
Portugal,5.207500042915345,1867.5597333333333
Vietnam,5.1494999704360955,2169.5916
Greece,5.118750059127808,2026.0421333333334
Nigeria,5.092999970436096,1785.9861
South Africa,4.663499999046325,2209.0916
Bangladesh,4.611249950408935,2232.3542
Bulgaria,4.520500056266785,1643.8267666666663
Sri Lanka,4.399250014305115,1923.9354
Myanmar,4.388750019073487,2437.8633
India,4.368500014305115,2117.0117
Cambodia,4.08175005531311,2455.5508
