year,county_name,area_Km2,population,pop_density,avg_price,pollutant,units,pollution_year
2013,Alt Penedès,21.95148148148148,3934,293.1212341638387,1786.45,PM10,µg/m3,17.54636524822695
2013,Bages,37.11685714285715,5306,203.5054930470077,1593.08,PM10,µg/m3,22.48249506903352
2013,Baix Camp,24.89821428571429,6909,206.1194062320035,1925.52,PM10,µg/m3,14.276010404161664
2013,Baix Llobregat,16.19966666666667,26954,2358.468835433201,2882.48,PM10,µg/m3,26.624834327369157
2013,Barcelonès,29.15,448087,14605.59749096775,4015.35,PM10,µg/m3,24.28870884773665
2013,Berguedà,38.23387096774193,1308,63.44162626589627,2410.61,PM10,µg/m3,13.546238244514111
2013,Cerdanya,32.15823529411765,1095,51.95358135100182,4684.57,PM10,µg/m3,12.927016985138
2013,Garraf,30.85166666666667,24434,798.7240962568743,3408.68,PM10,µg/m3,21.32663451232584
2013,Maresme,13.28433333333333,14581,2028.830352806325,2299.91,PM10,µg/m3,17.710416666666667
2013,Montsià,61.285,5964,94.32502295620115,1253.08,PM10,µg/m3,17.115322580645145
2013,Segrià,36.75421052631579,5530,101.5668463732049,1710.18,PM10,µg/m3,24.165577342047936
2013,Tarragonès,14.51727272727273,11419,568.4292939377642,2098.18,PM10,µg/m3,15.008398950131236
2013,Vallès Occidental,25.35347826086957,39083,2193.761529176174,2584.6,PM10,µg/m3,24.76191931540343
2013,Vallès Oriental,19.79023255813954,9371,789.184622171988,2247.02,PM10,µg/m3,19.391479099678445
2014,Alt Penedès,21.95148148148148,3938,293.3108279125387,1629.62,PM10,µg/m3,21.72902029664327
2014,Bages,37.11685714285715,5268,202.6834610280125,1454.01,PM10,µg/m3,24.518034825870657
2014,Baix Camp,24.89821428571429,6794,203.5884314366916,1767.84,PM10,µg/m3,16.12608042089442
2014,Baix Llobregat,16.19966666666667,26874,2349.631278256565,2838.16,PM10,µg/m3,30.00000000000004
2014,Barcelonès,29.15,445447,14547.35424069001,4049.3,PM10,µg/m3,26.20641025641028
2014,Berguedà,38.23387096774193,1291,63.09781609721691,1603.5,PM10,µg/m3,16.02406738868833
2014,Cerdanya,32.15823529411765,1116,52.18845297775623,3470.47,PM10,µg/m3,14.491183162684868
2014,Garraf,30.85166666666667,24314,795.580529821685,2975.3,PM10,µg/m3,21.582138590203098
2014,Maresme,13.28433333333333,14597,2033.769717506805,2304.23,PM10,µg/m3,21.122564935064926
2014,Montsià,61.285,5801,91.33227873106831,1142.95,PM10,µg/m3,21.288961038961038
2014,Segrià,36.75421052631579,5520,101.7242802011219,1401.8,PM10,µg/m3,24.975260416666657
2014,Tarragonès,14.51727272727273,11377,570.7063479788231,2066.14,PM10,µg/m3,17.040218536071624
2014,Vallès Occidental,25.35347826086957,39110,2195.050867106927,2319.96,PM10,µg/m3,26.58658180853881
2014,Vallès Oriental,19.79023255813954,9386,789.3449007700654,2238.45,PM10,µg/m3,22.366827438370876
2015,Alt Penedès,21.95925925925926,3932,292.6922271895237,1567.95,PM10,µg/m3,21.388799571275467
2015,Bages,36.41,5820,229.4679161141493,1496.18,PM10,µg/m3,26.60364906832297
2015,Baix Camp,24.90357142857143,6715,202.5486247441531,1792.18,PM10,µg/m3,17.164246999612857
2015,Baix Llobregat,16.20666666666667,26888,2348.332141772125,2937.06,PM10,µg/m3,33.42933558558559
2015,Barcelonès,29.16,445028,14492.92459285244,4145.04,PM10,µg/m3,29.41337719298245
2015,Berguedà,38.24516129032257,1274,62.18308039038035,2017.29,PM10,µg/m3,16.026666666666664
2015,Cerdanya,32.15882352941176,1051,49.94425439985492,3999.87,PM10,µg/m3,14.774760383386575
2015,Garraf,30.86666666666666,24330,795.1937077243034,2805.71,PM10,µg/m3,18.4952380952381
2015,Maresme,13.29333333333333,14650,2036.711266314488,2229.42,PM10,µg/m3,21.471273291925463
2015,Montsià,61.29166666666666,5710,89.90461243550477,1211.63,PM10,µg/m3,20.297542735042725
2015,Segrià,36.75,5508,101.8421739471279,1440.24,PM10,µg/m3,26.831126687435102
2015,Tarragonès,14.50909090909091,11360,573.7578029952659,2159.31,PM10,µg/m3,23.68898305084745
2015,Vallès Occidental,25.35217391304348,39159,2219.643688259836,2472.18,PM10,µg/m3,29.25061168681633
2015,Vallès Oriental,18.84102564102565,10266,867.033137461486,1986.01,PM10,µg/m3,25.825892857142858
2016,Alt Penedès,21.94074074074074,3936,292.8513398677807,1742.03,PM10,µg/m3,17.548218029350103
2016,Bages,36.40333333333333,5812,229.3578663778047,1550.76,PM10,µg/m3,22.091566866267478
2016,Baix Camp,24.89642857142858,6727,202.5054557485247,1778.52,PM10,µg/m3,14.516009221311482
2016,Baix Llobregat,16.20333333333333,26996,2357.048548761783,3154.76,PM10,µg/m3,28.48329741379311
2016,Barcelonès,29.14,446566,14588.29701307709,4722.96,PM10,µg/m3,24.088148584905664
2016,Berguedà,38.24516129032257,1263,61.54957628094538,1275.45,PM10,µg/m3,14.572243346007594
2016,Cerdanya,32.15294117647058,1041,49.61668321031794,3766.57,PM10,µg/m3,13.345502645502641
2016,Garraf,30.86666666666666,24479,800.8144711949259,3007.81,PM10,µg/m3,16.143356643356633
2016,Maresme,13.29,14716,2047.304053607536,2459.19,PM10,µg/m3,19.270452235772364
2016,Montsià,61.28333333333334,5637,89.17868636295555,1176.0,PM10,µg/m3,17.640398550724637
2016,Segrià,36.74736842105263,5496,101.7781530196883,1445.71,PM10,µg/m3,23.56077494692145
2016,Tarragonès,14.50909090909091,11343,574.3009205206076,2023.5,PM10,µg/m3,16.98533442982457
