Country,Happiness_Score_All,Suicide_percentage
Norway,7.537750044822692,0.012082961202021172
Denmark,7.532499958992005,0.010477312160741287
Switzerland,7.519249989509583,0.01359518185741353
Iceland,7.515250046730043,0.01285483357811079
Finland,7.479999965667725,0.014107075209623225
Netherlands,7.3837499637603745,0.011697106409675941
Sweden,7.3132499799728405,0.012614077233975127
Australia,7.288249979972839,0.013610131117224505
Israel,7.236999955177308,0.002252368988356372
Austria,7.116000010490417,0.01484406446326735
United States,7.025500007629395,0.0073324291292822955
Belgium,6.920999948501588,0.01757282982610899
Germany,6.9150000534057625,0.012910709301545344
Luxembourg,6.897499979019165,0.011901485454153246
United Kingdom,6.780000056266785,0.004001086013717353
Mexico,6.7577500171661375,0.005451307581032192
Brazil,6.747250057220461,0.005841839075623557
Chile,6.625749987602235,0.01109519806709335
Singapore,6.61300000667572,0.008846190558775406
Czech Republic,6.605250051498412,0.01352354216215492
Panama,6.59225003528595,0.003069725750701432
Argentina,6.552749994277955,0.007740627467907504
Malta,6.485999987602234,0.008279818915489838
Uruguay,6.465749999046325,0.019744295700601263
Qatar,6.43375,0.002836874698582063
Colombia,6.3937499685287476,0.005241577025098006
Thailand,6.356249946594238,0.006799624558925746
Spain,6.350749969482423,0.008156332174367717
Guatemala,6.320749999046326,0.003464625090744773
Nicaragua,6.008000024795533,0.0057518666633311925
Ecuador,5.9829999742507916,0.007382676676466201
Italy,5.972250056266785,0.0068619374232946635
Japan,5.935750019073488,0.0191831764904573
Poland,5.930500012397765,0.01501943589825302
Lithuania,5.8749999876022345,0.03147461303772786
Kazakhstan,5.845749941825868,0.01835524714650044
Slovenia,5.830499974250793,0.021589741700739577
Belarus,5.666749941825867,0.0
Turkmenistan,5.666000006675719,0.0027217767103501597
Mauritius,5.661250046730042,0.008736733248935914
Cyprus,5.654499953269958,0.004752795237699172
Latvia,5.610249976158142,0.020634255423290157
Romania,5.6054999523162845,0.011159945660078744
Estonia,5.57400001525879,0.015682174594877155
Croatia,5.465250055313111,0.017819879366183733
Turkey,5.426,0.002131316236355959
Serbia,5.273249995231627,0.01569518589336791
Hungary,5.222249970436096,0.01936491404058694
Kyrgyzstan,5.1515000467300425,0.0080256713705056
Greece,5.118750059127808,0.005120369332530335
Mongolia,4.9652499809265125,0.016678007711910765
Albania,4.711000013351439,0.0
South Africa,4.663499999046325,0.0009712364888309819
Egypt,4.4275000333786,6.0847941931186405e-05
Armenia,4.351749981880188,0.002527128998643953
Ukraine,4.301000048637389,0.018772874638689083
Georgia,4.293749943733215,0.005551700208188758
