,year,league_name,fee_converted,pct_change
114,2018,Serie A,1388.0653539782945,0.23427292741009786
115,2019,Bundesliga,980.936534806158,0.6577297168782839
116,2019,La Liga,1542.8748832759923,0.4463323681193143
117,2019,Ligue 1,870.3447118611418,0.2035308170350727
118,2019,Premier League,1860.2650999535288,0.07547025514737404
119,2019,Serie A,1459.0348250208062,0.05112833544840534
120,2020,Bundesliga,367.12773,-0.6257375304381463
121,2020,La Liga,466.3243355,-0.697756220835061
122,2020,Ligue 1,509.13336699999974,-0.4150210140172267
123,2020,Premier League,1687.73169955,-0.09274667379818002
124,2020,Serie A,879.5762897000004,-0.3971519564740633
