,year,league_name,fee_converted,pct_change
0,1996,Bundesliga,105.62695285159978,
1,1996,La Liga,365.2587969768945,
2,1996,Ligue 1,35.5824152097615,
3,1996,Premier League,405.3178199866914,
4,1996,Serie A,231.73860745076217,
5,1997,Bundesliga,129.5818951749786,0.2267881603763977
6,1997,La Liga,416.166385315413,0.13937402400670673
7,1997,Ligue 1,93.72199613291339,1.633941388756606
8,1997,Premier League,515.2867898584693,0.27131540842539015
9,1997,Serie A,431.9776046539702,0.864072669659729
10,1998,Bundesliga,153.86079336869227,0.1873633516544042
11,1998,La Liga,328.08225155728564,-0.2116560512002147
12,1998,Ligue 1,120.47642248494957,0.2854658186547152
13,1998,Premier League,765.900268396879,0.4863572741836526
14,1998,Serie A,659.7154241537428,0.5271982089955771
15,1999,Bundesliga,298.5727302414629,0.9405380909872312
16,1999,La Liga,411.00247475175775,0.2527421791361171
17,1999,Ligue 1,231.92421033900604,0.9250589082521852
18,1999,Premier League,625.0142824882398,-0.18394821326219202
19,1999,Serie A,964.1862795043533,0.46151847327379647
20,2000,Bundesliga,241.4308952796868,-0.191383301869411
21,2000,La Liga,799.7024028787423,0.9457362230282342
22,2000,Ligue 1,479.71181710025417,1.0683990532901002
23,2000,Premier League,1064.0920254188386,0.7025083349817056
24,2000,Serie A,1039.9121630729553,0.07853864463569171
25,2001,Bundesliga,368.3507780668561,0.5256985964457379
26,2001,La Liga,592.8474262527027,-0.2586649432106367
27,2001,Ligue 1,340.7056383242022,-0.2897701783047827
28,2001,Premier League,1208.8580115418788,0.13604649096590937
29,2001,Serie A,1640.7605810906473,0.5777876626062113
30,2002,Bundesliga,233.160330458484,-0.3670155071148916
31,2002,La Liga,276.493798852245,-0.5336172738407254
32,2002,Ligue 1,144.39132511069502,-0.5761991911231658
33,2002,Premier League,649.4084754566758,-0.46279176772103636
34,2002,Serie A,692.0005414836148,-0.5782440476333068
35,2003,Bundesliga,144.21899477427124,-0.3814599829624511
36,2003,La Liga,225.81898104063896,-0.18327650754542257
37,2003,Ligue 1,184.7846197057784,0.2797487630514961
38,2003,Premier League,729.7485690101881,0.12371272718147974
39,2003,Serie A,292.9906155875902,-0.576603487969196
40,2004,Bundesliga,146.58749996860004,0.016422976723946325
41,2004,La Liga,417.144514168584,0.8472517777126698
42,2004,Ligue 1,242.25033144519207,0.31098752607718616
43,2004,Premier League,865.1664549345717,0.18556786772197564
44,2004,Serie A,382.354920851344,0.30500739788042175
45,2005,Bundesliga,179.87436515381756,0.22707846980368562
46,2005,La Liga,404.22969262925767,-0.03096006563832454
47,2005,Ligue 1,296.0772680045374,0.22219551254369874
48,2005,Premier League,830.680545271584,-0.03986043317594379
49,2005,Serie A,316.1381396890752,-0.17318145406585006
50,2006,Bundesliga,235.26760439455262,0.3079551618896119
51,2006,La Liga,638.3528474282122,0.579183466895101
52,2006,Ligue 1,336.44977697178973,0.13635801640345324
53,2006,Premier League,895.0809836603996,0.07752732233275106
54,2006,Serie A,420.4082609068052,0.3298245549248837
55,2007,Bundesliga,433.628459415297,0.843128638688758
56,2007,La Liga,887.6805199348232,0.3905797138856657
57,2007,Ligue 1,404.7369666297207,0.2029639914537873
58,2007,Premier League,1491.3502486560342,0.666162365060214
59,2007,Serie A,696.8500909056936,0.6575556565006917
60,2008,Bundesliga,242.73339033929165,-0.4402272612212943
61,2008,La Liga,519.6045532336418,-0.4146491428337381
62,2008,Ligue 1,342.97445186816685,-0.15259914426857424
63,2008,Premier League,1137.2808632948258,-0.2374153125198366
64,2008,Serie A,802.9231258151503,0.15221786765011958
65,2009,Bundesliga,286.2739550499003,0.17937608274554995
66,2009,La Liga,588.0508851460684,0.13172773696163032
67,2009,Ligue 1,314.9330473660921,-0.08175945569512366
68,2009,Premier League,691.2996898312445,-0.39214690746798075
69,2009,Serie A,637.8601598920687,-0.20557754611377643
70,2010,Bundesliga,255.76100992939783,-0.10658652169452076
71,2010,La Liga,376.54321855811384,-0.35967578985178683
72,2010,Ligue 1,184.4292228539148,-0.4143859325136936
73,2010,Premier League,837.7334378569387,0.2118238300691857
74,2010,Serie A,560.3626656037425,-0.12149605691228538
75,2011,Bundesliga,254.8898270976202,-0.003406237846879434
76,2011,La Liga,463.1672549549762,0.23005071430729607
77,2011,Ligue 1,286.19570138015996,0.5517915054430051
78,2011,Premier League,741.5448583191225,-0.11482003127854445
79,2011,Serie A,733.0751448203044,0.30821553579141314
80,2012,Bundesliga,348.9439405496122,0.3689990868720321
81,2012,La Liga,198.4459244535036,-0.5715458674366041
82,2012,Ligue 1,314.30863739062494,0.09822976332241251
83,2012,Premier League,935.5045404414437,0.261561630353657
84,2012,Serie A,689.1603264874349,-0.059904934225582296
85,2013,Bundesliga,344.4583573257189,-0.012854738835207047
86,2013,La Liga,507.16822431762006,1.555699874987611
87,2013,Ligue 1,466.45065779034223,0.48405294128342446
88,2013,Premier League,1047.316010875257,0.11951996553758248
89,2013,Serie A,680.7025254849616,-0.012272617382926954
90,2014,Bundesliga,433.7169519645214,0.2591273886683487
91,2014,La Liga,661.9643775585068,0.3052165845941166
92,2014,Ligue 1,205.2300757985064,-0.5600176087847815
93,2014,Premier League,1452.911488110554,0.38727134219626325
94,2014,Serie A,545.5325182639177,-0.19857427019936935
95,2015,Bundesliga,623.6162667246778,0.43784157824592107
96,2015,La Liga,804.4965059504979,0.21531691617256787
97,2015,Ligue 1,478.5413839101289,1.3317312633064455
98,2015,Premier League,1913.7898938889668,0.3172102427091168
