"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","74.14","73.98","74.46","73.52","5.52M","1.09%"
"Dec 28, 2018","73.34","73.97","74.46","72.57","6.20M","-0.45%"
"Dec 27, 2018","73.67","72.18","73.73","70.99","9.00M","0.90%"
"Dec 26, 2018","73.01","68.70","73.01","68.65","10.02M","7.21%"
"Dec 24, 2018","68.10","71.40","71.93","68.08","8.55M","-5.90%"
"Dec 21, 2018","72.37","73.29","74.29","71.25","28.49M","7.17%"
"Dec 20, 2018","67.53","68.73","69.57","66.53","14.49M","-2.09%"
"Dec 19, 2018","68.97","71.45","72.00","68.32","8.43M","-3.06%"
"Dec 18, 2018","71.15","70.90","72.41","70.43","7.53M","1.79%"
"Dec 17, 2018","69.90","71.37","71.77","69.45","10.65M","-3.63%"
"Dec 14, 2018","72.53","71.97","73.65","71.41","7.22M","-0.55%"
"Dec 13, 2018","72.93","74.50","74.59","72.59","7.45M","-1.87%"
"Dec 12, 2018","74.32","74.52","75.28","73.51","6.95M","1.02%"
"Dec 11, 2018","73.57","73.87","74.57","72.56","7.79M","1.46%"
"Dec 10, 2018","72.51","73.10","73.71","70.61","7.24M","-1.13%"
"Dec 07, 2018","73.34","75.04","75.97","72.87","6.13M","-2.91%"
"Dec 06, 2018","75.54","74.37","75.56","73.59","9.69M","-0.33%"
"Dec 04, 2018","75.79","77.42","78.40","75.41","8.80M","-2.76%"
"Dec 03, 2018","77.94","77.10","79.00","76.93","10.21M","3.75%"
"Nov 30, 2018","75.12","74.18","75.48","73.90","7.95M","1.05%"
"Nov 29, 2018","74.34","74.64","74.95","73.32","5.44M","-0.43%"
"Nov 28, 2018","74.66","72.30","74.76","72.30","6.17M","3.56%"
"Nov 27, 2018","72.09","72.28","72.55","71.30","5.01M","-0.85%"
"Nov 26, 2018","72.71","72.34","73.00","72.27","6.46M","1.71%"
"Nov 23, 2018","71.49","72.05","72.52","71.41","2.58M","-1.22%"
"Nov 21, 2018","72.37","71.99","72.90","71.81","7.33M","1.76%"
"Nov 20, 2018","71.12","70.49","72.07","69.52","9.05M","-1.93%"
"Nov 19, 2018","72.52","74.69","74.75","71.86","6.74M","-2.97%"
"Nov 16, 2018","74.74","73.76","75.52","73.06","8.06M","0.55%"
"Nov 15, 2018","74.33","74.44","74.67","72.89","7.86M","-1.16%"
"Nov 14, 2018","75.20","76.32","77.49","74.89","7.98M","0.00%"
"Nov 13, 2018","75.20","75.53","76.27","74.84","4.58M","0.13%"
"Nov 12, 2018","75.10","76.35","76.77","74.99","5.20M","-1.65%"
"Nov 09, 2018","76.36","77.71","77.77","75.53","4.74M","-1.83%"
"Nov 08, 2018","77.78","77.69","78.16","77.24","5.43M","-0.24%"
"Nov 07, 2018","77.97","76.94","78.23","76.57","5.40M","1.83%"
"Nov 06, 2018","76.57","77.34","77.58","76.36","6.42M","-1.24%"
"Nov 05, 2018","77.53","76.49","77.77","76.05","7.14M","1.24%"
"Nov 02, 2018","76.58","77.53","78.59","75.71","7.00M","-0.27%"
"Nov 01, 2018","76.79","75.23","76.84","74.84","6.12M","2.33%"
"Oct 31, 2018","75.04","75.50","76.34","74.92","8.76M","0.71%"
"Oct 30, 2018","74.51","73.07","74.64","72.81","9.47M","3.21%"
"Oct 29, 2018","72.19","73.26","74.01","71.39","9.87M","0.17%"
"Oct 26, 2018","72.07","72.00","72.71","70.69","8.37M","-1.41%"
"Oct 25, 2018","73.10","72.69","73.50","72.23","7.65M","1.36%"
"Oct 24, 2018","72.12","73.47","74.61","71.95","8.33M","-1.68%"
"Oct 23, 2018","73.35","74.19","74.38","72.07","11.42M","-2.07%"
"Oct 22, 2018","74.90","74.65","75.21","74.30","7.04M","0.93%"
"Oct 19, 2018","74.21","75.83","76.05","74.14","7.30M","-1.84%"
"Oct 18, 2018","75.60","77.40","77.41","75.00","7.62M","-1.15%"
"Oct 17, 2018","76.48","77.52","77.80","75.94","6.82M","-1.29%"
"Oct 16, 2018","77.48","75.60","77.65","75.32","7.74M","3.32%"
"Oct 15, 2018","74.99","75.77","76.16","74.97","5.79M","-1.21%"
