Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2018S004635    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;230601;Litoral (Besòs)                                   ;K143      ;Dilluns;Dl;Laboral;2018;6;Juny;18;8;Matí;No és causa del  vianant;0;1;0;1;2;429371.52 ;4578360.18;2.154.574;413.518
2018S007974    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;369408;Zona Franca                                       ;10-dic;Dissabte;Ds;Laboral;2018;10;Octubre;20;14;Tarda;No és causa del  vianant;0;1;0;1;2;428589.83 ;4578390.54;2.145.227;41.352.004
2018S004500    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;222206;Motors                                            ;165-169   ;Dimarts;Dm;Laboral;2018;6;Juny;12;9;Matí;No és causa del  vianant;0;1;0;1;2;428895.51 ;4578405.32;2.148.879;41.352.165
2018S003478    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;230601;Mare de Déu de Port                               ;115-133   ;Divendres;Dv;Laboral;2018;5;Maig;4;12;Matí;No és causa del  vianant;0;0;0;0;1;428959.08 ;4578530.37;2.149.624;41.353.297
2018S000640    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;230601;Mare de Déu de Port                               ;103;Dimecres;Dc;Laboral;2018;1;Gener;24;18;Tarda;No és causa del  vianant;0;2;0;2;2;429109.4  ;4578433.76;2.151.432;4.135.244
2018S004680    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;230601;Mare de Déu de Port                               ;101J      ;Dimarts;Dm;Laboral;2018;6;Juny;19;8;Matí;No és causa del  vianant;0;0;0;0;1;429174.54 ;4578389.24;2.152.216;41.352.044
2018S007615    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701265;Mare de Déu de Port                               ;16;Dilluns;Dl;Laboral;2018;10;Octubre;8;10;Matí;No és causa del  vianant;0;1;0;1;2;429402.68 ;4578340.98;2.154.948;4.135.163
2018S004300    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701265;Mare de Déu de Port / Cantunis                    ;;Dimecres;Dc;Laboral;2018;6;Juny;6;17;Tarda;No és causa del  vianant;0;2;0;2;2;429729.46 ;4578386.51;2.158.849;41.352.068
2018S003006    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701265;Mare de Déu de Port                               ;6;Dijous;Dj;Laboral;2018;4;Abril;19;15;Tarda;No és causa del  vianant;0;1;0;1;2;429703.83 ;4578396.66;2.158.542;41.352.158
2018S004419    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701265;Mare de Déu de Port                               ;14;Divendres;Dv;Laboral;2018;6;Juny;8;13;Matí;No és causa del  vianant;0;1;0;1;2;429645.84 ;4578397.66;2.157.848;41.352.162
2018S005337    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701265;Mare de Déu de Port                               ;28;Dimarts;Dm;Laboral;2018;7;Juliol;10;14;Tarda;No és causa del  vianant;0;1;0;1;2;429402.68 ;4578340.98;2.154.948;4.135.163
2018S002583    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;260500;Plom / Acer                                       ;;Dijous;Dj;Laboral;2018;4;Abril;5;12;Matí;No és causa del  vianant;0;2;0;2;2;427864.77 ;4578407.43;2.136.558;41.352.092
2018S003475    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;348500;Ulldecona / Sovelles                              ;;Divendres;Dv;Laboral;2018;5;Maig;4;10;Matí;No és causa del  vianant;0;0;0;0;1;428421.24 ;4578435.66;2.143.206;41.352.396
