"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","141.01","140.40","141.29","139.39","1.83M","0.85%"
"Dec 28, 2018","139.82","141.01","141.80","138.81","2.02M","-0.42%"
"Dec 27, 2018","140.41","137.11","140.41","134.69","2.68M","1.01%"
"Dec 26, 2018","139.01","134.80","139.02","132.63","2.49M","3.99%"
"Dec 24, 2018","133.67","136.58","136.92","133.60","2.31M","-2.57%"
"Dec 21, 2018","137.20","141.02","144.85","136.93","6.24M","-4.39%"
"Dec 20, 2018","143.50","146.00","147.20","139.49","6.41M","-4.94%"
"Dec 19, 2018","150.96","152.29","156.21","149.58","3.26M","-0.78%"
"Dec 18, 2018","152.14","153.33","154.03","151.15","2.69M","0.31%"
"Dec 17, 2018","151.67","154.73","154.98","150.88","2.76M","-2.48%"
"Dec 14, 2018","155.53","158.33","158.64","155.12","2.34M","-2.95%"
"Dec 13, 2018","160.25","159.79","161.09","159.22","2.23M","1.03%"
"Dec 12, 2018","158.62","160.26","161.21","158.53","2.42M","0.20%"
"Dec 11, 2018","158.30","160.00","160.83","157.41","1.79M","0.37%"
"Dec 10, 2018","157.72","157.02","158.65","154.41","2.28M","0.17%"
"Dec 07, 2018","157.45","158.88","160.78","156.24","3.09M","-1.13%"
"Dec 06, 2018","159.25","160.71","161.74","156.64","6.01M","-3.02%"
"Dec 04, 2018","164.21","166.46","168.37","164.09","3.11M","-1.56%"
"Dec 03, 2018","166.82","165.97","167.07","164.68","2.32M","1.40%"
"Nov 30, 2018","164.52","161.77","164.54","160.98","5.83M","2.14%"
"Nov 29, 2018","161.07","162.21","162.46","160.81","2.41M","-0.70%"
"Nov 28, 2018","162.21","160.01","162.36","159.29","2.78M","1.95%"
"Nov 27, 2018","159.11","158.04","159.38","157.50","1.93M","0.45%"
"Nov 26, 2018","158.40","158.54","159.48","157.38","2.13M","0.94%"
"Nov 23, 2018","156.93","155.85","157.87","155.25","938.82K","-0.03%"
"Nov 21, 2018","156.98","160.00","160.00","156.74","2.53M","-1.21%"
"Nov 20, 2018","158.90","160.20","160.97","157.74","2.22M","-2.38%"
"Nov 19, 2018","162.77","164.50","165.94","162.11","2.19M","-1.35%"
"Nov 16, 2018","165.00","161.71","165.83","161.69","3.22M","1.54%"
"Nov 15, 2018","162.49","159.92","162.94","159.43","2.56M","1.37%"
"Nov 14, 2018","160.29","163.22","163.40","159.38","2.82M","-0.72%"
"Nov 13, 2018","161.45","162.67","163.84","160.93","1.49M","-0.61%"
"Nov 12, 2018","162.44","164.52","164.95","162.32","2.26M","-1.64%"
"Nov 09, 2018","165.15","164.03","165.65","163.14","1.88M","0.40%"
"Nov 08, 2018","164.50","162.87","164.54","162.87","1.29M","0.38%"
"Nov 07, 2018","163.87","160.00","163.99","159.99","2.28M","2.79%"
"Nov 06, 2018","159.42","158.96","159.97","158.70","1.36M","0.52%"
"Nov 05, 2018","158.60","157.63","158.96","156.73","1.71M","0.77%"
"Nov 02, 2018","157.39","158.94","160.67","155.99","2.00M","-0.75%"
"Nov 01, 2018","158.58","157.90","159.21","157.44","1.77M","0.61%"
"Oct 31, 2018","157.62","156.22","159.45","156.03","2.41M","1.94%"
"Oct 30, 2018","154.62","153.44","154.86","152.31","2.30M","1.23%"
"Oct 29, 2018","152.74","156.05","156.64","150.63","1.91M","-1.11%"
"Oct 26, 2018","154.45","154.30","156.08","152.86","2.47M","-1.57%"
"Oct 25, 2018","156.92","155.40","157.96","154.88","2.31M","2.48%"
"Oct 24, 2018","153.12","157.87","158.44","153.00","2.47M","-3.14%"
"Oct 23, 2018","158.09","156.70","159.31","155.58","2.20M","-0.92%"
"Oct 22, 2018","159.55","158.09","160.29","157.03","1.96M","0.80%"
"Oct 19, 2018","158.28","156.01","158.65","155.43","2.43M","1.33%"
"Oct 18, 2018","156.20","158.44","158.44","155.17","2.20M","-1.70%"
"Oct 17, 2018","158.90","159.15","160.36","157.80","2.69M","-1.43%"
"Oct 16, 2018","161.20","159.57","161.88","158.90","2.83M","2.08%"
"Oct 15, 2018","157.92","158.94","159.62","157.84","1.95M","-0.95%"
"Oct 12, 2018","159.44","159.59","160.23","157.39","3.38M","2.21%"
"Oct 11, 2018","156.00","161.12","161.54","155.11","4.75M","-3.55%"
"Oct 10, 2018","161.74","168.50","168.63","161.58","2.97M","-4.18%"
"Oct 09, 2018","168.80","169.21","169.88","168.11","2.03M","-0.65%"
"Oct 08, 2018","169.90","170.34","171.74","168.65","1.69M","-0.78%"
"Oct 05, 2018","171.23","171.53","172.15","170.11","1.49M","-0.37%"
"Oct 04, 2018","171.86","173.87","174.14","170.48","1.78M","-1.31%"
"Oct 03, 2018","174.14","173.72","174.82","173.66","1.66M","0.57%"
"Oct 02, 2018","173.15","173.12","173.56","172.51","1.76M","-0.21%"
"Oct 01, 2018","173.51","171.14","174.18","171.10","2.34M","1.94%"
"Sep 28, 2018","170.20","169.99","170.80","169.06","2.38M","0.09%"
"Sep 27, 2018","170.05","168.93","173.93","168.70","3.11M","-1.69%"
"Sep 26, 2018","172.97","173.07","174.55","172.46","2.62M","0.09%"
"Sep 25, 2018","172.82","173.54","174.50","172.43","1.98M","0.11%"
"Sep 24, 2018","172.63","173.06","173.25","172.24","2.07M","-0.90%"
"Sep 21, 2018","174.19","174.75","175.64","173.87","4.74M","0.03%"
"Sep 20, 2018","174.13","173.90","174.39","173.26","1.82M","0.57%"
"Sep 19, 2018","173.14","172.82","173.31","171.85","1.53M","0.42%"
"Sep 18, 2018","172.41","171.14","172.82","171.06","2.08M","0.80%"
"Sep 17, 2018","171.04","171.45","171.72","170.76","1.77M","-0.35%"
"Sep 14, 2018","171.64","171.74","172.27","171.03","2.21M","-0.25%"
"Sep 13, 2018","172.07","171.16","172.51","170.85","1.59M","1.01%"
"Sep 12, 2018","170.35","170.69","171.03","169.51","1.74M","-0.20%"
"Sep 11, 2018","170.69","169.71","171.01","169.23","1.96M","0.67%"
"Sep 10, 2018","169.55","169.86","171.00","169.45","1.89M","0.28%"
"Sep 07, 2018","169.07","168.87","169.67","168.46","1.83M","-0.17%"
"Sep 06, 2018","169.36","168.28","169.92","167.84","1.81M","0.43%"
"Sep 05, 2018","168.64","169.05","169.29","167.50","1.87M","-0.51%"
"Sep 04, 2018","169.50","168.76","169.59","167.88","1.68M","0.25%"
"Aug 31, 2018","169.07","168.71","169.56","168.20","2.80M","0.26%"
"Aug 30, 2018","168.63","169.56","169.77","168.13","1.48M","-0.67%"
"Aug 29, 2018","169.77","167.55","169.92","167.55","1.37M","1.25%"
"Aug 28, 2018","167.67","167.38","167.90","166.58","1.67M","0.48%"
"Aug 27, 2018","166.87","166.78","167.25","166.14","1.41M","0.60%"
"Aug 24, 2018","165.88","165.91","166.79","165.01","1.77M","0.41%"
"Aug 23, 2018","165.20","164.98","166.47","164.98","1.30M","0.17%"
"Aug 22, 2018","164.92","164.69","165.86","164.34","1.18M","0.19%"
"Aug 21, 2018","164.61","165.50","165.90","164.52","1.29M","-0.31%"
"Aug 20, 2018","165.12","165.34","165.64","164.80","1.29M","0.14%"
"Aug 17, 2018","164.89","163.47","165.17","163.06","2.72M","1.23%"
"Aug 16, 2018","162.89","161.80","163.25","161.51","1.96M","1.55%"
"Aug 15, 2018","160.41","160.56","161.44","159.76","1.67M","-0.51%"
"Aug 14, 2018","161.24","160.09","161.63","159.89","2.08M","0.63%"
"Aug 13, 2018","160.23","160.73","161.90","160.05","1.59M","-0.28%"
"Aug 10, 2018","160.68","160.05","161.47","159.88","1.35M","0.02%"
"Aug 09, 2018","160.64","161.13","161.74","160.54","1.72M","-0.31%"
"Aug 08, 2018","161.14","161.10","161.65","160.90","1.12M","-0.04%"
"Aug 07, 2018","161.20","161.18","161.91","161.00","1.42M","0.39%"
"Aug 06, 2018","160.58","160.27","161.01","159.58","1.14M","0.13%"
"Aug 03, 2018","160.37","160.49","160.94","158.96","1.48M","0.14%"
"Aug 02, 2018","160.15","158.30","160.30","157.84","1.77M","0.28%"
"Aug 01, 2018","159.71","160.31","161.39","159.09","2.06M","0.24%"
"Jul 31, 2018","159.33","160.30","161.30","158.89","2.72M","-0.06%"
"Jul 30, 2018","159.42","162.24","162.42","158.08","2.55M","-1.60%"
"Jul 27, 2018","162.02","165.36","165.75","161.11","2.70M","-1.91%"
"Jul 26, 2018","165.17","167.40","168.11","165.06","2.23M","-1.14%"
"Jul 25, 2018","167.08","165.00","167.12","165.00","2.28M","1.16%"
"Jul 24, 2018","165.17","166.33","166.52","164.31","2.55M","-0.48%"
"Jul 23, 2018","165.96","165.93","166.45","165.51","1.78M","-0.34%"
"Jul 20, 2018","166.52","166.59","166.99","166.32","1.11M","-0.22%"
"Jul 19, 2018","166.89","166.21","167.27","165.51","2.06M","0.31%"
"Jul 18, 2018","166.38","167.47","167.47","165.97","2.21M","-1.01%"
"Jul 17, 2018","168.07","167.08","168.95","167.00","2.32M","0.26%"
"Jul 16, 2018","167.64","168.15","168.47","167.38","1.52M","-0.27%"
