"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2018","168.09","167.75","168.50","167.63","1.42M","0.04%"
"Jul 12, 2018","168.03","167.52","168.15","166.98","1.72M","1.03%"
"Jul 11, 2018","166.31","165.40","167.10","164.61","1.31M","-0.09%"
"Jul 10, 2018","166.46","166.50","167.77","166.34","2.07M","0.20%"
"Jul 09, 2018","166.13","165.00","166.26","165.00","1.65M","0.98%"
"Jul 06, 2018","164.51","164.77","165.17","163.01","1.84M","-0.18%"
"Jul 05, 2018","164.80","163.70","164.85","163.16","2.43M","0.89%"
"Jul 03, 2018","163.34","163.91","165.42","163.02","1.92M","0.07%"
"Jul 02, 2018","163.23","161.90","163.41","161.30","2.28M","-0.22%"
"Jun 29, 2018","163.59","164.19","165.56","163.03","3.63M","-0.55%"
"Jun 28, 2018","164.50","160.49","165.56","159.70","5.80M","5.90%"
"Jun 27, 2018","155.34","157.16","158.70","155.30","3.19M","-0.97%"
"Jun 26, 2018","156.86","156.53","157.59","156.16","2.16M","0.45%"
"Jun 25, 2018","156.16","157.99","158.06","155.35","3.13M","-2.17%"
"Jun 22, 2018","159.63","160.50","160.50","158.44","3.78M","-0.25%"
"Jun 21, 2018","160.03","161.37","161.93","159.63","2.03M","-1.08%"
"Jun 20, 2018","161.77","163.00","163.37","161.66","2.03M","-0.94%"
"Jun 19, 2018","163.31","162.12","163.34","161.30","2.57M","0.26%"
"Jun 18, 2018","162.88","162.00","162.98","160.86","1.79M","-0.37%"
"Jun 15, 2018","163.48","161.84","163.70","160.64","8.56M","0.44%"
"Jun 14, 2018","162.76","163.33","163.95","162.14","1.91M","-0.16%"
"Jun 13, 2018","163.02","163.09","164.25","162.61","2.36M","0.11%"
"Jun 12, 2018","162.84","163.44","164.01","162.45","2.88M","0.06%"
"Jun 11, 2018","162.75","161.53","163.62","161.53","1.98M","0.36%"
"Jun 08, 2018","162.17","160.71","162.33","160.61","1.73M","0.97%"
"Jun 07, 2018","160.61","162.74","162.85","159.60","1.84M","-1.29%"
"Jun 06, 2018","162.71","160.57","162.75","160.16","1.77M","1.74%"
"Jun 05, 2018","159.92","159.16","160.36","159.05","1.76M","0.31%"
"Jun 04, 2018","159.43","158.65","160.00","158.06","1.48M","0.34%"
"Jun 01, 2018","158.89","156.94","159.28","156.56","1.81M","2.02%"
"May 31, 2018","155.74","156.00","156.78","154.91","2.77M","-0.19%"
"May 30, 2018","156.03","154.80","156.54","154.53","1.58M","1.62%"
"May 29, 2018","153.54","154.96","155.24","152.66","2.05M","-1.57%"
"May 25, 2018","155.99","155.39","156.48","155.05","1.31M","0.26%"
"May 24, 2018","155.59","155.83","156.05","154.69","1.91M","0.18%"
"May 23, 2018","155.31","155.29","156.06","154.09","1.74M","-0.01%"
"May 22, 2018","155.33","156.97","157.43","155.15","1.76M","-1.03%"
"May 21, 2018","156.94","156.02","157.42","156.02","1.65M","1.05%"
"May 18, 2018","155.31","155.00","155.93","154.62","1.52M","0.25%"
"May 17, 2018","154.93","154.41","155.72","153.82","1.62M","0.55%"
"May 16, 2018","154.08","154.50","155.05","153.66","1.95M","0.01%"
"May 15, 2018","154.07","154.73","154.80","153.38","1.77M","-0.96%"
"May 14, 2018","155.57","157.32","157.65","155.31","1.64M","-0.96%"
"May 11, 2018","157.08","156.54","157.62","155.82","1.21M","0.34%"
"May 10, 2018","156.54","154.99","157.00","154.43","1.30M","1.24%"
"May 09, 2018","154.62","152.90","154.98","152.20","1.52M","1.76%"
"May 08, 2018","151.94","151.35","152.50","151.03","1.77M","-0.24%"
"May 07, 2018","152.30","152.95","153.08","151.84","2.06M","-0.74%"
"May 04, 2018","153.44","150.71","153.96","150.35","1.50M","1.13%"
"May 03, 2018","151.73","150.30","152.04","149.14","1.73M","0.68%"
"May 02, 2018","150.71","151.72","152.09","150.41","1.64M","-0.80%"
"May 01, 2018","151.92","151.09","151.95","150.12","1.20M","0.48%"
"Apr 30, 2018","151.20","153.17","153.26","151.18","1.50M","-0.78%"
"Apr 27, 2018","152.39","152.29","152.97","151.19","1.18M","0.07%"
"Apr 26, 2018","152.29","150.93","153.13","150.60","1.63M","1.47%"
"Apr 25, 2018","150.09","151.50","151.50","148.43","2.04M","-0.65%"
"Apr 24, 2018","151.07","153.57","154.34","149.85","1.92M","-1.29%"
"Apr 23, 2018","153.04","153.23","153.46","152.11","1.53M","0.41%"
"Apr 20, 2018","152.41","154.02","154.75","151.91","2.30M","-1.41%"
"Apr 19, 2018","154.59","155.00","155.21","153.62","1.51M","-0.60%"
"Apr 18, 2018","155.52","154.35","155.70","153.34","1.98M","0.83%"
"Apr 17, 2018","154.24","152.65","154.59","152.08","2.70M","1.86%"
"Apr 16, 2018","151.42","151.45","152.05","150.48","2.15M","0.86%"
"Apr 13, 2018","150.13","151.00","151.41","149.46","1.61M","0.03%"
"Apr 12, 2018","150.09","149.18","151.13","148.93","2.01M","1.14%"
"Apr 11, 2018","148.40","149.40","149.87","148.16","1.73M","-2.40%"
"Apr 10, 2018","152.05","149.99","152.74","149.84","2.27M","2.56%"
"Apr 09, 2018","148.25","148.26","150.43","148.01","1.47M","0.59%"
"Apr 06, 2018","147.38","149.90","150.79","146.19","1.93M","-2.76%"
"Apr 05, 2018","151.57","151.10","152.07","150.01","3.34M","1.07%"
"Apr 04, 2018","149.97","146.69","150.48","146.06","2.16M","0.79%"
"Apr 03, 2018","148.79","148.49","148.97","146.05","2.36M","0.55%"
"Apr 02, 2018","147.98","151.82","151.82","146.50","2.85M","-3.60%"
"Mar 29, 2018","153.50","148.29","153.50","147.82","3.60M","4.13%"
"Mar 28, 2018","147.41","149.68","150.35","147.34","2.97M","-0.97%"
"Mar 27, 2018","148.86","153.23","153.66","147.80","3.21M","-2.61%"
"Mar 26, 2018","152.85","149.00","153.17","149.00","4.23M","3.73%"
"Mar 23, 2018","147.35","151.33","152.47","147.16","4.04M","-1.92%"
"Mar 22, 2018","150.23","156.75","157.94","149.73","8.20M","-7.28%"
"Mar 21, 2018","162.03","163.20","163.72","161.93","3.45M","-0.52%"
"Mar 20, 2018","162.88","160.95","163.15","160.95","2.25M","1.41%"
"Mar 19, 2018","160.62","160.56","161.50","159.37","1.89M","-0.17%"
"Mar 16, 2018","160.89","162.61","163.29","160.88","4.02M","-1.21%"
"Mar 15, 2018","162.86","161.29","163.49","160.89","1.84M","1.16%"
"Mar 14, 2018","161.00","162.76","163.20","160.42","2.21M","-0.92%"
"Mar 13, 2018","162.49","162.12","164.30","162.06","2.74M","0.49%"
"Mar 12, 2018","161.69","162.00","162.77","161.02","2.11M","0.11%"
