Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S002172    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;268003;Provença;0162 0162;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;1;No és causa del  vianant;Motocicleta;Home;22;Conductor;Presentado;Ferit lleu;429256,38;4582378,22;2.152.724;41.387.977
2017S002173    ;9;Sant Andreu;60;Sant Andreu;2709;Afores;0012 0012;Divendres;Dv;Laboral;2017;3;Març;17;Tarda;19;No és causa del  vianant;Motocicleta;Home;41;Conductor;Presentado;Ferit lleu;432462,22;4586997,7;219.055;41.429.855
2017S002174    ;6;Gràcia;28;Vallcarca i els Penitents;297908;Sant Camil;0020X0020X;Divendres;Dv;Laboral;2017;3;Març;17;Tarda;19;No és causa del  vianant;Ciclomotor;Home;27;Conductor;Presentado;Ferit lleu;428714,26;4585194,33;214.591;41.413.292
2017S002175    ;6;Gràcia;31;la Vila de Gràcia;340406;Torrent de les Flors;0024 0024;Divendres;Dv;Laboral;2017;3;Març;17;Nit;23;Desobeir el senyal del semàfor;Ciclomotor;Dona;43;Conductor;Presentado;Ferit lleu;429979,78;4584296,61;2.161.148;41.405.315
2017S002176    ;7;Horta-Guinardó;33;el Baix Guinardó;297001;Sant Antoni Maria Claret;0065 0065;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;1;No és causa del  vianant;Motocicleta;Dona;29;Conductor;Presentado;Ferit lleu;430620,88;4584497,26;2.168.793;41.407.181
2017S002176    ;7;Horta-Guinardó;33;el Baix Guinardó;297001;Sant Antoni Maria Claret;0065 0065;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;1;No és causa del  vianant;Motocicleta;Home;34;Conductor;Presentado;Ferit lleu;430620,88;4584497,26;2.168.793;41.407.181
2017S002176    ;7;Horta-Guinardó;33;el Baix Guinardó;297001;Sant Antoni Maria Claret;0065 0065;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;1;No és causa del  vianant;Motocicleta;Home;35;Passatger;Desconegut;Ferit lleu;430620,88;4584497,26;2.168.793;41.407.181
2017S002178    ;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;701564;Lligabosc;0033 0033;Divendres;Dv;Laboral;2017;3;Març;17;Tarda;15;No és causa del  vianant;Motocicleta;Home;42;Conductor;Presentado;Ferit lleu;424841,39;4586524,66;2.099.408;41.424.917
2017S002179    ;7;Horta-Guinardó;39;Sant Genís dels Agudells;366909;Vista-rica;0036 0036;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;3;No és causa del  vianant;Turismo;Home;28;Conductor;Presentado;Ferit lleu;426689,59;4586470,8;2.121.528;41.424.602
2017S002180    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;700696;Mestral;0017 0017;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;5;No és causa del  vianant;Taxi;Dona;42;Conductor;Presentado;Ferit lleu;433146,93;4582367,75;2.199.248;41.388.211
2017S002182    ;4;Les Corts;21;Pedralbes;101700;Doctor Ferran;0019 0019;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;9;Desobeir el senyal del semàfor;Motocicleta;Home;87;Vianant;Desconegut;Ferit lleu;426804,02;4582504,78;2.123.384;41.388.892
