"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","101.57","101.29","102.40","100.44","33.17M","1.18%"
"Dec 28, 2018","100.39","102.09","102.41","99.52","38.17M","-0.78%"
"Dec 27, 2018","101.18","99.30","101.19","96.40","49.50M","0.62%"
"Dec 26, 2018","100.56","95.14","100.69","93.96","51.63M","6.83%"
"Dec 24, 2018","94.13","97.68","97.97","93.98","43.94M","-4.17%"
"Dec 21, 2018","98.23","101.63","103.00","97.46","111.24M","-3.23%"
"Dec 20, 2018","101.51","103.05","104.31","98.78","70.33M","-2.10%"
"Dec 19, 2018","103.69","103.65","106.88","101.35","68.20M","-0.27%"
"Dec 18, 2018","103.97","103.75","104.51","102.52","49.32M","1.05%"
"Dec 17, 2018","102.89","105.41","105.80","101.71","56.96M","-2.96%"
"Dec 14, 2018","106.03","108.25","109.26","105.50","47.04M","-3.12%"
"Dec 13, 2018","109.45","109.58","110.87","108.63","31.33M","0.34%"
"Dec 12, 2018","109.08","110.89","111.27","109.04","36.18M","0.45%"
"Dec 11, 2018","108.59","109.80","110.95","107.44","42.38M","0.93%"
"Dec 10, 2018","107.59","104.80","107.98","103.89","40.80M","2.64%"
"Dec 07, 2018","104.82","108.38","109.45","104.30","45.04M","-4.00%"
"Dec 06, 2018","109.19","105.82","109.24","105.00","49.11M","0.62%"
"Dec 04, 2018","108.52","111.94","112.64","108.21","45.20M","-3.18%"
"Dec 03, 2018","112.09","113.00","113.42","110.73","34.73M","1.08%"
"Nov 30, 2018","110.89","110.70","110.97","109.36","33.67M","0.64%"
"Nov 29, 2018","110.19","110.33","111.11","109.03","28.12M","-0.84%"
"Nov 28, 2018","111.12","107.89","111.33","107.86","46.79M","3.71%"
"Nov 27, 2018","107.14","106.27","107.33","105.36","29.12M","0.63%"
"Nov 26, 2018","106.47","104.79","106.63","104.58","32.34M","3.30%"
"Nov 23, 2018","103.07","102.17","103.81","102.00","13.82M","-0.04%"
"Nov 21, 2018","103.11","103.60","104.43","102.24","28.13M","1.38%"
"Nov 20, 2018","101.71","101.80","102.97","99.35","64.05M","-2.78%"
"Nov 19, 2018","104.62","108.27","108.56","103.55","44.77M","-3.39%"
"Nov 16, 2018","108.29","107.08","108.88","106.80","33.50M","0.94%"
"Nov 15, 2018","107.28","104.99","107.80","103.91","38.51M","2.20%"
"Nov 14, 2018","104.97","108.10","108.26","104.47","39.50M","-1.84%"
"Nov 13, 2018","106.94","107.55","108.74","106.64","35.37M","0.07%"
"Nov 12, 2018","106.87","109.42","109.96","106.10","33.62M","-2.46%"
"Nov 09, 2018","109.57","110.85","111.45","108.76","32.04M","-1.95%"
"Nov 08, 2018","111.75","111.80","112.21","110.91","25.64M","-0.19%"
"Nov 07, 2018","111.96","109.44","112.24","109.40","37.90M","3.94%"
"Nov 06, 2018","107.72","107.38","108.84","106.28","24.34M","0.20%"
"Nov 05, 2018","107.51","106.37","107.74","105.90","27.92M","1.27%"
"Nov 02, 2018","106.16","106.48","107.32","104.97","37.68M","0.23%"
"Nov 01, 2018","105.92","107.05","107.32","105.53","33.38M","-0.83%"
"Oct 31, 2018","106.81","105.44","108.14","105.39","51.06M","2.97%"
"Oct 30, 2018","103.73","103.66","104.38","100.11","65.35M","-0.12%"
"Oct 29, 2018","103.85","108.11","108.70","101.63","55.16M","-2.91%"
"Oct 26, 2018","106.96","105.69","108.75","104.76","55.52M","-1.24%"
"Oct 25, 2018","108.30","106.55","109.27","106.15","61.65M","5.84%"
"Oct 24, 2018","102.32","108.41","108.49","101.59","63.90M","-5.35%"
