Season End Year;League;Nº Teams;Total Stadiums Capacity;Average Stadiums Capacity;Total Attendance;Average Attendance;Average Capacity Ocupation
2013;La Liga;20;802502;40125;10734741;28249;0,7040
2014;La Liga;20;788528;39426;10173322;26843;0,6808
2015;La Liga;20;745669;37283;10268036;27021;0,7247
2016;La Liga;20;796611;39831;10703881;28168;0,7072
2017;La Liga;20;790407;39520;10499350;27630;0,6991
2018;La Liga;20;775750;38788;10201292;26846;0,6921
2019;La Liga;20;730925;36546;10188198;26811;0,7336
2020;La Liga;20;755331;37767;7763877;20431;0,5410
1997;Ligue 1;20;649019;32451;5189199;13764;0,4241
1998;Ligue 1;20;572290;28615;4666430;15872;0,5547
1999;Ligue 1;20;583400;29170;6028330;19765;0,6776
2000;Ligue 1;20;598301;29915;6824113;22301;0,7455
2001;Ligue 1;20;621553;31078;7004878;22967;0,7390
2002;Ligue 1;20;589357;29468;6660825;21767;0,7387
2003;Ligue 1;20;644449;32222;7522509;19796;0,6144
2004;Ligue 1;20;659119;32956;7618240;20048;0,6083
2005;Ligue 1;20;662666;33133;8105429;21330;0,6438
2006;Ligue 1;20;675544;33777;8163872;21484;0,6361
2007;Ligue 1;20;676597;33830;8286414;21806;0,6446
2008;Ligue 1;20;670268;33513;8267332;21756;0,6492
2009;Ligue 1;20;659054;32953;8286414;21806;0,6617
2010;Ligue 1;20;662079;33104;8267332;21756;0,6572
2011;Ligue 1;20;655240;32762;7992900;21034;0,6420
2012;Ligue 1;20;619581;30979;7632587;20086;0,6484
2013;Ligue 1;20;624483;31224;7505420;19751;0,6326
2014;Ligue 1;20;641528;32076;7172105;18874;0,5884
2015;Ligue 1;20;671500;33575;8441546;22215;0,6617
2016;Ligue 1;20;636642;31832;7970815;20976;0,6590
2017;Ligue 1;20;651916;32596;7967227;21077;0,6466
2018;Ligue 1;20;660215;33011;8559056;22524;0,6823
2019;Ligue 1;20;651686;32584;8663784;22799;0,6997
2020;Ligue 1;20;654863;32743;6270901;22476;0,6864
1997;Premier League;20;868104;43405;10818380;28469;0,6559
1998;Premier League;20;833828;41691;11100919;29213;0,7007
1999;Premier League;20;846272;42314;11623113;30587;0,7229
2000;Premier League;20;852848;42642;11677585;30730;0,7206
2001;Premier League;20;873115;43656;12503039;32903;0,7537
2002;Premier League;20;842036;42102;13091502;34451;0,8183
2003;Premier League;20;857131;42857;13476455;35464;0,8275
2004;Premier League;20;806585;40329;13297348;34993;0,8677
2005;Premier League;20;784513;39226;12882140;33900;0,8642
2006;Premier League;20;832678;41634;12876213;33885;0,8139
2007;Premier League;20;806152;40308;13058755;34365;0,8526
2008;Premier League;20;836711;41836;13708885;36076;0,8623
2009;Premier League;20;831466;41573;13524978;35592;0,8561
2010;Premier League;20;801985;40099;12977252;34151;0,8517
2011;Premier League;20;829728;41486;13403792;35273;0,8502
2012;Premier League;20;790791;39540;13148465;34601;0,8751
2013;Premier League;20;815196;40760;13649868;35921;0,8813
2014;Premier League;20;831852;41593;13919810;36631;0,8807
2015;Premier League;20;824955;41248;13746753;36176;0,8770
