main_category,perc_pledged,ID,state_n,usd_goal_real,backers,pledge_backer,usd_pledged_real,percentage
Games,1.872938380125897,31859,0.38001820521673624,45330.824568567936,39,37.10231884057971,738835058.4099983,21.715309119811298
Design,1.8052454112138259,27667,0.37477861712509486,38945.971683594165,35,56.96,728184225.8499985,21.402267502753382
Technology,1.116473628220811,26641,0.23655268195638302,98002.96151120447,12,53.096774193548384,683756018.559999,20.096465559600304
Film & Video,0.6171494467704681,52765,0.44144792949872075,61199.67042660864,19,61.4125,389241322.39000064,11.440301244086996
Music,0.8270377375090389,42282,0.5657253677687905,12340.428910411043,28,50.9375,192772090.11999995,5.665818749365497
Publishing,0.6965473647799157,32032,0.3761238761238761,18779.22994567931,13,41.59554291133239,132416529.32999973,3.8918914773232576
Fashion,0.793399462008336,17986,0.30440342488602246,22066.715548204193,11,50.0,129687792.05999961,3.811690392317461
Food,0.5479433326130019,19668,0.29357331706324996,33728.12183089279,12,50.0,125028459.9100001,3.6747466498983417
Art,0.8871185907292756,23242,0.47229154117545824,39993.4825144136,16,45.995714285714286,89981080.18999979,2.6446592497456565
Comics,1.2768206579615748,10047,0.5608639394844233,10400.692820742524,45,35.78922746781116,71092156.40999986,2.0894895753314864
Theater,0.829524113340545,9941,0.6535559802836737,18705.41107132081,29,58.08510638297872,43573060.29999995,1.2806680773201817
Photography,0.6434724943494765,8620,0.3711136890951276,10602.475305104417,11,48.08743055555556,38234937.33000006,1.1237738028896003
Crafts,0.8581543751604442,6814,0.2825066040504843,10212.38499119459,6,32.32070707070707,14237201.12000002,0.4184495846570406
Dance,0.8354301688087591,3464,0.6723441108545035,7967.32859699769,30,60.56045957918051,12995608.869999992,0.38195759743659796
Journalism,0.44031156146671363,3460,0.2809248554913295,97203.68395664751,6,34.29009803921569,12333977.970000006,0.3625114174628997
