dates,prices
"July 5, 2020",8097
"June 1, 2020",95
"May 9, 2020",85
"May 5, 2020",73
"May 4, 2020",91
"April 27, 2020",8551
"April 16, 2020",8825
"March 27, 2020",8702
"March 23, 2020",23206
"March 22, 2020",95
"March 11, 2020",7665
"March 8, 2020",825
"February 29, 2020",85
"February 20, 2020",7499
"February 7, 2020",85
"February 4, 2020",68
"January 25, 2020",885
"January 25, 2020",8849
"January 24, 2020",6501
"January 4, 2020",8
"March 11, 2020",7665
"March 8, 2020",825
"February 29, 2020",85
"February 20, 2020",7499
"February 7, 2020",85
"February 4, 2020",68
"January 25, 2020",885
"January 25, 2020",8849
"January 24, 2020",6501
"January 4, 2020",8
"December 9, 2019",83
"December 4, 2019",10241
"December 4, 2019",75
"December 3, 2019",78
"November 16, 2019",69
"November 13, 2019",7001
"November 3, 2019",58
"November 1, 2019",8
"November 1, 2019",625
"October 15, 2019",62
"October 14, 2019",7111
"September 7, 2019",7523
"September 6, 2019",10
"September 4, 2019",9975
"September 4, 2019",7
"September 3, 2019",9
"August 27, 2019",5329
"August 16, 2019",7527
"August 11, 2019",7527
"August 1, 2019",5001
"July 26, 2019",6459
"July 19, 2019",6501
"July 14, 2019",63
"July 6, 2019",8499
"June 29, 2019",6299
"June 18, 2019",65
"June 13, 2019",65
"June 5, 2019",75
"May 31, 2019",566
"May 25, 2019",65
"May 24, 2019",599
"May 23, 2019",5951
"May 17, 2019",55
"May 16, 2019",5
"May 16, 2019",63
"May 14, 2019",65
"May 4, 2019",5101
"April 26, 2019",6401
"April 24, 2019",65
"April 14, 2019",625
"April 12, 2019",5201
"April 10, 2019",585
"April 8, 2019",572
"March 26, 2019",5739
"March 24, 2019",6155
"March 20, 2019",47
"March 14, 2019",47
"March 13, 2019",6694
"March 13, 2019",6382
"March 12, 2019",567
"March 7, 2019",6826
"March 7, 2019",52
"March 7, 2019",5501
"March 1, 2019",5495
"February 20, 2019",5776
"February 14, 2019",64
"February 12, 2019",57
"February 11, 2019",451
"February 7, 2019",4902
"January 28, 2019",5
"March 7, 2019",6826
"March 7, 2019",52
"March 7, 2019",5501
"March 1, 2019",5495
"February 20, 2019",5776
"February 14, 2019",64
"February 12, 2019",57
"February 11, 2019",451
"February 7, 2019",4902
"January 28, 2019",5
"January 7, 2019",5777
"January 7, 2019",46
"November 26, 2018",45
"November 24, 2018",42
"November 20, 2018",45
"November 19, 2018",4368
"November 7, 2018",505
"November 5, 2018",47
"October 28, 2018",46
"October 25, 2018",6299
"January 7, 2019",5777
"January 7, 2019",46
"November 26, 2018",45
"November 24, 2018",42
"November 20, 2018",45
"November 19, 2018",4368
"November 7, 2018",505
"November 5, 2018",47
"October 28, 2018",46
"October 25, 2018",6299
"October 22, 2018",4601
"October 13, 2018",5
"September 28, 2018",475
"September 25, 2018",48
"September 25, 2018",5185
"September 23, 2018",39
"September 22, 2018",505
"September 19, 2018",4312
"September 2, 2018",55
"August 9, 2018",525
"January 7, 2019",5777
"January 7, 2019",46
"November 26, 2018",45
