dates,prices
"July 16, 2020",1422
"July 16, 2020",1617
"July 16, 2020",1585
"July 16, 2020",156
"July 16, 2020",143
"July 16, 2020",1395
"July 16, 2020",1115
"July 16, 2020",1591
"July 16, 2020",1584
"July 16, 2020",1404
"July 16, 2020",1272
"July 16, 2020",16
"July 16, 2020",1166
"July 16, 2020",1513
"July 15, 2020",137
"July 15, 2020",1566
"July 15, 2020",1685
"July 15, 2020",1509
"July 15, 2020",1566
"July 15, 2020",1345
"July 15, 2020",174
"July 15, 2020",168
"July 15, 2020",1695
"July 15, 2020",1642
"July 15, 2020",154
"July 15, 2020",1566
"July 15, 2020",1685
"July 15, 2020",1509
"July 15, 2020",1566
"July 15, 2020",1345
"July 15, 2020",174
"July 15, 2020",168
"July 15, 2020",1695
"July 15, 2020",1642
"July 15, 2020",154
"July 15, 2020",1658
"July 15, 2020",1703
"July 15, 2020",16
"July 15, 2020",1352
"July 15, 2020",181
"July 15, 2020",1375
"July 15, 2020",15
"July 15, 2020",1648
"July 15, 2020",155
"July 15, 2020",1325
"July 15, 2020",1658
"July 15, 2020",1703
"July 15, 2020",16
"July 15, 2020",1352
"July 15, 2020",181
"July 15, 2020",1375
"July 15, 2020",15
"July 15, 2020",1648
"July 15, 2020",155
"July 15, 2020",1325
"July 15, 2020",154
"July 14, 2020",155
"July 14, 2020",1157
"July 14, 2020",15
"July 14, 2020",185
"July 14, 2020",1591
"July 14, 2020",1445
"July 14, 2020",1649
"July 14, 2020",1477
"July 14, 2020",1445
"July 15, 2020",154
"July 14, 2020",155
"July 14, 2020",1157
"July 14, 2020",15
"July 14, 2020",185
"July 14, 2020",1591
"July 14, 2020",1445
"July 14, 2020",1649
"July 14, 2020",1477
"July 14, 2020",1445
"July 14, 2020",1647
"July 14, 2020",195
"July 14, 2020",155
"July 14, 2020",1511
"July 14, 2020",1564
"July 14, 2020",1451
"July 14, 2020",155
"July 14, 2020",17
"July 14, 2020",175
"July 14, 2020",1699
"July 14, 2020",1705
"July 14, 2020",165
"July 14, 2020",1698
"July 14, 2020",15
"July 14, 2020",1459
"July 14, 2020",1556
"July 14, 2020",1697
"July 14, 2020",175
"July 14, 2020",16
"July 14, 2020",1298
"July 14, 2020",1705
"July 14, 2020",165
"July 14, 2020",1698
"July 14, 2020",15
"July 14, 2020",1459
"July 14, 2020",1556
"July 14, 2020",1697
"July 14, 2020",175
"July 14, 2020",16
"July 14, 2020",1298
"July 14, 2020",1494
"July 14, 2020",1125
"July 14, 2020",1693
"July 14, 2020",17
"July 14, 2020",1369
"July 13, 2020",1651
"July 13, 2020",1499
"July 13, 2020",157
"July 13, 2020",1442
"July 13, 2020",1425
"July 14, 2020",1494
"July 14, 2020",1125
"July 14, 2020",1693
"July 14, 2020",17
"July 14, 2020",1369
"July 13, 2020",1651
"July 13, 2020",1499
"July 13, 2020",157
"July 13, 2020",1442
"July 13, 2020",1425
"July 13, 2020",145
"July 13, 2020",1509
"July 13, 2020",900
"July 13, 2020",1
"July 13, 2020",1697
"July 13, 2020",136
"July 13, 2020",145
"July 13, 2020",1574
"July 13, 2020",101
"July 13, 2020",155
"July 13, 2020",905
"July 13, 2020",1161
"July 13, 2020",1664
"July 13, 2020",1428
"July 13, 2020",1983
"July 13, 2020",15
"July 13, 2020",1604
"July 13, 2020",147
"July 13, 2020",159
"July 13, 2020",1401
"July 13, 2020",905
"July 13, 2020",1161
"July 13, 2020",1664
"July 13, 2020",1428
"July 13, 2020",1983
"July 13, 2020",15
"July 13, 2020",1604
"July 13, 2020",147
"July 13, 2020",159
"July 13, 2020",1401
"July 13, 2020",15
"July 12, 2020",1646
"July 12, 2020",1566
"July 12, 2020",1565
"July 12, 2020",1426
"July 12, 2020",166
"July 12, 2020",2099
"July 12, 2020",15
"July 12, 2020",125
"July 11, 2020",1383
"July 13, 2020",15
"July 12, 2020",1646
"July 12, 2020",1566
"July 12, 2020",1565
"July 12, 2020",1426
"July 12, 2020",166
"July 12, 2020",2099
"July 12, 2020",15
"July 12, 2020",125
"July 11, 2020",1383
"July 11, 2020",135
"July 11, 2020",1468
"July 11, 2020",941
"July 11, 2020",165
"July 11, 2020",13
"July 11, 2020",1638
"July 11, 2020",1616
"July 11, 2020",153
"July 11, 2020",16
"July 11, 2020",1514
"July 11, 2020",135
"July 11, 2020",1468
"July 11, 2020",941
"July 11, 2020",165
"July 11, 2020",13
"July 11, 2020",1638
"July 11, 2020",1616
"July 11, 2020",153
"July 11, 2020",16
"July 11, 2020",1514
"July 11, 2020",124
"July 11, 2020",15
"July 11, 2020",1152
"July 11, 2020",1575
"July 11, 2020",1512
"July 11, 2020",156
"July 11, 2020",1575
"July 11, 2020",116
"July 10, 2020",1675
"July 10, 2020",115
"July 10, 2020",167
"July 10, 2020",16
"July 10, 2020",15
"July 10, 2020",129
"July 10, 2020",16
"July 10, 2020",1693
"July 10, 2020",1625
"July 10, 2020",1351
"July 10, 2020",16
"July 10, 2020",1356
"July 10, 2020",155
"July 10, 2020",1517
"July 10, 2020",1508
"July 10, 2020",1678
"July 10, 2020",119
"July 10, 2020",1615
"July 9, 2020",1511
"July 9, 2020",1485
"July 9, 2020",1726
"July 9, 2020",1281
"July 9, 2020",1688
"July 9, 2020",1588
"July 9, 2020",1245
"July 9, 2020",1355
"July 9, 2020",1281
"July 9, 2020",1345
"July 9, 2020",1683
"July 9, 2020",1897
"July 9, 2020",1525
"July 9, 2020",152
"July 9, 2020",1688
"July 9, 2020",1588
"July 9, 2020",1245
"July 9, 2020",1355
"July 9, 2020",1281
"July 9, 2020",1345
"July 9, 2020",1683
"July 9, 2020",1897
"July 9, 2020",1525
"July 9, 2020",152
"July 9, 2020",16
"July 9, 2020",1499
"July 9, 2020",15
"July 9, 2020",1669
"July 9, 2020",1431
"July 9, 2020",13
"July 9, 2020",1573
"July 9, 2020",1652
"July 9, 2020",1686
"July 9, 2020",1441
"July 9, 2020",16
"July 9, 2020",1499
"July 9, 2020",15
"July 9, 2020",1669
"July 9, 2020",1431
"July 9, 2020",13
"July 9, 2020",1573
"July 9, 2020",1652
"July 9, 2020",1686
"July 9, 2020",1441
"July 9, 2020",13
"July 8, 2020",846
"July 8, 2020",153
"July 8, 2020",1499
"July 8, 2020",16
"July 8, 2020",850
"July 8, 2020",1555
"July 8, 2020",1646
"July 8, 2020",1408
"July 8, 2020",1575
"July 9, 2020",13
"July 8, 2020",846
"July 8, 2020",153
"July 8, 2020",1499
"July 8, 2020",16
"July 8, 2020",850
"July 8, 2020",1555
"July 8, 2020",1646
"July 8, 2020",1408
"July 8, 2020",1575
"July 8, 2020",16
"July 8, 2020",877
"July 8, 2020",1432
"July 8, 2020",145
"July 8, 2020",1501
"July 8, 2020",16
"July 8, 2020",1599
"July 8, 2020",1301
"July 8, 2020",14
"July 8, 2020",1685
"July 8, 2020",154
"July 8, 2020",1398
"July 8, 2020",1635
"July 8, 2020",1554
"July 8, 2020",156
"July 8, 2020",1643
"July 8, 2020",1553
"July 8, 2020",1624
"July 8, 2020",1647
"July 8, 2020",1635
"July 8, 2020",154
"July 8, 2020",1398
"July 8, 2020",1635
"July 8, 2020",1554
"July 8, 2020",156
"July 8, 2020",1643
"July 8, 2020",1553
"July 8, 2020",1624
"July 8, 2020",1647
"July 8, 2020",1635
"July 8, 2020",146
"July 7, 2020",13
"July 7, 2020",1701
"July 7, 2020",147
"July 7, 2020",1422
"July 7, 2020",13
"July 7, 2020",1501
"July 7, 2020",1038
"July 7, 2020",1634
"July 7, 2020",146
"July 7, 2020",1697
"July 7, 2020",1449
"July 7, 2020",1269
"July 7, 2020",1498
"July 7, 2020",1643
"July 7, 2020",1501
"July 7, 2020",1646
"July 7, 2020",13
"July 7, 2020",1568
"July 7, 2020",1375
"July 7, 2020",1697
"July 7, 2020",1449
"July 7, 2020",1269
"July 7, 2020",1498
"July 7, 2020",1643
"July 7, 2020",1501
"July 7, 2020",1646
"July 7, 2020",13
"July 7, 2020",1568
"July 7, 2020",1375
"July 7, 2020",1398
"July 7, 2020",1461
"July 7, 2020",16
"July 6, 2020",1647
"July 6, 2020",1343
"July 6, 2020",1158
"July 6, 2020",115
"July 6, 2020",1352
"July 6, 2020",1582
"July 6, 2020",1502
"July 7, 2020",1398
"July 7, 2020",1461
"July 7, 2020",16
"July 6, 2020",1647
"July 6, 2020",1343
"July 6, 2020",1158
"July 6, 2020",115
"July 6, 2020",1352
"July 6, 2020",1582
"July 6, 2020",1502
"July 6, 2020",1348
"July 6, 2020",15
"July 6, 2020",1298
"July 6, 2020",1425
"July 6, 2020",142
"July 6, 2020",1556
"July 6, 2020",904
"July 6, 2020",1499
"July 6, 2020",1541
"July 6, 2020",1266
"July 6, 2020",1348
"July 6, 2020",15
"July 6, 2020",1298
"July 6, 2020",1425
"July 6, 2020",142
"July 6, 2020",1556
"July 6, 2020",904
"July 6, 2020",1499
"July 6, 2020",1541
"July 6, 2020",1266
"July 6, 2020",1348
"July 6, 2020",15
"July 6, 2020",1298
"July 6, 2020",1425
"July 6, 2020",142
"July 6, 2020",1556
"July 6, 2020",904
"July 6, 2020",1499
"July 6, 2020",1541
"July 6, 2020",1266
"July 6, 2020",1348
"July 6, 2020",15
"July 6, 2020",1298
"July 6, 2020",1425
"July 6, 2020",142
"July 6, 2020",1556
"July 6, 2020",904
"July 6, 2020",1499
"July 6, 2020",1541
"July 6, 2020",1266
"July 6, 2020",1348
"July 6, 2020",15
"July 6, 2020",1298
