,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
0,1997,Bundesliga,18,765533.0,,42530.0,,9449798,,30882,,0.7261,
1,1998,Bundesliga,18,811886.0,0.06054996975963145,45105.0,0.06054549729602643,10087247,0.06745636255928433,32965,0.06745029467003438,0.7309,0.006610659688748077
2,1999,Bundesliga,18,845541.0,0.04145286407204951,46975.0,0.04145881831282572,10026166,-0.00605526958941327,32765,-0.00606704080084941,0.6975,-0.04569708578464904
3,2000,Bundesliga,18,774988.0,-0.08344125240526479,43055.0,-0.08344864289515697,9549181,-0.04757401782495918,31206,-0.04758126049137801,0.7248,0.03913978494623649
4,2001,Bundesliga,18,797598.0,0.02917464528483027,44311.0,0.029171989315991187,9462110,-0.009118164165073384,30922,-0.009100813946036013,0.6978,-0.037251655629139124
5,2002,Bundesliga,18,837014.0,0.049418378681992614,46501.0,0.0494233937397035,10113007,0.06878983651637949,33049,0.06878597762111127,0.7107,0.018486672398968285
6,2003,Bundesliga,18,836582.0,-0.0005161203994198393,46477.0,-0.0005161179329477017,10447982,0.033123184825245344,34144,0.03313262125934213,0.7346,0.033628816659631466
7,2004,Bundesliga,18,863039.0,0.031625112660803145,47947.0,0.031628547453579126,11442726,0.09520919925015181,37395,0.09521438612933464,0.7799,0.06166621290498231
8,2005,Bundesliga,18,857054.0,-0.006934796689373246,47614.0,-0.006945168623688658,11570634,0.011178105636716396,37813,0.011177964968578591,0.7942,0.01833568406205921
9,2006,Bundesliga,18,909457.0,0.06114317184214757,50525.0,0.06113748057294077,12478319,0.07844730029486713,40779,0.07843863221643343,0.8071,0.016242760010072965
10,2007,Bundesliga,18,861192.0,-0.05307012865918892,47844.0,-0.05306284017812968,12226795,-0.020156881708185193,39957,-0.020157433973368666,0.8352,0.03481600792962469
11,2008,Bundesliga,18,816042.0,-0.05242733327759663,45336.0,-0.05242036619011792,12069813,-0.01283917821473246,39444,-0.012838801711840264,0.87,0.04166666666666652
12,2009,Bundesliga,18,839712.0,0.029005859992500493,46651.0,0.02900564672666306,13011578,0.07802647812356334,42521,0.07800932968258789,0.9115,0.04770114942528725
13,2010,Bundesliga,18,883339.0,0.05195471780801042,49074.0,0.05193886519045687,13001871,-0.0007460278837816414,42490,-0.0007290515274804843,0.8658,-0.05013713658804164
14,2011,Bundesliga,18,860487.0,-0.02587002272060901,47805.0,-0.025858906956840677,13054960,0.004083181566714611,42663,0.004071546246175561,0.8924,0.03072303072303062
15,2012,Bundesliga,18,884750.0,0.02819682342673402,49153.0,0.028197887250287712,13805496,0.05749048637452736,45116,0.05749712865949408,0.9179,0.028574630210667973
16,2013,Bundesliga,18,832977.0,-0.05851709522463977,46277.0,-0.05851117937867478,13042590,-0.055261035170340866,42623,-0.055257558294175,0.9211,0.0034862185423247816
17,2014,Bundesliga,18,859725.0,0.03211133080505224,47763.0,0.032110983858071984,13310270,0.020523530985793403,43498,0.020528822466743257,0.9107,-0.011290847899250944
18,2015,Bundesliga,18,851400.0,-0.009683328971473393,47300.0,-0.009693695957121662,13321486,0.0008426575869611153,43534,0.0008276242585865123,0.9204,0.010651147468979882
19,2016,Bundesliga,18,845600.0,-0.006812309137890549,46978.0,-0.006807610993657454,13249778,-0.0053828829606547,43300,-0.005375109110120846,0.9217,0.0014124293785311437
20,2017,Bundesliga,18,802297.0,-0.0512097918637654,44572.0,-0.05121546255694154,12703927,-0.04119699213073613,41516,-0.04120092378752882,0.9314,0.010524031680590351
21,2018,Bundesliga,18,878546.0,0.09503837107704505,48808.0,0.09503724311226769,13661796,0.07539944144830169,44646,0.0753926197128818,0.9147,-0.01792999785269489
22,2019,Bundesliga,18,876146.0,-0.0027317863834107614,48675.0,-0.0027249631207998393,13295405,-0.026818655468138997,43449,-0.026810912511759155,0.8926,-0.024160927079916905
23,2020,Bundesliga,18,803709.0,-0.08267685979277428,44651.0,-0.08267077555213154,9112950,-0.3145789842430524,29781,-0.3145757094524615,0.667,-0.2527447904996638
