"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2017,1,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",217.9
2017,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",432.4
2017,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",207.8
2017,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",300.7
2017,1,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",487.7
2017,1,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",337.9
2017,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",490.5
2017,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",389.7
2017,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",333.6
2017,1,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",299.6
2017,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",381.6
2017,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",96.7
2017,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",189.6
2017,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",249.8
2017,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",348.3
2017,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",208.9
2017,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",215.4
2017,1,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",221.4
2017,1,4,"Les Corts",19,"les Corts","Total. Milers d'euros",432.3
2017,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",406.5
2017,1,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",1027.1
2017,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",404.2
2017,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",567.4
2017,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",763.4
2017,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",567.4
2017,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros",498.9
2017,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros",507.4
2017,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros",332
2017,1,6,"Gràcia",29,"el Coll","Total. Milers d'euros",163.5
2017,1,6,"Gràcia",30,"la Salut","Total. Milers d'euros",266.5
2017,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros",452.4
2017,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros",292.8
2017,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros",256
2017,1,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros",249.3
2017,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros",191.5
2017,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros",236.6
2017,1,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros",127.8
2017,1,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros",121.9
2017,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros",164.9
2017,1,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros",132
2017,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros",192.4
2017,1,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros",NA
2017,1,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros",200.4
2017,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros",151.1
2017,1,8,"Nou Barris",45,"Porta","Total. Milers d'euros",146.8
2017,1,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros",81.4
2017,1,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros",NA
2017,1,8,"Nou Barris",48,"la Guineueta","Total. Milers d'euros",134
2017,1,8,"Nou Barris",49,"Canyelles","Total. Milers d'euros",144.5
2017,1,8,"Nou Barris",50,"les Roquetes","Total. Milers d'euros",107.7
2017,1,8,"Nou Barris",51,"Verdun","Total. Milers d'euros",118.3
2017,1,8,"Nou Barris",52,"la Prosperitat","Total. Milers d'euros",136
2017,1,8,"Nou Barris",53,"la Trinitat Nova","Total. Milers d'euros",70.7
2017,1,8,"Nou Barris",54,"Torre Baró","Total. Milers d'euros",NA
2017,1,8,"Nou Barris",55,"Ciutat Meridiana","Total. Milers d'euros",67.3
2017,1,8,"Nou Barris",56,"Vallbona","Total. Milers d'euros",113
2017,1,9,"Sant Andreu",57,"la Trinitat Vella","Total. Milers d'euros",127.8
2017,1,9,"Sant Andreu",58,"Baró de Viver","Total. Milers d'euros",NA
2017,1,9,"Sant Andreu",59,"el Bon Pastor","Total. Milers d'euros",123.3
2017,1,9,"Sant Andreu",60,"Sant Andreu","Total. Milers d'euros",218.5
2017,1,9,"Sant Andreu",61,"la Sagrera","Total. Milers d'euros",219
2017,1,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Milers d'euros",165.3
2017,1,9,"Sant Andreu",63,"Navas","Total. Milers d'euros",317.8
2017,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Milers d'euros",333.4
2017,1,10,"Sant Martí",65,"el Clot","Total. Milers d'euros",397.3
2017,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros",311.6
2017,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros",360.3
2017,1,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros",335.7
2017,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros",640.7
2017,1,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros",192.1
2017,1,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros",317.4
2017,1,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Milers d'euros",231.3
2017,1,10,"Sant Martí",73,"la Verneda i la Pau","Total. Milers d'euros",129.5
2017,1,1,"Ciutat Vella",1,"el Raval","Nou. Milers d'euros",NA
2017,1,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Milers d'euros",354.8
2017,1,1,"Ciutat Vella",3,"la Barceloneta","Nou. Milers d'euros",NA
2017,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Milers d'euros",NA
2017,1,2,"Eixample",5,"el Fort Pienc","Nou. Milers d'euros",1316.2
2017,1,2,"Eixample",6,"la Sagrada Família","Nou. Milers d'euros",NA
2017,1,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Milers d'euros",188.3
2017,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Milers d'euros",445.9
