"Player,Pos,Squad,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Int"
"Jorge Villafaña\Jorge-Villafana,DF,Portland,29,8,27.6,16,11,2,5"
"Sam Vines\Sam-Vines,DF,Colorado,18,3,16.7,6,12,0,1"
"Anton Walkes\Anton-Walkes,DF,Atlanta,17,7,41.2,9,7,1,3"
"Kendall Waston\Kendall-Waston,DF,FC Cincinnati,7,1,14.3,3,4,0,3"
"Joel Waterman\Joel-Waterman,DF,Montreal,21,7,33.3,11,10,0,3"
"Quentin Westberg\Quentin-Westberg,GK,Toronto FC,0,0,,0,0,0,0"
"Brian White\Brian-White,FW,NY Red Bulls,34,10,29.4,4,10,20,1"
"Eryk Williamson\Eryk-Williamson,DF,Portland,2,1,50.0,2,0,0,0"
"Joe Willis\Joe-Willis,GK,Nashville,1,0,0.0,0,1,0,0"
"Alan Winn\Alan-Winn,FW,Nashville,3,1,33.3,0,2,1,0"
"Chris Wondolowski\Chris-Wondolowski,MFFW,San Jose,10,3,30.0,3,1,6,0"
"Vito Wormgoor\Vito-Wormgoor,DF,Columbus,6,2,33.3,5,1,0,4"
"Laurence Wyke\Laurence-Wyke,DF,Atlanta,14,5,35.7,9,5,0,1"
"Jackson Yueill\Jackson-Yueill,MFDF,San Jose,31,9,29.0,15,13,3,3"
"Wilfried Zahibo\Wilfried-Zahibo,MF,New England,47,16,34.0,12,30,5,3"
"Gyasi Zardes\Gyasi-Zardes,FW,Columbus,35,6,17.1,3,10,22,0"
"Lucas Zelarayán\Lucas-Zelarayan,MF,Columbus,45,14,31.1,3,14,28,0"
"Reto Ziegler\Reto-Ziegler,DF,FC Dallas,6,1,16.7,4,1,1,4"
"Walker Zimmerman\Walker-Zimmerman,DF,Nashville,20,8,40.0,9,8,3,1"
"Ethan Zubak\Ethan-Zubak,MF,LA Galaxy,4,0,0.0,0,3,1,0"
"Dario Župarić\Dario-Zuparic,DF,Portland,24,7,29.2,13,11,0,1"
"Graham Zusi\Graham-Zusi,DF,Sporting KC,33,10,30.3,19,7,7,3"
