"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,1,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",142.8
2015,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",380.9
2015,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",169.6
2015,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",341.4
2015,1,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",309.3
2015,1,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",198.1
2015,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",441.7
2015,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",377
2015,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",278.9
2015,1,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",231.9
2015,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",149
2015,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",NA
2015,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",158.6
2015,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",154.7
2015,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",142.3
2015,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",178.1
2015,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",157.5
2015,1,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",371.8
2015,1,4,"Les Corts",19,"les Corts","Total. Milers d'euros",225.8
2015,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",317.3
2015,1,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",485
2015,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",436.5
2015,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",493.4
2015,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",684.5
2015,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",618.7
