,dates,prices
187,"March 4, 2018","$5,225"
188,"February 25, 2018","$5,150"
189,"February 24, 2018","$4,500"
190,"July 30, 2018","$5,500"
191,"July 24, 2018","$4,800"
192,"July 12, 2018","$4,999"
193,"July 9, 2018","$5,251"
194,"June 23, 2018","$4,900"
195,"June 20, 2018","$3,800"
196,"June 13, 2018","$4,550"
197,"June 11, 2018","$4,955"
198,"May 31, 2018","$5,500"
199,"May 26, 2018","$7,000"
200,"May 21, 2018","$5,050"
201,"May 14, 2018","$7,200"
202,"April 26, 2018","$4,800"
203,"April 17, 2018","$5,600"
204,"March 26, 2018","$6,000"
205,"March 23, 2018","$4,900"
206,"March 22, 2018","$5,587"
207,"March 4, 2018","$5,225"
208,"February 25, 2018","$5,150"
209,"February 24, 2018","$4,500"
210,"February 20, 2018","$6,500"
211,"February 14, 2018","$6,000"
212,"February 13, 2018","$4,750"
213,"February 5, 2018","$5,715"
214,"February 2, 2018","$6,490"
215,"January 21, 2018","$6,300"
216,"January 15, 2018","$4,505"
217,"January 13, 2018","$5,520"
218,"December 26, 2017","$6,400"
219,"December 23, 2017","$8,000"
220,"February 20, 2018","$6,500"
221,"February 14, 2018","$6,000"
222,"February 13, 2018","$4,750"
223,"February 5, 2018","$5,715"
224,"February 2, 2018","$6,490"
225,"January 21, 2018","$6,300"
226,"January 15, 2018","$4,505"
227,"January 13, 2018","$5,520"
228,"December 26, 2017","$6,400"
229,"December 23, 2017","$8,000"
230,"December 19, 2017","$4,699"
231,"December 16, 2017","$6,000"
232,"December 15, 2017","$6,000"
233,"December 9, 2017","$5,850"
234,"December 2, 2017","$5,000"
235,"November 21, 2017","$4,700"
236,"November 21, 2017","$6,000"
237,"November 21, 2017","$6,000"
238,"November 21, 2017","$6,000"
239,"November 21, 2017","$5,090"
240,"February 20, 2018","$6,500"
241,"February 14, 2018","$6,000"
242,"February 13, 2018","$4,750"
243,"February 5, 2018","$5,715"
244,"February 2, 2018","$6,490"
245,"January 21, 2018","$6,300"
246,"January 15, 2018","$4,505"
247,"January 13, 2018","$5,520"
248,"December 26, 2017","$6,400"
249,"December 23, 2017","$8,000"
250,"December 19, 2017","$4,699"
251,"December 16, 2017","$6,000"
252,"December 15, 2017","$6,000"
253,"December 9, 2017","$5,850"
254,"December 2, 2017","$5,000"
255,"November 21, 2017","$4,700"
256,"November 21, 2017","$6,000"
257,"November 21, 2017","$6,000"
258,"November 21, 2017","$6,000"
259,"November 21, 2017","$5,090"
260,"December 19, 2017","$4,699"
261,"December 16, 2017","$6,000"
262,"December 15, 2017","$6,000"
263,"December 9, 2017","$5,850"
264,"December 2, 2017","$5,000"
265,"November 21, 2017","$4,700"
266,"November 21, 2017","$6,000"
267,"November 21, 2017","$6,000"
268,"November 21, 2017","$6,000"
269,"November 21, 2017","$5,090"
270,"November 17, 2017","$5,750"
271,"November 8, 2017","$7,000"
272,"November 3, 2017","$7,500"
273,"November 2, 2017","$9,600"
274,"October 27, 2017","$6,500"
275,"October 25, 2017","$5,500"
276,"October 3, 2017","$4,100"
277,"September 23, 2017","$6,387"
278,"September 19, 2017","$7,000"
279,"September 9, 2017","$4,250"
280,"December 19, 2017","$4,699"
281,"December 16, 2017","$6,000"
282,"December 15, 2017","$6,000"
283,"December 9, 2017","$5,850"
284,"December 2, 2017","$5,000"
285,"November 21, 2017","$4,700"
286,"November 21, 2017","$6,000"
287,"November 21, 2017","$6,000"
288,"November 21, 2017","$6,000"
289,"November 21, 2017","$5,090"
290,"November 17, 2017","$5,750"
291,"November 8, 2017","$7,000"
292,"November 3, 2017","$7,500"
293,"November 2, 2017","$9,600"
294,"October 27, 2017","$6,500"
295,"October 25, 2017","$5,500"
296,"October 3, 2017","$4,100"
297,"September 23, 2017","$6,387"
298,"September 19, 2017","$7,000"
299,"September 9, 2017","$4,250"
300,"November 17, 2017","$5,750"
301,"November 8, 2017","$7,000"
302,"November 3, 2017","$7,500"
303,"November 2, 2017","$9,600"
304,"October 27, 2017","$6,500"
305,"October 25, 2017","$5,500"
306,"October 3, 2017","$4,100"
307,"September 23, 2017","$6,387"
308,"September 19, 2017","$7,000"
309,"September 9, 2017","$4,250"
310,"November 17, 2017","$5,750"
311,"November 8, 2017","$7,000"
312,"November 3, 2017","$7,500"
313,"November 2, 2017","$9,600"
314,"October 27, 2017","$6,500"
315,"October 25, 2017","$5,500"
316,"October 3, 2017","$4,100"
317,"September 23, 2017","$6,387"
318,"September 19, 2017","$7,000"
319,"September 9, 2017","$4,250"
320,"September 6, 2017","$8,172"
321,"September 6, 2017","$8,172"
322,"September 4, 2017","$5,240"
323,"September 3, 2017","$5,500"
324,"August 30, 2017","$5,500"
325,"August 27, 2017","$8,172"
326,"August 27, 2017","$5,800"
327,"August 21, 2017","$7,500"
328,"August 18, 2017","$5,000"
329,"August 17, 2017","$5,490"
330,"September 6, 2017","$8,172"
331,"September 6, 2017","$8,172"
332,"September 4, 2017","$5,240"
333,"September 3, 2017","$5,500"
334,"August 30, 2017","$5,500"
335,"August 27, 2017","$8,172"
336,"August 27, 2017","$5,800"
337,"August 21, 2017","$7,500"
338,"August 18, 2017","$5,000"
339,"August 17, 2017","$5,490"
340,"August 17, 2017","$4,700"
341,"August 10, 2017","$7,152"
342,"August 10, 2017","$4,750"
343,"July 13, 2017","$5,150"
344,"July 7, 2017","$4,489"
345,"July 3, 2017","$4,100"
346,"July 3, 2017","$3,700"
347,"June 29, 2017","$4,945"
348,"June 27, 2017","$5,000"
349,"June 14, 2017","$4,489"
350,"September 6, 2017","$8,172"
351,"September 6, 2017","$8,172"
352,"September 4, 2017","$5,240"
353,"September 3, 2017","$5,500"
354,"August 30, 2017","$5,500"
355,"August 27, 2017","$8,172"
356,"August 27, 2017","$5,800"
357,"August 21, 2017","$7,500"
358,"August 18, 2017","$5,000"
359,"August 17, 2017","$5,490"
360,"August 17, 2017","$4,700"
361,"August 10, 2017","$7,152"
362,"August 10, 2017","$4,750"
363,"July 13, 2017","$5,150"
364,"July 7, 2017","$4,489"
365,"July 3, 2017","$4,100"
366,"July 3, 2017","$3,700"
367,"June 29, 2017","$4,945"
368,"June 27, 2017","$5,000"
369,"June 14, 2017","$4,489"
370,"September 6, 2017","$8,172"
371,"September 6, 2017","$8,172"
372,"September 4, 2017","$5,240"
373,"September 3, 2017","$5,500"
374,"August 30, 2017","$5,500"
375,"August 27, 2017","$8,172"
376,"August 27, 2017","$5,800"
377,"August 21, 2017","$7,500"
378,"August 18, 2017","$5,000"
379,"August 17, 2017","$5,490"
380,"August 17, 2017","$4,700"
381,"August 10, 2017","$7,152"
382,"August 10, 2017","$4,750"
383,"July 13, 2017","$5,150"
384,"July 7, 2017","$4,489"
385,"July 3, 2017","$4,100"
386,"July 3, 2017","$3,700"
387,"June 29, 2017","$4,945"
388,"June 27, 2017","$5,000"
389,"June 14, 2017","$4,489"
390,"September 6, 2017","$8,172"
391,"September 6, 2017","$8,172"
392,"September 4, 2017","$5,240"
393,"September 3, 2017","$5,500"
394,"August 30, 2017","$5,500"
395,"August 27, 2017","$8,172"
396,"August 27, 2017","$5,800"
397,"August 21, 2017","$7,500"
398,"August 18, 2017","$5,000"
399,"August 17, 2017","$5,490"
400,"June 11, 2017","$4,450"
401,"June 6, 2017","$5,750"
402,"June 6, 2017","$7,152"
403,"May 24, 2017","$4,500"
404,"May 19, 2017","$5,750"
405,"May 15, 2017","$4,835"
406,"May 5, 2017","$4,401"
407,"May 5, 2017","$4,402"
408,"April 27, 2017","$5,000"
409,"April 22, 2017","$7,000"
410,"August 17, 2017","$4,700"
411,"August 10, 2017","$7,152"
412,"August 10, 2017","$4,750"
413,"July 13, 2017","$5,150"
414,"July 7, 2017","$4,489"
415,"July 3, 2017","$4,100"
416,"July 3, 2017","$3,700"
417,"June 29, 2017","$4,945"
418,"June 27, 2017","$5,000"
419,"June 14, 2017","$4,489"
420,"August 17, 2017","$4,700"
421,"August 10, 2017","$7,152"
422,"August 10, 2017","$4,750"
423,"July 13, 2017","$5,150"
424,"July 7, 2017","$4,489"
425,"July 3, 2017","$4,100"
426,"July 3, 2017","$3,700"
427,"June 29, 2017","$4,945"
428,"June 27, 2017","$5,000"
429,"June 14, 2017","$4,489"
430,"June 11, 2017","$4,450"
431,"June 6, 2017","$5,750"
432,"June 6, 2017","$7,152"
433,"May 24, 2017","$4,500"
434,"May 19, 2017","$5,750"
435,"May 15, 2017","$4,835"
436,"May 5, 2017","$4,401"
437,"May 5, 2017","$4,402"
438,"April 27, 2017","$5,000"
439,"April 22, 2017","$7,000"
440,"August 17, 2017","$4,700"
441,"August 10, 2017","$7,152"
442,"August 10, 2017","$4,750"
443,"July 13, 2017","$5,150"
444,"July 7, 2017","$4,489"
445,"July 3, 2017","$4,100"
