,brand,model,price
324,Dior ,And Shawn B23 High ,"1,079"
325,Louis Vuitton ,Arclight Trainer Rose Pop ,"1,079"
326,Nike ,Dunk High ,"1,075"
327,Nike ,Dunk Low Pro SB ,"1,073"
328,Nike ,Dunk SB High Papa ,"1,071"
329,Balenciaga ,Triple S Red Clear Sole ,"1,064"
330,Nike ,Air Max 90 Patta Homegrown ,"1,062"
331,Nike ,SB Dunk Low Verdy Girls t ,"1,062"
332,Nike ,Dunk SB Low Baby ,"1,062"
333,Chanel ,Low Top Trainer CC Triple ,"1,061"
334,Nike ,Air Force 1 Low 40 Club White ,"1,057"
335,Nike ,SB Dunk Low Green ,"1,054"
336,Nike ,Air Max 1 Animal ,"1,050"
337,Nike ,Air Max 97 Off-,"1,050"
338,Vans ,Era colette Cobra ,"1,042"
339,Dior ,B22 Reflective ,"1,037"
340,Louis Vuitton ,Archlight Trainer Monogram White ,"1,036"
341,Nike ,Air Foamposite Pro ,"1,036"
342,Louis Vuitton ,Sport Supreme White ,"1,031"
343,Jordan ,XXXIV Paris Friends and ,"1,030"
344,Nike ,Air Force 1 Low Patta Asia Tour ,"1,029"
345,Jordan ,1 Retro Satin  ,"1,027"
346,adidas ,Futurecraft 4D Daniel ,"1,027"
347,Nike ,Dunk High  ,"1,027"
348,Nike ,Kobe 1 Protro Undefeated Yellow Camo La ,"1,020"
349,Dior ,B23 High Canvas Sorayama Dinosaur ,"1,019"
350,Nike ,SB Blazer Milk ,"1,018"
351,Dior ,B22 ,"1,015"
352,Nike ,Dunk SB Low Purple ,"1,014"
353,Nike ,SB Dunk Low Travis Scott Regular ,"1,013"
354,Dior ,B23 High Top Gradient ,"1,006"
355,Nike ,Kobe 11 Elite Low Black Mamba Collection Fade to ,"1,006"
356,Nike ,Air Max 97 UNDFTD ,"1,003"
357,Jordan ,1 Retro High OG Quai54 ,998
358,Chanel ,Low Top Trainer CC ,993
359,Nike ,Air Foamposite One Supreme ,991
360,Louis Vuitton ,Archlight Trainer Rose Clair ,990
361,Nike ,Hyperdunk Marty ,987
362,Dior ,B22 Orange ,987
363,Louis Vuitton ,Archlight Trainer Monogram Black ,987
364,Jordan ,13 Retro Premio Bin ,987
365,Nike ,Dunk SB High Lucky ,985
366,Jordan ,1 Retro Shattered ,983
367,Dior ,B22 Blue Black ,983
368,Dior ,B23 High Top Multicolor ,982
369,Jordan ,7 Retro ,982
370,Yeezy ,Neoprene Slipper Season 7 ,981
371,Nike ,Air Foamposite One Dark Army ,981
372,Li-,Ning Way of Wade 2 All Star Black ,980
373,Nike ,Air Max 1 ,980
374,Nike ,Air Force 1 Low Travis Scott ,979
375,ASICS ,Gel-Burz 1 Kiko Kostadinov ,978
376,Dior ,B22 ,977
377,Nike ,Air Precision White-Cool ,977
378,Jordan ,x Max Atmos ,975
379,Nike ,Air Max 180 ,971
380,Nike ,Air Max 97 Off-White Elemental Rose Serena ,970
381,Dior ,Dior Oblique Knit ,970
382,Nike ,Kobe 1 Protro Devin Booker ,970
383,Nike ,Kyrie 4 ,968
384,Nike ,Blazer Mid Off-White Wolf Grey Serena ,962
385,Fear ,Of God Military Sneaker Army ,962
386,adidas ,Human Race NMD Pharrell x BBC Cotton ,962
387,Nike ,Dunk SB Low ,960
388,Nike ,Air Fear Of God 1 ,959
389,Dior ,B23 Low Top Alex Foxton ,958
390,Dior ,B23 Low Top Gradient ,958
391,Nike ,SB Dunk Low Panda Pigeon Special  ,957
392,adidas ,Yeezy Boost 350 V2 Synth ,956
393,Nike ,SB Dunk High Paul ,955
394,Nike ,Wing Tip Tom Sachs x Cole Hann Mission ,950
395,Jordan ,4 Retro Do the Right Thing ,950
396,Nike ,HyperAdapt 0 ,943
397,Balenciaga ,Triple S Neon Green Clear ,943
398,Dior ,B22 Blue ,943
399,Louis Vuitton ,Cosy Mule Monogram ,939
400,Dior ,B24 ,938
401,Jordan ,9 Retro Premio Bin ,936
402,adidas ,Yeezy Boost 350 V2 Core Black ,932
403,Balenciaga ,Track Trainer Pink ,932
404,adidas ,Yeezy Boost 750 Light Grey Glow In the ,930
405,Gucci ,Flashtrek SEGA Green Removable ,930
406,Balenciaga ,Track Trainer ,929
407,Dior ,B23 High Top Blue ,923
408,Jordan ,1 Retro High New ,919
409,Nike ,LeBron 15 Equality ,917
410,New Balance ,990 Madness ,917
411,Jordan ,1 Retro Doernbecher  ,915
412,Balenciaga ,Triple S Neon Green Clear Sole ,913
413,Nike ,LeBron 15 Performance KITH s ,913
414,Nike ,Air Max 97 Sean Wotherspoon Extra Lace Set ,912
415,Nike ,Air Force 1 Low Year Of The Dog ,911
416,Nike ,LeBron X Elite Peach ,909
