,dates,prices
187,"April 26, 2020","$2,050"
188,"April 24, 2020","$2,040"
189,"April 23, 2020","$2,478"
190,"May 20, 2020","$2,083"
191,"May 19, 2020","$2,420"
192,"May 18, 2020","$1,971"
193,"May 16, 2020","$1,981"
194,"May 16, 2020","$1,819"
195,"May 16, 2020","$1,749"
196,"May 15, 2020","$2,300"
197,"May 13, 2020","$2,327"
198,"May 9, 2020","$2,055"
199,"May 9, 2020","$2,720"
200,"May 6, 2020","$2,350"
201,"April 30, 2020","$2,488"
202,"April 30, 2020","$2,151"
203,"April 30, 2020","$2,100"
204,"April 30, 2020","$2,450"
205,"April 28, 2020","$1,800"
206,"April 26, 2020","$2,028"
207,"April 26, 2020","$2,050"
208,"April 24, 2020","$2,040"
209,"April 23, 2020","$2,478"
210,"May 6, 2020","$2,350"
211,"April 30, 2020","$2,488"
212,"April 30, 2020","$2,151"
213,"April 30, 2020","$2,100"
214,"April 30, 2020","$2,450"
215,"April 28, 2020","$1,800"
216,"April 26, 2020","$2,028"
217,"April 26, 2020","$2,050"
218,"April 24, 2020","$2,040"
219,"April 23, 2020","$2,478"
220,"May 6, 2020","$2,350"
221,"April 30, 2020","$2,488"
222,"April 30, 2020","$2,151"
223,"April 30, 2020","$2,100"
224,"April 30, 2020","$2,450"
225,"April 28, 2020","$1,800"
226,"April 26, 2020","$2,028"
227,"April 26, 2020","$2,050"
228,"April 24, 2020","$2,040"
229,"April 23, 2020","$2,478"
230,"May 6, 2020","$2,350"
231,"April 30, 2020","$2,488"
232,"April 30, 2020","$2,151"
233,"April 30, 2020","$2,100"
234,"April 30, 2020","$2,450"
235,"April 28, 2020","$1,800"
236,"April 26, 2020","$2,028"
237,"April 26, 2020","$2,050"
238,"April 24, 2020","$2,040"
239,"April 23, 2020","$2,478"
240,"April 21, 2020","$1,875"
241,"April 21, 2020","$2,487"
242,"April 18, 2020","$1,750"
243,"April 17, 2020","$2,200"
244,"April 16, 2020","$2,098"
245,"April 15, 2020","$2,330"
246,"April 13, 2020","$1,800"
247,"April 11, 2020","$2,301"
248,"April 10, 2020","$1,980"
249,"April 10, 2020","$2,265"
250,"May 6, 2020","$2,350"
251,"April 30, 2020","$2,488"
252,"April 30, 2020","$2,151"
253,"April 30, 2020","$2,100"
254,"April 30, 2020","$2,450"
255,"April 28, 2020","$1,800"
256,"April 26, 2020","$2,028"
257,"April 26, 2020","$2,050"
258,"April 24, 2020","$2,040"
259,"April 23, 2020","$2,478"
260,"May 6, 2020","$2,350"
261,"April 30, 2020","$2,488"
262,"April 30, 2020","$2,151"
263,"April 30, 2020","$2,100"
264,"April 30, 2020","$2,450"
265,"April 28, 2020","$1,800"
266,"April 26, 2020","$2,028"
267,"April 26, 2020","$2,050"
268,"April 24, 2020","$2,040"
269,"April 23, 2020","$2,478"
270,"April 21, 2020","$1,875"
271,"April 21, 2020","$2,487"
272,"April 18, 2020","$1,750"
273,"April 17, 2020","$2,200"
274,"April 16, 2020","$2,098"
275,"April 15, 2020","$2,330"
276,"April 13, 2020","$1,800"
277,"April 11, 2020","$2,301"
278,"April 10, 2020","$1,980"
279,"April 10, 2020","$2,265"
280,"May 6, 2020","$2,350"
281,"April 30, 2020","$2,488"
282,"April 30, 2020","$2,151"
283,"April 30, 2020","$2,100"
284,"April 30, 2020","$2,450"
285,"April 28, 2020","$1,800"
286,"April 26, 2020","$2,028"
287,"April 26, 2020","$2,050"
288,"April 24, 2020","$2,040"
289,"April 23, 2020","$2,478"
290,"May 6, 2020","$2,350"
291,"April 30, 2020","$2,488"
292,"April 30, 2020","$2,151"
293,"April 30, 2020","$2,100"
294,"April 30, 2020","$2,450"
295,"April 28, 2020","$1,800"
296,"April 26, 2020","$2,028"
297,"April 26, 2020","$2,050"
298,"April 24, 2020","$2,040"
299,"April 23, 2020","$2,478"
300,"April 21, 2020","$1,875"
301,"April 21, 2020","$2,487"
302,"April 18, 2020","$1,750"
303,"April 17, 2020","$2,200"
304,"April 16, 2020","$2,098"
305,"April 15, 2020","$2,330"
306,"April 13, 2020","$1,800"
307,"April 11, 2020","$2,301"
308,"April 10, 2020","$1,980"
309,"April 10, 2020","$2,265"
310,"April 21, 2020","$1,875"
311,"April 21, 2020","$2,487"
312,"April 18, 2020","$1,750"
313,"April 17, 2020","$2,200"
314,"April 16, 2020","$2,098"
315,"April 15, 2020","$2,330"
316,"April 13, 2020","$1,800"
317,"April 11, 2020","$2,301"
318,"April 10, 2020","$1,980"
319,"April 10, 2020","$2,265"
320,"May 6, 2020","$2,350"
321,"April 30, 2020","$2,488"
322,"April 30, 2020","$2,151"
323,"April 30, 2020","$2,100"
324,"April 30, 2020","$2,450"
325,"April 28, 2020","$1,800"
326,"April 26, 2020","$2,028"
327,"April 26, 2020","$2,050"
328,"April 24, 2020","$2,040"
329,"April 23, 2020","$2,478"
330,"April 21, 2020","$1,875"
331,"April 21, 2020","$2,487"
332,"April 18, 2020","$1,750"
333,"April 17, 2020","$2,200"
334,"April 16, 2020","$2,098"
335,"April 15, 2020","$2,330"
336,"April 13, 2020","$1,800"
337,"April 11, 2020","$2,301"
338,"April 10, 2020","$1,980"
339,"April 10, 2020","$2,265"
340,"April 21, 2020","$1,875"
341,"April 21, 2020","$2,487"
342,"April 18, 2020","$1,750"
343,"April 17, 2020","$2,200"
344,"April 16, 2020","$2,098"
345,"April 15, 2020","$2,330"
346,"April 13, 2020","$1,800"
347,"April 11, 2020","$2,301"
348,"April 10, 2020","$1,980"
349,"April 10, 2020","$2,265"
350,"April 21, 2020","$1,875"
351,"April 21, 2020","$2,487"
352,"April 18, 2020","$1,750"
353,"April 17, 2020","$2,200"
354,"April 16, 2020","$2,098"
355,"April 15, 2020","$2,330"
356,"April 13, 2020","$1,800"
357,"April 11, 2020","$2,301"
358,"April 10, 2020","$1,980"
359,"April 10, 2020","$2,265"
360,"April 21, 2020","$1,875"
361,"April 21, 2020","$2,487"
362,"April 18, 2020","$1,750"
363,"April 17, 2020","$2,200"
364,"April 16, 2020","$2,098"
365,"April 15, 2020","$2,330"
366,"April 13, 2020","$1,800"
367,"April 11, 2020","$2,301"
368,"April 10, 2020","$1,980"
