date,value
2014-09-24,690829.7
2014-09-25,666387.3
2014-09-26,617018.9
2014-09-27,553718.8
2014-09-28,638593.1
2014-09-29,672810.6
2014-09-30,700177.3
2014-10-01,693228.7
2014-10-02,664122.5
2014-10-03,607709.2
2014-10-04,575162.9
2014-10-05,680875.9
2014-10-06,692786.8
2014-10-07,691189.2
2014-10-08,677563.8
2014-10-09,649444.9
2014-10-10,592978.9
2014-10-11,521369.4
2014-10-12,601211.6
2014-10-13,652649.1
2014-10-14,661633.0
2014-10-15,622342.0
2014-10-16,608917.1
2014-10-17,559451.6
2014-10-18,528755.8
2014-10-19,656912.8
2014-10-20,682090.1
2014-10-21,712670.0
2014-10-22,679361.7
2014-10-23,664659.7
2014-10-24,583760.8
2014-10-25,550358.7
2014-10-26,638479.9
2014-10-27,647796.0
2014-10-28,658311.5
2014-10-29,660508.5
2014-10-30,655869.2
2014-10-31,569374.7
2014-11-01,536071.3
2014-11-02,657893.6
2014-11-03,690225.6
2014-11-04,675273.8
2014-11-05,668029.9
2014-11-06,679960.7
2014-11-07,570842.2
2014-11-08,527339.0
2014-11-09,616305.5
2014-11-10,659003.9
2014-11-11,679456.0
2014-11-12,681512.7
2014-11-13,676528.0
2014-11-14,658636.1
2014-11-15,630401.1
2014-11-16,690737.5
2014-11-17,670353.5
2014-11-18,668711.1
2014-11-19,693324.3
2014-11-20,684593.9
2014-11-21,568273.8
2014-11-22,564117.0
2014-11-23,633119.0
2014-11-24,644434.0
2014-11-25,623880.0
2014-11-26,682116.3
2014-11-27,688514.3
2014-11-28,565666.3
2014-11-29,598963.1
2014-11-30,721549.8
2014-12-01,759286.4
2014-12-02,721868.2
2014-12-03,698084.4
2014-12-04,731802.8
2014-12-05,630969.6
2014-12-06,642213.7
2014-12-07,604797.3
2014-12-08,737152.7
2014-12-09,705750.0
2014-12-10,712092.5
2014-12-11,731610.4
2014-12-12,644092.8
2014-12-13,589970.6
2014-12-14,706366.0
2014-12-15,752810.8
2014-12-16,751853.0
2014-12-17,716210.1
2014-12-18,705318.8
2014-12-19,632112.3
2014-12-20,589450.9
2014-12-21,652513.9
2014-12-22,643022.0
2014-12-23,551269.3
2014-12-24,466226.8
2014-12-25,558605.8
2014-12-26,599212.0
2014-12-27,638929.2
2014-12-28,645407.4
2014-12-29,615187.6
2014-12-30,570518.0
2014-12-31,536980.7
2015-01-01,609219.8
2015-01-02,607050.2
2015-01-03,575177.5
2015-01-04,649536.5
2015-01-05,593226.4
2015-01-06,679648.4
2015-01-07,739483.8
2015-01-08,745999.7
2015-01-09,661109.9
2015-01-10,593159.3
2015-01-11,733295.2
2015-01-12,752191.6
2015-01-13,764368.7
2015-01-14,763798.5
2015-01-15,771977.2
2015-01-16,669425.9
2015-01-17,595191.4
2015-01-18,742877.5
2015-01-19,748541.7
2015-01-20,777875.0
2015-01-21,816863.5
2015-01-22,802540.1
2015-01-23,699080.4
2015-01-24,654993.7
2015-01-25,770185.1
2015-01-26,791528.7
2015-01-27,777648.0
2015-01-28,811126.6
2015-01-29,799631.5
2015-01-30,736896.6
2015-01-31,702043.3
2015-02-01,754318.5
2015-02-02,784947.4
2015-02-03,804959.1
2015-02-04,811175.8
2015-02-05,808359.0
2015-02-06,693776.7
2015-02-07,671660.2
2015-02-08,794537.0
2015-02-09,773453.9
2015-02-10,774704.7
2015-02-11,761114.8
2015-02-12,787057.0
2015-02-13,689269.1
