date,source,value_MWh
2014-01-01,CHP,4497.5
2014-01-01,coal,2498.7
2014-01-01,hydro_1,87564.8
2014-01-01,hydro_2,15226.2
2014-01-01,natural_gas,75993.1
2014-01-01,nuclear,144654.6
2014-01-01,solar_PV,7027.3
2014-01-01,wind_power,277443.9
2014-01-02,CHP,14541.1
2014-01-02,coal,19741.4
2014-01-02,hydro_1,94432.6
2014-01-02,hydro_2,21979.8
2014-01-02,natural_gas,83437.4
2014-01-02,nuclear,146177.8
2014-01-02,solar_PV,12817.8
2014-01-02,wind_power,237323.1
2014-01-03,CHP,3555.6
2014-01-03,coal,1288.0
2014-01-03,hydro_1,92236.2
2014-01-03,hydro_2,3192.2
2014-01-03,natural_gas,65023.9
2014-01-03,nuclear,145055.3
2014-01-03,solar_PV,12532.5
2014-01-03,wind_power,329506.6
2014-01-04,CHP,2310.2
2014-01-04,hydro_1,94189.3
2014-01-04,hydro_2,4540.8
2014-01-04,natural_gas,64036.6
2014-01-04,nuclear,145200.2
2014-01-04,solar_PV,14108.3
2014-01-04,wind_power,292138.3
2014-01-05,CHP,6297.0
2014-01-05,coal,2687.0
2014-01-05,hydro_1,103851.1
2014-01-05,hydro_2,5165.4
2014-01-05,natural_gas,74151.3
2014-01-05,nuclear,135624.0
2014-01-05,solar_PV,14555.6
2014-01-05,wind_power,223942.0
2014-01-06,CHP,13118.9
2014-01-06,coal,74823.0
2014-01-06,hydro_1,124957.4
2014-01-06,hydro_2,15446.4
2014-01-06,natural_gas,84881.1
2014-01-06,nuclear,146389.6
2014-01-06,solar_PV,13703.0
2014-01-06,wind_power,157202.9
2014-01-07,CHP,9475.6
2014-01-07,coal,94360.9
2014-01-07,hydro_1,128151.4
2014-01-07,hydro_2,9042.1
2014-01-07,natural_gas,85506.6
2014-01-07,nuclear,146368.0
2014-01-07,solar_PV,11293.0
2014-01-07,wind_power,165472.0
2014-01-08,CHP,14654.4
2014-01-08,coal,133475.7
2014-01-08,hydro_1,143727.0
2014-01-08,hydro_2,18227.7
2014-01-08,natural_gas,88677.3
2014-01-08,nuclear,146448.0
2014-01-08,solar_PV,10322.6
2014-01-08,wind_power,87241.7
2014-01-09,CHP,9695.6
2014-01-09,coal,157866.1
2014-01-09,hydro_1,145897.4
2014-01-09,hydro_2,27724.8
2014-01-09,natural_gas,89009.8
2014-01-09,nuclear,146421.6
2014-01-09,solar_PV,10420.9
2014-01-09,wind_power,51511.4
2014-01-10,CHP,9680.6
2014-01-10,coal,139962.5
2014-01-10,hydro_1,146055.9
2014-01-10,hydro_2,11980.9
2014-01-10,natural_gas,69992.2
2014-01-10,nuclear,146472.0
2014-01-10,solar_PV,11220.3
2014-01-10,wind_power,29767.4
2014-01-11,CHP,8635.6
2014-01-11,coal,44034.2
2014-01-11,hydro_1,140803.7
2014-01-11,hydro_2,5148.6
2014-01-11,natural_gas,67599.7
2014-01-11,nuclear,146462.0
2014-01-11,solar_PV,13510.4
2014-01-11,wind_power,119343.1
2014-01-12,CHP,8570.6
2014-01-12,coal,41426.4
2014-01-12,hydro_1,150803.3
2014-01-12,hydro_2,6072.5
2014-01-12,natural_gas,85282.1
2014-01-12,nuclear,146470.0
2014-01-12,solar_PV,12541.9
2014-01-12,wind_power,205315.2
2014-01-13,CHP,6390.6
2014-01-13,coal,27399.9
2014-01-13,hydro_1,140919.9
2014-01-13,hydro_2,11497.5
2014-01-13,natural_gas,87007.1
2014-01-13,nuclear,146470.0
2014-01-13,solar_PV,6652.8
2014-01-13,wind_power,282712.7
2014-01-14,CHP,9520.6
2014-01-14,coal,65591.3
2014-01-14,hydro_1,149918.1
2014-01-14,hydro_2,23667.8
2014-01-14,natural_gas,83920.5
2014-01-14,nuclear,146470.0
2014-01-14,solar_PV,9090.7
2014-01-14,wind_power,181943.8
2014-01-15,CHP,9070.6
2014-01-15,coal,22622.7
2014-01-15,hydro_1,145451.1
2014-01-15,hydro_2,7934.8
2014-01-15,natural_gas,87817.0
2014-01-15,nuclear,146649.8
2014-01-15,solar_PV,8605.9
2014-01-15,wind_power,242337.2
2014-01-16,CHP,9975.6
2014-01-16,coal,20700.9
2014-01-16,hydro_1,149389.3
2014-01-16,hydro_2,10044.4
2014-01-16,natural_gas,87370.3
2014-01-16,nuclear,146658.0
2014-01-16,solar_PV,14863.9
2014-01-16,wind_power,227000.1
2014-01-17,CHP,9435.6
2014-01-17,coal,45943.1
2014-01-17,hydro_1,151228.3
2014-01-17,hydro_2,11725.7
2014-01-17,natural_gas,68857.5
2014-01-17,nuclear,146705.4
2014-01-17,solar_PV,8345.2
2014-01-17,wind_power,140187.5
2014-01-18,CHP,8980.6
2014-01-18,coal,2962.6
2014-01-18,hydro_1,134761.0
2014-01-18,hydro_2,1243.7
2014-01-18,natural_gas,68393.8
2014-01-18,nuclear,138156.2
2014-01-18,solar_PV,11414.9
2014-01-18,wind_power,192722.1
2014-01-19,CHP,8510.6
2014-01-19,coal,28485.9
2014-01-19,hydro_1,147706.6
2014-01-19,hydro_2,12017.8
2014-01-19,natural_gas,84827.1
2014-01-19,nuclear,145095.5
2014-01-19,solar_PV,15827.5
2014-01-19,wind_power,261296.6
2014-01-20,CHP,7825.0
2014-01-20,coal,94377.6
2014-01-20,hydro_1,157928.4
2014-01-20,hydro_2,17032.2
2014-01-20,natural_gas,86947.3
2014-01-20,nuclear,146424.1
2014-01-20,solar_PV,9005.9
2014-01-20,wind_power,168828.4
2014-01-21,CHP,8730.0
2014-01-21,coal,94619.9
2014-01-21,hydro_1,155230.2
2014-01-21,hydro_2,9472.7
2014-01-21,natural_gas,87678.0
2014-01-21,nuclear,146731.2
2014-01-21,solar_PV,8354.3
2014-01-21,wind_power,174997.7
