,time,type,rate,votes
1,50 min,series,7.7,410
2,,,,
3,122 min,movie,7.7,"10,015"
4,,,,
5,,,,
6,90 min,movie,7.6,"1,459"
7,83 min,movie,5.0,62
8,,,,
9,,,,
10,N/A,movie,7.3,11
11,,,,
12,87 min,movie,6.8,"2,769"
13,,,,
14,,,,
15,60 min,movie,8.0,68
16,,,,
17,96 min,movie,4.8,"6,725"
18,121 min,movie,7.5,"22,321"
19,100 min,movie,6.7,343
20,162 min,movie,6.8,"1,538"
21,,,,
22,89 min,movie,5.6,362
23,,,,
24,90 min,movie,6.3,"16,626"
25,,,,
26,88 min,movie,5.7,"5,339"
27,,,,
28,,,,
29,118 min,movie,7.3,725
30,128 min,movie,6.7,"107,844"
31,58 min,movie,7.7,222
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,88 min,movie,7.2,730
38,87 min,movie,3.6,99
39,,,,
40,,,,
41,,,,
42,88 min,movie,5.7,182
43,,,,
44,117 min,movie,7.0,"5,165"
45,88 min,movie,5.5,"3,981"
46,47 min,movie,8.1,"24,650"
47,118 min,movie,7.8,"12,109"
48,22 min,series,8.5,"38,816"
49,,,,
50,98 min,movie,6.5,990
51,,,,
52,92 min,movie,7.5,"3,313"
53,72 min,movie,1.7,174
54,86 min,movie,6.4,"1,685"
55,95 min,movie,5.3,"10,963"
56,,,,
57,110 min,movie,7.4,"13,346"
58,103 min,movie,6.5,"88,855"
59,,,,
60,,,,
61,45 min,movie,7.4,78
62,,,,
63,106 min,movie,6.3,"1,284"
64,,,,
65,107 min,movie,4.8,149
66,,,,
67,82 min,movie,5.7,"1,261"
68,,,,
69,,,,
70,,,,
71,,,,
72,97 min,movie,7.7,"2,315"
73,,,,
74,118 min,movie,7.2,"1,885"
75,96 min,movie,5.3,362
76,,,,
77,109 min,movie,5.3,"40,875"
78,89 min,movie,5.6,"88,380"
79,84 min,movie,8.0,"77,602"
80,97 min,movie,6.2,"1,841"
81,,,,
82,96 min,movie,6.6,989
83,131 min,movie,7.2,"17,510"
84,73 min,movie,6.5,"8,971"
85,,,,
86,92 min,movie,4.6,628
87,,,,
88,25 min,series,7.4,563
89,96 min,movie,4.6,782
90,91 min,movie,7.1,"1,602"
91,,,,
92,N/A,movie,8.0,45
93,102 min,movie,5.9,"2,701"
94,,,,
95,90 min,movie,6.8,388
96,N/A,movie,6.5,66
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,80 min,movie,6.9,"2,738"
103,,,,
104,160 min,movie,7.2,"15,425"
105,90 min,movie,5.6,799
106,160 min,movie,9.0,110
107,,,,
108,106 min,movie,6.5,"28,734"
109,,,,
110,106 min,movie,6.5,"4,473"
111,,,,
112,,,,
113,100 min,movie,8.1,"2,681"
114,,,,
115,,,,
116,99 min,movie,7.0,"3,457"
117,117 min,movie,6.8,"3,370"
