,time,type,rate,votes
7725,100 min,movie,6.8,574
7726,,,,
7727,,,,
7728,88 min,movie,6.6,"7,870"
7729,,,,
7730,100 min,movie,6.0,"3,822"
7731,94 min,movie,4.8,"1,550"
7732,91 min,movie,6.0,"1,645"
7733,50 min,movie,5.1,7
7734,,,,
7735,90 min,movie,7.6,"2,228"
7736,133 min,movie,7.8,"13,341"
7737,,,,
7738,173 min,movie,6.9,"3,704"
7739,109 min,movie,5.4,"51,679"
7740,97 min,movie,6.4,"6,341"
7741,71 min,movie,6.8,"3,551"
7742,,,,
7743,N/A,movie,N/A,N/A
7744,,,,
7745,140 min,movie,7.6,"255,864"
7746,94 min,movie,5.4,117
7747,150 min,movie,8.2,266
7748,97 min,movie,6.7,"18,162"
7749,,,,
7750,,,,
7751,199 min,series,8.5,"18,389"
7752,,,,
7753,,,,
7754,,,,
7755,106 min,movie,8.0,"32,436"
7756,119 min,movie,7.4,"29,186"
7757,102 min,movie,7.2,"65,469"
7758,92 min,movie,2.4,"3,878"
7759,,,,
7760,97 min,movie,6.5,"1,434"
7761,,,,
7762,92 min,movie,6.2,"20,302"
7763,,,,
7764,,,,
7765,,,,
7766,94 min,movie,4.2,480
7767,107 min,movie,7.7,"273,749"
7768,,,,
7769,,,,
7770,312 min,series,8.4,629
7771,104 min,movie,6.0,"6,265"
7772,,,,
7773,137 min,movie,7.5,"27,403"
7774,104 min,movie,7.9,"13,203"
7775,,,,
7776,89 min,movie,7.3,886
7777,98 min,movie,5.4,279
7778,,,,
7779,126 min,movie,7.3,"97,309"
7780,,,,
7781,91 min,movie,6.7,405
7782,129 min,movie,5.9,"4,579"
7783,,,,
7784,71 min,movie,7.0,"6,421"
7785,,,,
7786,89 min,movie,7.6,"65,510"
7787,,,,
7788,,,,
7789,95 min,movie,3.5,"6,136"
7790,,,,
7791,127 min,movie,7.0,"13,649"
7792,98 min,movie,6.5,138
7793,89 min,movie,7.6,"4,117"
7794,,,,
7795,89 min,movie,6.7,"1,105"
7796,60 min,movie,6.0,65
7797,130 min,movie,6.6,"4,126"
7798,90 min,movie,4.0,882
7799,,,,
7800,,,,
7801,,,,
7802,95 min,movie,6.8,6
7803,80 min,movie,6.8,"1,505"
7804,,,,
7805,60 min,series,6.0,325
7806,75 min,movie,7.8,144
7807,105 min,movie,7.2,"3,157"
7808,104 min,movie,6.8,"1,858"
7809,,,,
7810,,,,
7811,,,,
7812,64 min,movie,7.9,"40,093"
7813,,,,
7814,96 min,movie,5.5,"4,348"
7815,,,,
7816,,,,
7817,,,,
7818,105 min,movie,6.9,963
7819,103 min,movie,6.6,"4,919"
7820,109 min,movie,6.5,"8,179"
7821,,,,
7822,,,,
7823,,,,
7824,,,,
7825,87 min,movie,6.0,"2,176"
7826,93 min,movie,5.9,"36,984"
7827,,,,
7828,97 min,movie,6.8,"173,905"
7829,,,,
7830,,,,
7831,,,,
7832,83 min,movie,6.7,"6,799"
7833,,,,
7834,,,,
7835,,,,
7836,134 min,movie,7.5,"3,745"
7837,85 min,movie,6.1,122
7838,,,,
7839,,,,
7840,,,,
7841,102 min,movie,7.2,"25,342"
7842,,,,
7843,118 min,movie,7.1,979
7844,,,,
7845,60 min,movie,7.3,63
7846,127 min,movie,7.6,"3,243"
7847,92 min,movie,6.9,21
7848,90 min,movie,3.9,912
7849,,,,
7850,,,,
7851,90 min,movie,6.1,"3,269"
7852,86 min,movie,4.7,"27,619"
7853,88 min,movie,5.9,"1,026"
7854,96 min,movie,6.4,"16,967"
7855,,,,
7856,175 min,movie,6.4,"1,421"
7857,42 min,movie,7.0,93
7858,24 min,series,6.6,614
7859,60 min,movie,8.1,39
7860,120 min,movie,5.7,493
7861,,,,
7862,,,,
7863,82 min,movie,3.9,718
7864,113 min,movie,6.2,"13,791"
7865,,,,
7866,,,,
7867,96 min,movie,6.3,"3,738"
7868,N/A,series,6.4,238
7869,89 min,movie,4.5,"2,268"
7870,7 min,movie,8.2,6
7871,,,,
7872,,,,
7873,N/A,movie,N/A,N/A
7874,,,,
7875,82 min,movie,6.3,"55,161"
7876,75 min,movie,7.5,"1,289"
7877,104 min,movie,7.3,"13,693"
7878,,,,
7879,,,,
7880,,,,
7881,109 min,movie,6.0,"4,387"
7882,110 min,movie,6.4,"40,711"
7883,,,,
7884,114 min,movie,6.4,"5,190"
7885,877 min,series,7.9,"18,739"
7886,,,,
7887,,,,
7888,N/A,series,6.5,58
7889,110 min,movie,6.6,"1,644"
7890,,,,
7891,,,,
7892,127 min,movie,6.6,"30,626"
7893,88 min,movie,6.5,264
7894,95 min,movie,5.5,"2,274"
7895,99 min,movie,6.7,"26,681"
7896,90 min,movie,4.1,726
7897,150 min,movie,8.5,73
7898,99 min,movie,7.3,"7,483"
7899,109 min,movie,4.6,"63,088"
7900,98 min,movie,4.1,268
7901,,,,
7902,,,,
7903,,,,
7904,95 min,movie,7.3,"140,021"
7905,,,,
7906,,,,
7907,,,,
7908,106 min,movie,7.8,"4,684"
7909,,,,
7910,130 min,movie,6.7,"84,809"
7911,96 min,movie,4.1,"6,385"
7912,144 min,movie,7.9,"23,386"
7913,85 min,movie,6.4,"1,628"
7914,,,,
7915,99 min,movie,6.7,"2,194"
7916,,,,
7917,103 min,movie,6.4,"33,523"
7918,N/A,movie,7.3,134
7919,92 min,movie,7.0,"13,956"
7920,123 min,movie,6.1,"3,950"
7921,103 min,movie,2.3,"3,276"
7922,77 min,movie,6.9,"36,035"
7923,,,,
7924,112 min,movie,6.4,"4,486"
7925,116 min,movie,7.7,"4,029"
7926,138 min,movie,N/A,N/A
7927,98 min,movie,5.1,"2,353"
7928,120 min,movie,7.3,"31,762"
7929,,,,
7930,85 min,movie,3.3,665
7931,,,,
7932,,,,
7933,126 min,movie,6.7,"15,709"
7934,,,,
7935,25 min,movie,7.0,317
7936,95 min,movie,7.0,292
7937,136 min,movie,7.3,"80,697"
7938,94 min,movie,6.0,534
7939,96 min,movie,3.7,"4,472"
7940,30 min,series,8.5,"3,243"
7941,,,,
7942,128 min,movie,8.1,"25,802"
7943,,,,
7944,,,,
7945,123 min,movie,5.7,722
7946,,,,
7947,112 min,movie,6.2,"3,832"
7948,86 min,movie,4.2,763
7949,N/A,movie,7.9,37
7950,,,,
7951,,,,
7952,265 min,series,7.1,"17,404"
7953,17 min,movie,7.5,20
7954,63 min,movie,7.3,"3,231"
7955,110 min,movie,7.4,"4,154"
7956,164 min,movie,5.1,154
7957,,,,
7958,,,,
7959,31 min,movie,7.3,43
7960,,,,
7961,,,,
7962,,,,
7963,,,,
7964,60 min,movie,N/A,N/A
7965,,,,
7966,98 min,movie,6.4,"1,292"
7967,N/A,movie,6.4,87
7968,100 min,movie,5.7,"2,381"
7969,,,,
7970,118 min,movie,7.2,"4,265"
7971,131 min,movie,7.4,"36,418"
7972,107 min,movie,6.5,375
7973,,,,
7974,,,,
7975,,,,
7976,,,,
7977,87 min,movie,6.5,"13,270"
7978,N/A,movie,8.5,"1,285"
7979,120 min,movie,5.3,"3,079"
7980,111 min,movie,6.0,"18,264"
7981,265 min,series,7.6,486
