,time,type,rate,votes
12155,127 min,movie,7.3,"524,834"
12156,86 min,movie,7.5,"4,676"
12157,112 min,movie,8.4,210
12158,118 min,movie,7.0,"4,757"
12159,,,,
12160,113 min,movie,6.4,"115,660"
12161,125 min,movie,8.0,"402,361"
12162,88 min,movie,6.4,969
12163,128 min,movie,6.8,"3,392"
12164,100 min,movie,6.2,"3,337"
12165,,,,
12166,96 min,movie,6.0,528
12167,,,,
12168,83 min,movie,6.0,537
12169,112 min,movie,6.1,"8,917"
12170,,,,
12171,118 min,movie,2.5,"74,341"
12172,124 min,movie,7.5,"117,930"
12173,73 min,movie,7.1,"22,071"
12174,90 min,movie,7.0,"2,618"
12175,,,,
12176,,,,
12177,,,,
12178,,,,
12179,,,,
12180,,,,
12181,,,,
12182,126 min,movie,8.0,"6,589"
12183,,,,
12184,,,,
12185,107 min,movie,6.7,"5,215"
12186,104 min,movie,7.7,"104,368"
12187,,,,
12188,139 min,movie,7.2,"47,374"
12189,,,,
12190,116 min,movie,7.3,"4,631"
12191,116 min,movie,5.9,"44,471"
12192,,,,
12193,,,,
12194,121 min,movie,6.4,"13,414"
12195,111 min,movie,7.1,"30,282"
12196,76 min,movie,7.3,260
12197,97 min,movie,6.3,598
12198,,,,
12199,,,,
12200,86 min,movie,7.1,"4,218"
12201,,,,
12202,,,,
12203,,,,
12204,,,,
12205,90 min,movie,5.8,592
12206,,,,
12207,91 min,movie,4.9,"13,445"
12208,10 min,movie,6.2,177
12209,,,,
12210,95 min,movie,7.6,"11,310"
12211,,,,
12212,77 min,movie,6.3,"8,640"
12213,114 min,movie,6.6,"6,427"
12214,85 min,movie,4.9,550
12215,,,,
12216,95 min,movie,7.8,"8,546"
12217,,,,
12218,93 min,movie,7.3,"9,760"
12219,,,,
12220,,,,
12221,91 min,movie,7.1,"71,372"
12222,,,,
12223,100 min,movie,6.9,934
12224,120 min,movie,6.2,"150,369"
12225,,,,
12226,200 min,movie,8.4,"1,070"
12227,98 min,movie,5.5,"1,471"
12228,109 min,movie,6.0,"12,024"
12229,46 min,movie,4.9,86
12230,99 min,movie,6.4,294
12231,,,,
12232,102 min,movie,7.7,"393,073"
12233,,,,
12234,92 min,movie,7.4,"17,367"
12235,98 min,movie,7.9,"6,699"
12236,,,,
12237,97 min,movie,7.7,"25,184"
12238,96 min,movie,5.6,"68,794"
12239,98 min,movie,7.7,418
12240,,,,
12241,N/A,movie,N/A,N/A
12242,,,,
12243,124 min,movie,6.0,"27,601"
12244,93 min,movie,6.4,"42,208"
12245,,,,
12246,,,,
12247,101 min,movie,5.7,"1,481"
12248,128 min,movie,5.1,155
12249,73 min,movie,N/A,N/A
12250,112 min,movie,7.5,"9,371"
12251,150 min,movie,7.7,399
12252,79 min,movie,6.3,"3,834"
12253,100 min,movie,6.2,575
12254,,,,
12255,113 min,movie,5.6,"15,196"
12256,200 min,movie,7.5,190
12257,,,,
12258,117 min,movie,6.3,"1,531"
12259,,,,
12260,100 min,movie,7.2,"18,002"
12261,123 min,movie,5.3,"11,146"
12262,25 min,movie,8.3,"29,894"
12263,,,,
12264,95 min,movie,5.7,165
12265,,,,
12266,,,,
12267,,,,
12268,,,,
12269,,,,
12270,,,,
12271,,,,
12272,,,,
12273,96 min,movie,6.4,"1,608"
12274,96 min,movie,6.2,"10,054"
12275,104 min,movie,6.2,"15,426"
12276,,,,
12277,78 min,movie,6.1,"10,616"
12278,,,,
12279,,,,
12280,94 min,movie,7.2,"51,042"
12281,,,,
12282,79 min,movie,6.5,837
12283,102 min,movie,4.6,"1,777"
12284,155 min,movie,6.3,6
12285,125 min,movie,7.2,"7,593"
12286,77 min,movie,5.4,"2,419"
12287,,,,
12288,100 min,movie,5.3,"3,202"
12289,145 min,movie,6.6,994
12290,,,,
12291,109 min,movie,6.1,"2,649"
12292,,,,
12293,175 min,movie,9.2,"1,532,092"
12294,106 min,movie,5.5,620
12295,94 min,movie,6.6,"1,034"
12296,,,,
12297,,,,
12298,,,,
12299,104 min,movie,6.4,"72,583"
12300,94 min,movie,7.2,"18,808"
12301,,,,
12302,,,,
12303,93 min,movie,6.1,"13,675"
12304,102 min,movie,7.1,"14,143"
12305,143 min,movie,7.3,"34,298"
12306,,,,
12307,78 min,movie,6.8,"43,655"
12308,130 min,movie,6.6,"1,437"
12309,177 min,movie,6.1,"66,529"
12310,89 min,movie,7.3,"23,929"
12311,93 min,movie,7.6,"15,851"
12312,157 min,movie,8.1,"5,579"
12313,110 min,movie,6.7,"2,538"
12314,100 min,movie,2.6,"7,177"
12315,,,,
12316,,,,
12317,136 min,movie,7.4,"302,898"
12318,,,,
12319,,,,
12320,,,,
12321,N/A,series,6.3,9
12322,102 min,movie,7.1,"20,610"
12323,,,,
12324,94 min,movie,6.8,"5,850"
12325,95 min,movie,6.5,"3,627"
12326,,,,
12327,75 min,movie,6.5,212
12328,99 min,movie,6.2,405
12329,88 min,movie,5.5,"7,892"
12330,90 min,movie,4.9,"2,220"
12331,110 min,movie,6.5,"1,355"
12332,91 min,movie,6.8,"2,736"
12333,23 min,series,7.2,201
12334,,,,
12335,,,,
12336,109 min,movie,6.4,"20,001"
12337,104 min,movie,6.9,"11,749"
12338,142 min,movie,7.9,"519,938"
12339,,,,
12340,,,,
12341,197 min,movie,8.3,"6,448"
12342,90 min,movie,5.6,"2,478"
12343,116 min,movie,7.0,"156,201"
12344,,,,
12345,,,,
12346,104 min,movie,5.8,753
12347,110 min,movie,5.8,"23,064"
12348,,,,
12349,104 min,movie,4.0,"47,154"
12350,,,,
12351,99 min,movie,3.5,34
12352,95 min,movie,6.1,"1,330"
12353,,,,
12354,,,,
12355,146 min,movie,7.2,"281,505"
12356,,,,
12357,90 min,movie,4.5,673
12358,,,,
12359,131 min,movie,7.0,"34,060"
12360,113 min,movie,7.1,"8,033"
12361,,,,
12362,89 min,movie,6.0,159
12363,125 min,movie,7.0,994
12364,84 min,movie,3.7,442
12365,113 min,movie,6.8,"49,551"
12366,97 min,movie,6.9,"3,051"
12367,86 min,movie,7.1,"3,062"
12368,,,,
12369,91 min,movie,3.6,"1,334"
12370,,,,
12371,,,,
12372,142 min,movie,7.4,"3,167"
12373,,,,
12374,,,,
12375,,,,
12376,91 min,movie,6.3,"38,831"
12377,138 min,movie,7.1,208
12378,119 min,movie,6.7,"30,954"
12379,94 min,movie,7.2,46
12380,,,,
12381,106 min,movie,6.2,"20,852"
12382,,,,
12383,107 min,movie,7.4,"4,469"
12384,,,,
12385,,,,
12386,,,,
12387,,,,
12388,,,,
12389,84 min,movie,5.1,"7,286"
12390,,,,
12391,113 min,movie,7.0,"6,550"
12392,,,,
12393,105 min,movie,6.5,"5,197"
12394,92 min,movie,5.3,432
12395,,,,
12396,,,,
12397,,,,
12398,,,,
12399,104 min,movie,6.3,"68,858"
12400,,,,
12401,91 min,movie,6.6,"5,800"
12402,168 min,series,7.5,"1,427"
12403,,,,
12404,103 min,movie,5.7,"2,068"
12405,,,,
12406,,,,
12407,,,,
12408,,,,
12409,90 min,movie,4.3,"4,007"
12410,155 min,movie,5.9,"1,803"
12411,,,,
12412,124 min,movie,6.4,"16,265"
12413,183 min,movie,8.0,"1,423"
12414,130 min,movie,6.7,"2,223"
12415,91 min,movie,6.7,"2,302"
12416,65 min,movie,6.6,"3,848"
12417,,,,
12418,240 min,series,6.5,"8,435"
12419,,,,
12420,,,,
12421,50 min,movie,N/A,N/A
12422,180 min,series,7.2,397
12423,60 min,series,6.7,"9,535"
12424,90 min,movie,7.2,421
12425,,,,
12426,,,,
12427,91 min,movie,7.0,"1,850"
12428,,,,
12429,177 min,movie,8.2,"41,458"
12430,104 min,movie,6.1,"39,194"
12431,100 min,movie,7.3,725
12432,95 min,movie,6.7,"2,908"
12433,89 min,movie,6.7,"1,832"
12434,,,,
12435,114 min,movie,7.2,"156,412"
12436,81 min,movie,7.4,"3,069"
12437,137 min,movie,4.9,"1,130"
12438,30 min,series,6.8,25
12439,64 min,movie,7.3,31
12440,68 min,movie,7.6,"11,236"
12441,360 min,series,6.5,"1,992"
12442,120 min,movie,7.7,"20,729"
12443,,,,
12444,,,,
12445,,,,
12446,,,,
12447,75 min,movie,5.8,"2,126"
12448,121 min,movie,6.9,"2,997"
12449,,,,
12450,266 min,series,7.5,"11,539"
12451,86 min,movie,6.1,"1,422"
12452,93 min,movie,4.1,"2,015"
12453,82 min,movie,6.2,"5,076"
12454,,,,
12455,,,,
12456,130 min,movie,5.9,"4,131"
12457,94 min,movie,5.2,635
12458,93 min,movie,5.9,"2,923"
12459,98 min,movie,5.4,"8,199"
12460,86 min,movie,7.7,"5,792"
12461,,,,
12462,98 min,movie,7.9,"1,290"
12463,,,,
12464,100 min,movie,5.9,46
12465,,,,
12466,98 min,movie,7.0,"10,730"
12467,,,,
12468,90 min,movie,4.7,537
12469,115 min,movie,7.2,"1,668"
12470,113 min,movie,6.4,"168,222"
12471,110 min,movie,7.1,"239,288"
12472,95 min,movie,4.6,"4,449"
12473,108 min,movie,7.8,"78,180"
12474,,,,
12475,100 min,movie,3.1,"1,817"
12476,,,,
12477,115 min,movie,5.2,5
12478,,,,
12479,103 min,movie,7.1,893
12480,,,,
12481,110 min,movie,6.5,"5,268"
12482,70 min,movie,7.3,"5,520"
12483,,,,
12484,,,,
12485,103 min,movie,5.9,776
12486,N/A,movie,7.8,886
12487,89 min,movie,4.9,"39,512"
12488,,,,
