,time,type,rate,votes
11383,,,,
11384,93 min,movie,5.9,"20,778"
11385,96 min,movie,5.0,"4,633"
11386,95 min,movie,8.4,708
11387,67 min,movie,5.1,246
11388,133 min,movie,7.5,"62,468"
11389,88 min,movie,5.8,"3,876"
11390,106 min,movie,5.5,912
11391,300 min,movie,8.7,"1,705"
11392,,,,
11393,,,,
11394,96 min,movie,7.3,"6,957"
11395,,,,
11396,,,,
11397,108 min,movie,6.1,"8,768"
11398,88 min,movie,7.7,"199,418"
11399,,,,
11400,101 min,movie,7.0,"26,623"
11401,100 min,movie,7.1,"63,902"
11402,,,,
11403,116 min,movie,8.0,"18,470"
11404,,,,
11405,102 min,movie,5.8,"70,570"
11406,,,,
11407,100 min,movie,6.0,"1,030"
11408,85 min,movie,5.1,"1,256"
11409,90 min,movie,6.5,53
11410,,,,
11411,,,,
11412,88 min,movie,6.1,"2,654"
11413,126 min,movie,6.7,"2,374"
11414,,,,
11415,89 min,movie,5.6,240
11416,,,,
11417,,,,
11418,92 min,movie,4.8,"2,406"
11419,101 min,movie,6.2,189
11420,97 min,movie,6.4,"7,383"
11421,N/A,movie,6.7,65
11422,,,,
11423,,,,
11424,86 min,movie,5.5,69
11425,94 min,movie,6.1,"3,783"
11426,81 min,movie,5.3,"13,120"
11427,115 min,movie,7.8,"122,068"
11428,,,,
11429,92 min,movie,5.3,"1,188"
11430,,,,
11431,95 min,movie,6.1,"1,812"
11432,66 min,movie,3.0,"4,218"
11433,95 min,movie,6.2,"1,986"
11434,118 min,movie,7.4,"3,161"
11435,164 min,movie,6.6,"11,633"
11436,N/A,movie,6.6,42
11437,,,,
11438,,,,
11439,103 min,movie,6.3,"1,543"
11440,94 min,movie,6.5,"1,187"
11441,88 min,movie,4.4,596
11442,91 min,movie,7.0,"7,015"
11443,161 min,movie,7.4,"521,085"
11444,62 min,movie,4.9,"2,636"
11445,89 min,movie,2.6,"31,645"
11446,115 min,movie,7.3,"48,722"
11447,89 min,movie,5.3,"5,132"
11448,,,,
11449,111 min,movie,6.8,"3,047"
11450,,,,
11451,,,,
11452,30 min,series,7.1,408
11453,,,,
11454,120 min,movie,7.3,"1,512"
11455,,,,
11456,,,,
11457,,,,
11458,,,,
11459,,,,
11460,76 min,movie,6.4,404
11461,103 min,movie,7.2,811
11462,103 min,movie,5.7,"7,962"
11463,,,,
11464,114 min,movie,6.2,"32,511"
11465,,,,
11466,82 min,movie,3.2,408
11467,164 min,movie,7.1,"17,670"
11468,105 min,movie,7.3,"160,837"
11469,,,,
11470,,,,
11471,,,,
11472,,,,
11473,,,,
11474,,,,
11475,,,,
11476,,,,
11477,106 min,movie,6.0,"1,191"
11478,110 min,movie,4.6,"12,404"
11479,86 min,movie,5.5,"13,502"
11480,,,,
11481,,,,
11482,88 min,movie,7.4,"3,987"
11483,64 min,movie,6.8,29
11484,,,,
11485,104 min,movie,5.8,"60,286"
11486,115 min,movie,6.5,"3,875"
11487,74 min,movie,N/A,N/A
11488,,,,
11489,86 min,movie,6.6,"3,023"
11490,128 min,movie,7.3,"88,066"
11491,N/A,movie,8.2,162
11492,,,,
11493,94 min,movie,4.2,111
11494,107 min,movie,6.7,221
11495,115 min,movie,6.9,"15,206"
11496,93 min,movie,4.7,"13,850"
11497,90 min,movie,6.0,267
11498,94 min,movie,5.0,"2,875"
11499,100 min,movie,7.6,"1,783"
11500,,,,
11501,125 min,movie,7.4,254
11502,99 min,movie,5.6,"4,311"
11503,,,,
11504,133 min,movie,6.3,330
11505,,,,
11506,,,,
11507,30 min,series,6.6,"16,649"
11508,60 min,movie,5.6,273
11509,,,,
11510,119 min,movie,5.1,"2,415"
11511,,,,
11512,,,,
11513,,,,
11514,,,,
11515,,,,
11516,175 min,series,5.7,"1,045"
11517,88 min,movie,7.0,"1,285"
11518,115 min,movie,6.0,"4,419"
11519,,,,
11520,,,,
11521,179 min,movie,8.7,"1,423,436"
11522,,,,
11523,,,,
11524,,,,
11525,81 min,movie,6.4,"31,603"
11526,107 min,movie,6.7,"14,755"
11527,,,,
11528,94 min,movie,2.7,"7,989"
11529,95 min,movie,5.2,"2,047"
11530,101 min,movie,6.4,"51,694"
11531,96 min,movie,7.7,"17,682"
11532,139 min,movie,6.7,"2,890"
11533,150 min,series,8.4,"3,867"
11534,85 min,movie,5.3,"1,240"
11535,180 min,series,8.4,"1,348"
11536,,,,
11537,94 min,movie,5.9,"4,715"
11538,84 min,movie,6.1,705
11539,80 min,movie,5.9,48
11540,79 min,movie,5.0,"1,869"
11541,55 min,movie,7.8,195
11542,,,,
11543,89 min,movie,7.0,798
11544,118 min,movie,6.5,"58,896"
11545,,,,
11546,,,,
11547,122 min,movie,5.6,"4,507"
11548,71 min,movie,6.4,"2,269"
11549,,,,
11550,,,,
11551,,,,
11552,77 min,movie,7.8,"10,632"
11553,,,,
11554,55 min,movie,7.5,6
11555,89 min,movie,3.6,"15,193"
11556,N/A,movie,7.8,31
11557,,,,
11558,180 min,movie,6.7,153
11559,114 min,movie,6.7,"4,632"
11560,98 min,movie,6.0,"2,676"
11561,92 min,movie,4.2,466
11562,,,,
11563,,,,
11564,,,,
11565,80 min,movie,4.7,"2,144"
11566,,,,
11567,97 min,movie,7.0,"6,471"
11568,,,,
11569,,,,
11570,110 min,movie,7.6,"1,190"
11571,,,,
11572,,,,
11573,172 min,movie,8.2,"213,401"
11574,88 min,movie,5.2,"1,714"
11575,183 min,movie,7.2,"4,148"
11576,92 min,movie,6.4,"1,911"
11577,,,,
11578,103 min,movie,7.5,"6,128"
11579,,,,
11580,44 min,series,7.0,"1,133"
11581,,,,
11582,108 min,movie,7.1,"7,980"
11583,,,,
11584,91 min,movie,5.8,"10,308"
11585,90 min,movie,5.5,"10,237"
11586,63 min,movie,7.1,"3,581"
11587,91 min,movie,5.9,"5,479"
11588,98 min,movie,6.8,"4,682"
11589,,,,
11590,102 min,movie,7.8,"5,939"
11591,,,,
11592,185 min,movie,8.1,"9,311"
11593,97 min,movie,5.5,"9,519"
11594,99 min,movie,6.1,"1,381"
11595,220 min,series,7.7,335
11596,,,,
11597,101 min,movie,6.1,"3,752"
11598,,,,
11599,,,,
11600,96 min,movie,6.8,"5,693"
11601,105 min,movie,6.1,273
11602,,,,
11603,,,,
11604,115 min,movie,6.9,"18,232"
11605,76 min,movie,3.5,"1,968"
11606,132 min,movie,8.1,"119,788"
11607,28 min,movie,7.2,43
11608,,,,
11609,98 min,movie,3.5,944
11610,,,,
11611,,,,
11612,113 min,movie,7.1,"99,398"
11613,125 min,movie,6.8,"90,501"
11614,112 min,movie,6.5,"17,081"
11615,102 min,movie,5.7,"3,691"
11616,113 min,movie,7.6,"5,913"
11617,99 min,movie,7.2,"2,406"
11618,102 min,movie,6.4,"1,902"
11619,90 min,movie,8.1,"21,103"
11620,110 min,movie,7.4,"5,322"
11621,,,,
11622,23 min,movie,6.8,14
11623,N/A,series,7.5,405
11624,80 min,movie,5.1,"1,500"
11625,100 min,movie,5.6,131
11626,87 min,movie,3.3,"18,849"
11627,,,,
11628,205 min,movie,7.1,"3,538"
11629,,,,
11630,118 min,movie,6.7,"12,509"
11631,88 min,movie,3.4,846
11632,,,,
11633,,,,
11634,74 min,movie,5.0,230
11635,160 min,movie,7.8,686
11636,,,,
11637,,,,
11638,99 min,movie,6.7,"60,991"
11639,122 min,movie,6.1,"40,516"
11640,,,,
11641,60 min,series,8.3,"18,194"
11642,102 min,movie,6.5,503
11643,75 min,movie,7.3,183
11644,50 min,series,8.4,"11,839"
11645,N/A,movie,8.6,12
11646,,,,
11647,104 min,movie,7.0,"11,780"
11648,95 min,movie,5.7,"25,004"
11649,172 min,movie,7.0,"2,312"
11650,,,,
11651,76 min,movie,6.5,"26,231"
11652,88 min,movie,5.3,"11,439"
11653,45 min,movie,8.7,196
11654,,,,
11655,83 min,movie,7.1,"2,166"
11656,,,,
11657,112 min,movie,6.4,158
11658,114 min,movie,7.0,"51,626"
11659,,,,
11660,123 min,movie,8.2,"2,181"
11661,,,,
11662,,,,
11663,98 min,movie,6.7,"220,030"
