,time,type,rate,votes
4388,,,,
4389,109 min,movie,6.1,"43,248"
4390,93 min,movie,5.7,570
4391,65 min,movie,8.2,22
4392,N/A,movie,6.3,6
4393,,,,
4394,,,,
4395,,,,
4396,,,,
4397,325 min,series,7.6,107
4398,,,,
4399,104 min,movie,5.3,520
4400,,,,
4401,,,,
4402,91 min,movie,7.5,"196,062"
4403,186 min,movie,7.9,"10,379"
4404,153 min,movie,5.3,668
4405,,,,
4406,124 min,movie,6.9,"3,056"
4407,,,,
4408,,,,
4409,,,,
4410,,,,
4411,,,,
4412,90 min,movie,6.5,"2,555"
4413,100 min,movie,5.8,"9,511"
4414,89 min,movie,5.0,"1,381"
4415,98 min,movie,6.7,"3,312"
4416,87 min,movie,6.9,"2,785"
4417,,,,
4418,94 min,movie,6.6,"57,443"
4419,94 min,movie,8.0,"23,507"
4420,111 min,movie,5.3,"6,550"
4421,,,,
4422,,,,
4423,,,,
4424,120 min,movie,7.7,36
4425,,,,
4426,68 min,movie,6.9,686
4427,,,,
4428,,,,
4429,94 min,movie,6.2,"27,946"
4430,96 min,movie,6.6,638
4431,,,,
4432,111 min,movie,7.0,"331,228"
4433,,,,
4434,110 min,movie,6.1,"7,829"
4435,,,,
4436,,,,
4437,85 min,movie,3.6,219
4438,137 min,movie,6.2,"10,170"
4439,,,,
4440,100 min,movie,6.4,"2,047"
4441,24 min,movie,6.3,11
4442,115 min,movie,6.0,"2,509"
4443,87 min,movie,7.1,317
4444,,,,
4445,,,,
4446,98 min,movie,5.4,84
4447,,,,
4448,106 min,movie,6.8,"7,700"
4449,,,,
4450,157 min,movie,7.8,"9,754"
4451,N/A,movie,3.9,8
4452,98 min,movie,6.3,579
4453,,,,
4454,100 min,movie,7.9,"29,201"
4455,,,,
4456,75 min,movie,6.9,"6,613"
4457,,,,
4458,,,,
4459,115 min,movie,7.9,"12,363"
4460,,,,
4461,88 min,movie,6.7,"3,720"
4462,75 min,movie,8.0,92
4463,98 min,movie,6.7,"3,312"
4464,,,,
4465,,,,
4466,,,,
4467,,,,
4468,,,,
4469,,,,
4470,,,,
4471,,,,
4472,135 min,movie,7.6,"409,307"
4473,82 min,movie,5.6,"1,227"
4474,,,,
4475,,,,
4476,,,,
4477,86 min,movie,7.8,"2,647"
4478,96 min,movie,7.4,"3,651"
4479,124 min,movie,7.7,"44,154"
4480,N/A,movie,7.8,24
4481,,,,
4482,82 min,movie,4.6,"3,845"
4483,,,,
4484,,,,
4485,,,,
4486,,,,
4487,91 min,movie,6.5,"1,487"
4488,107 min,movie,7.3,"59,906"
4489,101 min,movie,6.8,"6,104"
4490,52 min,movie,6.8,6
4491,99 min,movie,6.5,451
4492,104 min,movie,5.7,"27,468"
4493,92 min,movie,6.4,"8,417"
4494,,,,
4495,,,,
4496,171 min,movie,8.1,"23,507"
4497,123 min,movie,6.0,"2,302"
4498,,,,
4499,93 min,movie,6.3,"4,760"
4500,86 min,movie,7.3,"3,592"
4501,113 min,movie,7.5,"9,233"
4502,90 min,movie,3.0,892
4503,116 min,movie,6.7,"3,425"
4504,,,,
4505,104 min,movie,4.6,"1,754"
4506,115 min,movie,7.7,"158,086"
4507,110 min,movie,6.4,"6,425"
4508,,,,
4509,,,,
4510,148 min,movie,8.1,"1,791"
4511,,,,
4512,109 min,movie,5.5,"14,144"
4513,,,,
4514,,,,
4515,89 min,movie,6.3,"3,246"
4516,65 min,movie,7.1,272
4517,105 min,movie,5.9,"44,391"
4518,,,,
4519,90 min,movie,3.5,"5,886"
4520,101 min,movie,6.7,"23,302"
4521,,,,
4522,N/A,movie,5.8,121
4523,,,,
4524,105 min,movie,6.5,"7,639"
4525,,,,
4526,,,,
4527,91 min,movie,6.1,"1,320"
4528,,,,
4529,82 min,movie,7.6,229
4530,88 min,movie,4.5,"1,621"
4531,61 min,movie,8.4,818
4532,,,,
4533,97 min,movie,7.1,"9,326"
4534,,,,
4535,93 min,movie,5.3,"18,046"
4536,100 min,movie,7.0,"2,974"
4537,94 min,movie,5.8,593
4538,,,,
4539,,,,
4540,152 min,movie,6.3,"1,460"
4541,98 min,movie,6.5,"2,504"
4542,500 min,series,7.7,221
4543,97 min,movie,5.5,"9,896"
4544,,,,
4545,,,,
4546,111 min,movie,6.1,"35,210"
4547,,,,
4548,175 min,movie,6.7,"2,218"
4549,,,,
4550,N/A,movie,N/A,N/A
4551,,,,
4552,,,,
4553,,,,
4554,90 min,movie,7.5,157
4555,,,,
4556,,,,
4557,131 min,movie,6.8,"9,771"
4558,150 min,movie,6.6,"2,840"
4559,112 min,movie,8.2,"5,076"
4560,108 min,movie,7.1,709
4561,,,,
4562,90 min,movie,7.7,"17,263"
4563,120 min,movie,6.2,"4,730"
4564,99 min,movie,5.8,"1,098"
4565,113 min,movie,7.2,"6,820"
4566,31 min,movie,7.8,17
4567,88 min,movie,4.5,117
4568,124 min,movie,6.3,"14,556"
4569,84 min,movie,5.3,"19,387"
4570,155 min,movie,6.6,"35,700"
4571,153 min,movie,5.5,789
4572,,,,
4573,,,,
4574,,,,
4575,,,,
4576,70 min,movie,7.3,80
4577,117 min,movie,7.3,"44,273"
4578,105 min,movie,6.7,"2,504"
4579,96 min,movie,6.5,"1,027"
4580,112 min,movie,7.3,"14,577"
4581,122 min,movie,7.7,"1,537"
4582,86 min,movie,5.2,"1,040"
4583,108 min,movie,6.0,"9,689"
4584,,,,
4585,,,,
4586,85 min,movie,6.6,"24,543"
4587,97 min,movie,2.6,"24,477"
4588,86 min,movie,7.2,"5,946"
4589,,,,
4590,91 min,movie,5.8,"62,738"
4591,101 min,movie,7.9,"31,863"
4592,,,,
4593,,,,
4594,104 min,movie,7.5,"21,051"
4595,,,,
4596,96 min,movie,6.2,"9,169"
4597,,,,
4598,90 min,movie,7.5,517
4599,97 min,movie,7.4,665
4600,,,,
4601,101 min,movie,5.4,"5,648"
4602,,,,
4603,107 min,movie,5.9,551
4604,,,,
4605,,,,
4606,23 min,series,7.5,659
4607,75 min,movie,6.4,"4,424"
4608,,,,
4609,,,,
4610,60 min,movie,7.3,112
4611,,,,
4612,99 min,movie,5.9,"53,504"
4613,,,,
4614,88 min,movie,7.2,"8,039"
4615,94 min,movie,5.7,"2,727"
4616,,,,
4617,,,,
4618,,,,
4619,105 min,movie,7.1,"1,802"
4620,105 min,movie,7.8,"1,775"
4621,76 min,movie,5.4,"1,320"
4622,94 min,movie,4.2,680
4623,,,,
4624,88 min,movie,5.4,"4,207"
4625,90 min,movie,4.6,37
4626,,,,
4627,,,,
4628,105 min,movie,7.8,"14,003"
4629,,,,
4630,108 min,movie,5.8,"7,769"
4631,,,,
4632,,,,
4633,191 min,movie,8.0,"212,083"
4634,91 min,movie,7.3,"33,946"
4635,108 min,movie,6.2,"9,142"
4636,104 min,movie,7.1,"32,694"
4637,88 min,movie,4.1,"4,003"
4638,,,,
4639,98 min,movie,5.7,"1,829"
4640,133 min,movie,8.0,"457,818"
4641,,,,
4642,105 min,movie,8.5,239
4643,,,,
4644,112 min,movie,6.7,"3,919"
4645,91 min,movie,4.3,"1,187"
4646,95 min,movie,5.6,"9,710"
4647,,,,
4648,,,,
4649,115 min,movie,5.9,"3,626"
4650,,,,
4651,114 min,movie,7.9,"9,348"
4652,91 min,movie,7.1,"70,179"
4653,95 min,movie,7.2,"2,461"
4654,94 min,movie,4.6,171
4655,,,,
4656,131 min,movie,7.3,"166,525"
4657,,,,
4658,,,,
4659,,,,
4660,111 min,movie,6.7,"31,386"
4661,88 min,movie,5.7,"68,550"
4662,78 min,movie,7.7,"1,857"
4663,106 min,movie,7.7,"13,269"
4664,92 min,movie,6.2,459
4665,,,,
4666,,,,
4667,82 min,movie,3.7,"1,234"
4668,79 min,movie,7.2,69
4669,121 min,movie,6.6,"8,834"
4670,106 min,movie,4.9,"149,395"
4671,77 min,movie,N/A,N/A
