Country,Code,"Lung cancer(per 100,000)"
Niger,NER,7.902041794456389
Nigeria,NGA,8.123420796872457
North Korea,PRK,23.91074477890547
Northern Mariana Islands,MNP,34.573290752741244
Norway,NOR,25.557122000493667
Oman,OMN,7.985834045248289
Pakistan,PAK,14.15739051801502
Palestine,PSE,15.991294475219632
Panama,PAN,11.382603286976277
Papua New Guinea,PNG,26.47472978393151
Paraguay,PRY,14.301646467340285
Peru,PER,11.255100604038514
Philippines,PHL,18.98157913878746
Poland,POL,41.32564223395246
Portugal,PRT,20.454647649981887
Puerto Rico,PRI,12.9843426762181
Qatar,QAT,16.567769306488703
Romania,ROU,27.310644560951225
Russia,RUS,27.99750765010765
Rwanda,RWA,8.550255731792717
Saint Lucia,LCA,10.870715232876853
Saint Vincent and the Grenadines,VCT,8.974930127868296
Samoa,WSM,7.843531902971534
Sao Tome and Principe,STP,13.405863601199211
Saudi Arabia,SAU,9.013635496582252
Senegal,SEN,10.866514891546544
Serbia,SRB,39.831763873517964
Seychelles,SYC,16.509268308251084
Sierra Leone,SLE,10.148617617791041
Singapore,SGP,27.879381584852126
Slovakia,SVK,30.488577057562445
Slovenia,SVN,32.51560473191334
Solomon Islands,SLB,22.356278654445447
Somalia,SOM,9.006871958923837
South Africa,ZAF,19.75042974214362
South Korea,KOR,27.758762430014055
South Sudan,SSD,11.12292552874028
Spain,ESP,27.42272944693991
Sri Lanka,LKA,7.480296758675489
Sudan,SDN,8.427180576727272
Suriname,SUR,13.59191038889313
Swaziland,SWZ,18.39163481712877
Sweden,SWE,19.93944998340758
Switzerland,CHE,26.113638142815837
Syria,SYR,9.506577116836727
Taiwan,TWN,27.707894125477623
Tajikistan,TJK,8.208431268615959
Tanzania,TZA,7.332961281199188
Thailand,THA,25.632323938535936
Timor,TLS,16.976497759706405
Togo,TGO,9.47650265589294
Tonga,TON,28.885963524244517
Trinidad and Tobago,TTO,10.638602902362036
Tunisia,TUN,18.720403312711113
Turkey,TUR,35.987020920980875
Turkmenistan,TKM,10.506531900525633
Uganda,UGA,6.790383673000304
Ukraine,UKR,26.211394450648303
United Arab Emirates,ARE,16.49672007940527
United Kingdom,GBR,35.72609411094391
United States,USA,41.82392865913871
United States Virgin Islands,VIR,20.288445235385066
Uruguay,URY,32.476008344423185
Uzbekistan,UZB,10.818383347108405
Vanuatu,VUT,25.603954277147466
Venezuela,VEN,17.205912409715953
Vietnam,VNM,37.82140477092419
World,OWID_WRL,24.783497322144285
Yemen,YEM,10.609774099384511
Zambia,ZMB,9.635066843201713
Zimbabwe,ZWE,12.946034319195606
