Country,Code,"Lung cancer(per 100,000)"
Afghanistan,AFG,13.063857598112662
Albania,ALB,24.118825423289845
Algeria,DZA,9.365556139570305
American Samoa,ASM,25.84522391922809
Andorra,AND,29.44028615573713
Angola,AGO,12.898291409195219
Antigua and Barbuda,ATG,8.425870935908227
Argentina,ARG,23.75728607880947
Armenia,ARM,29.0325224575127
Australia,AUS,25.690618934783195
Austria,AUT,25.16328230327522
Azerbaijan,AZE,18.500159407360012
Bahamas,BHS,14.183722534060026
Bahrain,BHR,26.067067280659852
Bangladesh,BGD,19.544400642251254
Barbados,BRB,8.852512256956476
Belarus,BLR,26.891261632256807
Belgium,BEL,38.94081375819765
Belize,BLZ,12.282199442095228
Benin,BEN,9.686248368870789
Bermuda,BMU,24.88255841655831
Bhutan,BTN,7.7533641863712806
Bolivia,BOL,12.473567296582603
Bosnia and Herzegovina,BIH,36.39032180207609
Botswana,BWA,14.276037271754742
Brazil,BRA,15.71295509679166
Brunei,BRN,32.47320454380578
Bulgaria,BGR,25.663744460995837
Burkina Faso,BFA,7.97074203657341
Burundi,BDI,8.538120158794365
Cambodia,KHM,21.38921084985654
Cameroon,CMR,11.40180095915643
Canada,CAN,38.674087586063145
Cape Verde,CPV,10.574189415861296
Central African Republic,CAF,12.524685846444855
Chad,TCD,10.381581277651351
Chile,CHL,15.956028213202703
China,CHN,31.95464549438564
Colombia,COL,12.573356006814532
Comoros,COM,9.483140475897931
Congo,COG,13.303632553812827
Costa Rica,CRI,9.920012900715912
Cote d'Ivoire,CIV,7.547368648505374
Croatia,HRV,35.49388531283001
Cuba,CUB,31.25215088380631
Cyprus,CYP,21.956186804525437
Czech Republic,CZE,35.387273043604395
Democratic Republic of Congo,COD,8.841960694291442
Denmark,DNK,41.294633287786915
Djibouti,DJI,10.399460195044766
Dominica,DMA,12.969045298908357
Dominican Republic,DOM,11.272469869880167
Ecuador,ECU,9.072717785743938
Egypt,EGY,6.957560323917216
El Salvador,SLV,8.199019185324092
Equatorial Guinea,GNQ,10.593996722471394
Eritrea,ERI,10.599381042665101
Estonia,EST,31.32482040041766
Ethiopia,ETH,10.307287443810656
Fiji,FJI,8.329240794253487
Finland,FIN,22.51691138879251
France,FRA,31.65577762858794
Gabon,GAB,14.301676345558622
Gambia,GMB,8.15724182739393
Georgia,GEO,17.985221878098525
Germany,DEU,28.581149747207384
Ghana,GHA,6.844484603110327
Greece,GRC,34.661181103146994
Greenland,GRL,93.1662876839796
Grenada,GRD,11.05174395608716
Guam,GUM,36.86318426636593
Guatemala,GTM,7.665552045139685
Guinea,GIN,9.2138927186753
Guinea-Bissau,GNB,11.585212945796988
Guyana,GUY,7.124941619784788
Haiti,HTI,14.224832278679258
Honduras,HND,7.9839646930619645
Hungary,HUN,52.34045421040658
Iceland,ISL,30.868161393183943
India,IND,7.289096811371114
Indonesia,IDN,17.703206183547053
Iran,IRN,9.845627728147617
Iraq,IRQ,14.130176524088586
Ireland,IRL,33.70239237247084
Israel,ISR,22.360693010561253
Italy,ITA,30.002001104397028
Jamaica,JAM,17.67680181449488
Japan,JPN,22.363265064911065
Jordan,JOR,11.83634432015451
Kazakhstan,KAZ,27.651704081689907
Kenya,KEN,6.919535820401448
Kiribati,KIR,16.230110911225218
Kuwait,KWT,8.581529936634343
Kyrgyzstan,KGZ,15.17300984331376
Laos,LAO,23.59612239889312
Latvia,LVA,29.414531775859608
Lebanon,LBN,23.510570237321414
Lesotho,LSO,15.920270031165392
Liberia,LBR,7.613475567311857
Libya,LBY,22.24252697530901
Lithuania,LTU,28.775771836101637
Luxembourg,LUX,33.680521134345575
Macedonia,MKD,27.233656080732484
Madagascar,MDG,7.9133712877093405
Malawi,MWI,6.5866846563740395
Malaysia,MYS,20.900301274887568
Maldives,MDV,10.651608768311734
Mali,MLI,7.11013694242685
Malta,MLT,22.726178505953932
Marshall Islands,MHL,28.130822622771394
Mauritania,MRT,9.403345085616584
Mauritius,MUS,12.255411459412272
Mexico,MEX,11.067738353641175
Micronesia (country),FSM,24.968698039899667
Moldova,MDA,19.99561661504938
Mongolia,MNG,33.96147474229452
Montenegro,MNE,43.14915989484016
Morocco,MAR,14.226648542006965
Mozambique,MOZ,9.6999536404796
Myanmar,MMR,20.823479908309075
Namibia,NAM,8.637608661382972
Nepal,NPL,10.773864084781701
Netherlands,NLD,41.080869209291656
New Zealand,NZL,28.347208088249452
Nicaragua,NIC,6.908247289401161
