Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sub-Saharan Africa,SSF,20.4923730662568,17.5380644960179,16.9267324265417,15.9634940553263,15.4193520803683,15.9050186200944,15.3789954640183,15.1466496534207,15.45709398414,15.5639352091446,15.6689927374095,15.2038724558297
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Angola,AGO,..,5.66468956353549,6.62119707047771,6.18029318057362,5.84568096888111,6.06963007473451,6.50749253992601,7.5470567791822,9.12253447070414,9.83116860869256,10.0169958599555,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Benin,BEN,34.6549453638938,22.8897878854144,23.7676056338028,22.7362261746133,22.8438923844652,22.303644794695,21.3456820141022,21.4647359099906,22.4927607161793,23.2404164298103,23.0177563888237,22.6444101837928
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Botswana,BWA,4.52615085751558,2.79469978903454,2.81908186766969,2.48803777286565,2.51091751111319,2.69527010439059,2.29852887640158,2.08768386271437,2.20105527421452,2.04973273914672,1.98975420162933,1.9983830914554
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burkina Faso,BFA,27.9500222744042,30.7893108268158,32.3929117019573,32.5402562432393,30.7910247608749,31.4834039635981,31.666159244495,31.3640113158314,30.2716660727511,30.7571614873933,28.6644336630997,28.6017730066199
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burundi,BDI,51.0568501841364,44.1070401093686,36.7213641376786,38.4305452876335,36.7045760044036,35.4205377011774,38.3671081967213,34.9581923436541,30.6808301089821,30.645887638274,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cabo Verde,CPV,14.3907045302362,12.8717827032774,8.31904609636328,7.98977733163668,7.84317609042481,8.44654446838172,8.27906807070413,8.01576749754377,8.73739476188117,7.9957410958418,5.99489058330131,4.72527236551197
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cameroon,CMR,23.9948703358418,16.7364639372229,13.6570609381547,14.0676569950709,13.4796522667294,13.7215245792943,13.8988992120781,14.2261968088339,14.772472349771,14.5430372691671,14.3722148212328,14.2840671369042
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Central African Republic,CAF,..,..,38.3338681608926,37.3635795959409,37.5690227836114,36.8141664735428,32.0774883417562,33.7625655820651,31.1506966935004,31.3794014430526,33.8962551052516,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Chad,TCD,27.8887351036294,40.7050940296883,46.5493926342762,51.9456230241815,51.1962001303935,54.8998138086533,50.0451924787261,50.6475765600384,50.3955822999691,46.1258031149733,48.6130864065927,44.821474202061
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Comoros,COM,29.375908352569,29.3763199401182,30.0330064008618,30.4160594989716,30.5642208431509,30.1729634123769,30.7898625558374,30.01153359188,30.0327834444746,29.6406298362189,29.938753452624,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Dem. Rep.",COD,..,31.9723582652415,23.6746666960423,21.4284911226138,20.9170760131289,20.4410607056781,19.3166676270676,18.5625173135672,18.3703885045717,18.5997536402627,19.7026974967519,19.1103383729504
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Rep.",COG,12.8608923884514,5.30425299890949,4.50589047927157,3.83040701153664,3.38311330102814,3.92577410648846,4.36216603194666,4.83428437081017,7.24349588505798,7.24227240865254,6.39830429812438,7.12133854688689
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cote d'Ivoire,CIV,32.4984276683643,24.9891157136593,21.2002180834824,24.5294275579256,26.6908494054447,22.190251202045,20.9786259127829,21.051436735908,22.735623257338,22.4262527723305,21.575709300599,19.769318397967
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Equatorial Guinea,GNQ,..,..,1.05819979061204,1.06137128570531,1.05350238776435,1.05565709179581,1.19199068015273,1.29424877164029,1.88839087566802,2.33223920932761,2.32042770090728,2.33699197510665
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Eritrea,ERI,..,12.5904217689804,14.1242274354984,..,..,..,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Eswatini,SWZ,8.87148663765698,12.315975754846,9.25038577172511,10.1562127323485,9.71988392021377,10.3783582576598,10.342810413142,9.45560788484243,9.5909036893687,8.95498753594449,8.35992497996438,8.635440874289
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ethiopia,ETH,49.4912480282983,44.6660179485759,45.8826942649104,41.4468200699758,41.2499638574537,44.3309427521463,41.2395055340925,38.5204496889284,36.0569753905786,34.6088392491026,33.6602736399582,31.0866693334871
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Gabon,GAB,7.32444773540664,6.21362452192229,5.04416979273101,3.91445441728357,3.43228977977158,3.35369777676334,3.32908065074657,3.62120476996244,4.31162904410146,4.97313690987068,5.2657648440765,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Gambia, The",GMB,24.3425539103612,24.5322844709577,26.2187465099804,28.9526854699572,18.8854660872851,20.3434462676852,25.3290308540944,22.3014078399543,23.5541033322672,24.9569920509578,23.0432910939026,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ghana,GHA,44.8476174659294,35.2715219593039,30.9933842095403,28.0387379636491,23.663704967184,22.1311546901572,20.4524959286698,19.9996997842714,20.2471754785241,20.976891328747,19.6961551483002,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guinea,GIN,24.6889470604942,20.981831237982,16.3606188802973,17.4849487339116,16.069749632643,16.8316731896045,17.5452721202204,17.5238163775906,18.4782420543413,17.5899466631447,17.8339599948943,17.8058952428077
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guinea-Bissau,GNB,56.9360486040611,41.7286714348049,43.9999180334168,45.0880467997574,45.0224585558608,46.892498013993,44.1356110135222,41.1323465870759,46.7881252736562,46.3483590123963,49.1578077854646,47.4606077236468
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kenya,KEN,25.3141333603756,28.7217806412905,23.3604009934043,24.8262174872647,26.3046046638708,26.1699503032215,26.4433340568883,27.4509408115362,30.1924094509524,31.0723310305177,34.8287374641173,34.1946791303039
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Lesotho,LSO,12.1616496818622,7.82713481504646,6.0397346367265,5.17847502495526,5.15013453093075,4.99944882481543,5.92598793660392,5.62114493918535,4.97062989812616,5.86870394601177,6.11840809723532,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Liberia,LBR,..,76.0745423340961,58.0357466063348,44.80003003003,44.3005004170142,38.8020580668872,37.2278447994783,35.7675254452926,34.3706956248033,37.2421843014242,37.0942837445651,37.4483841181902
