,male/100females
15_yrs,104.82395805151513
20_yrs,104.24884643484847
30_yrs,103.04457070651519
40_yrs,101.72725729075756
50_yrs,98.90724818848484
60_yrs,92.65538636287879
70_yrs,81.38557904787876
80_yrs,67.66407338269231
90_yrs,44.24002362076923
