,Date,Value
0,2017-01-03,6.96
1,2017-01-04,6.93
2,2017-01-05,6.88
3,2017-01-06,6.92
4,2017-01-09,6.94
5,2017-01-10,6.92
6,2017-01-11,6.94
7,2017-01-12,6.89
8,2017-01-13,6.9
9,2017-01-16,6.9
10,2017-01-17,6.84
11,2017-01-18,6.85
12,2017-01-19,6.87
13,2017-01-20,6.88
14,2017-01-23,6.85
15,2017-01-24,6.86
16,2017-01-25,6.88
17,2017-01-26,6.88
18,2017-02-03,6.87
19,2017-02-06,6.86
20,2017-02-07,6.89
21,2017-02-08,6.86
22,2017-02-09,6.87
23,2017-02-10,6.88
24,2017-02-13,6.88
25,2017-02-14,6.87
26,2017-02-15,6.87
27,2017-02-16,6.85
28,2017-02-17,6.87
29,2017-02-20,6.88
30,2017-02-21,6.88
31,2017-02-22,6.88
32,2017-02-23,6.87
33,2017-02-24,6.87
34,2017-02-27,6.87
35,2017-02-28,6.87
36,2017-03-01,6.88
37,2017-03-02,6.89
38,2017-03-03,6.9
39,2017-03-06,6.9
40,2017-03-07,6.9
41,2017-03-08,6.91
42,2017-03-09,6.91
43,2017-03-10,6.91
44,2017-03-13,6.91
45,2017-03-14,6.92
46,2017-03-15,6.91
47,2017-03-16,6.9
48,2017-03-17,6.9
49,2017-03-20,6.91
50,2017-03-21,6.89
51,2017-03-22,6.88
52,2017-03-23,6.89
53,2017-03-24,6.88
54,2017-03-27,6.87
55,2017-03-28,6.88
56,2017-03-29,6.89
57,2017-03-30,6.89
58,2017-03-31,6.89
59,2017-04-05,6.89
60,2017-04-06,6.9
61,2017-04-07,6.9
62,2017-04-10,6.9
63,2017-04-11,6.89
64,2017-04-12,6.89
65,2017-04-13,6.89
66,2017-04-14,6.89
67,2017-04-17,6.88
68,2017-04-18,6.88
69,2017-04-19,6.89
70,2017-04-20,6.88
71,2017-04-21,6.89
72,2017-04-24,6.88
73,2017-04-25,6.88
74,2017-04-26,6.89
75,2017-04-27,6.9
76,2017-04-28,6.89
77,2017-05-02,6.9
78,2017-05-03,6.9
79,2017-05-04,6.9
80,2017-05-05,6.9
81,2017-05-08,6.9
82,2017-05-09,6.91
83,2017-05-10,6.9
84,2017-05-11,6.9
85,2017-05-12,6.9
86,2017-05-15,6.89
87,2017-05-16,6.89
88,2017-05-17,6.88
89,2017-05-18,6.89
90,2017-05-19,6.88
91,2017-05-22,6.89
92,2017-05-23,6.89
