,Date,Value
0,2017-01-03,116.15
1,2017-01-04,116.02
2,2017-01-05,116.61
3,2017-01-06,117.91
4,2017-01-09,118.99
5,2017-01-10,119.11
6,2017-01-11,119.75
7,2017-01-12,119.25
8,2017-01-13,119.04
9,2017-01-17,120.0
10,2017-01-18,119.99
11,2017-01-19,119.78
12,2017-01-20,120.0
13,2017-01-23,120.08
14,2017-01-24,119.97
15,2017-01-25,121.88
16,2017-01-26,121.94
17,2017-01-27,121.95
18,2017-01-30,121.63
19,2017-01-31,121.35
20,2017-02-01,128.75
21,2017-02-02,128.53
22,2017-02-03,129.08
23,2017-02-06,130.29
24,2017-02-07,131.53
25,2017-02-08,132.04
26,2017-02-09,132.42
27,2017-02-10,132.12
28,2017-02-13,133.29
29,2017-02-14,135.02
30,2017-02-15,135.51
31,2017-02-16,135.345
32,2017-02-17,135.72
33,2017-02-21,136.7
34,2017-02-22,137.11
35,2017-02-23,136.53
36,2017-02-24,136.66
37,2017-02-27,136.93
38,2017-02-28,136.99
39,2017-03-01,139.79
40,2017-03-02,138.96
41,2017-03-03,139.78
42,2017-03-06,139.34
43,2017-03-07,139.52
44,2017-03-08,139.0
45,2017-03-09,138.68
46,2017-03-10,139.14
47,2017-03-13,139.2
48,2017-03-14,138.99
49,2017-03-15,140.46
50,2017-03-16,140.69
51,2017-03-17,139.99
52,2017-03-20,141.46
53,2017-03-21,139.84
54,2017-03-22,141.42
55,2017-03-23,140.92
56,2017-03-24,140.64
57,2017-03-27,140.88
58,2017-03-28,143.8
59,2017-03-29,144.12
60,2017-03-30,143.93
61,2017-03-31,143.66
62,2017-04-03,143.7
63,2017-04-04,144.77
64,2017-04-05,144.02
65,2017-04-06,143.66
66,2017-04-07,143.34
67,2017-04-10,143.17
68,2017-04-11,141.63
69,2017-04-12,141.8
70,2017-04-13,141.05
71,2017-04-17,141.83
72,2017-04-18,141.2
73,2017-04-19,140.68
74,2017-04-20,142.44
75,2017-04-21,142.27
76,2017-04-24,143.64
77,2017-04-25,144.53
78,2017-04-26,143.68
79,2017-04-27,143.79
80,2017-04-28,143.65
81,2017-05-01,146.58
82,2017-05-02,147.51
83,2017-05-03,147.06
84,2017-05-04,146.53
85,2017-05-05,148.96
86,2017-05-08,153.01
87,2017-05-09,153.99
88,2017-05-10,153.26
89,2017-05-11,153.95
90,2017-05-12,156.1
91,2017-05-15,155.7
92,2017-05-16,155.47
93,2017-05-17,150.25
94,2017-05-18,152.54
95,2017-05-19,153.06
96,2017-05-22,153.99
97,2017-05-23,153.8
98,2017-05-24,153.34
99,2017-05-25,153.87
100,2017-05-26,153.61
101,2017-05-30,153.67
102,2017-05-31,152.76
103,2017-06-01,153.18
104,2017-06-02,155.45
105,2017-06-05,153.93
106,2017-06-06,154.45
107,2017-06-07,155.37
108,2017-06-08,154.99
109,2017-06-09,148.98
110,2017-06-12,145.42
