,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
119,1996,Italy,1033760000000.0,,18180.0,,1260410000000.0,,119.1,,22161.0,
118,1997,Italy,1096302000000.0,0.060499535675591964,19270.0,0.059955995599559886,1271894000000.0,0.009111320919383381,116.8,-0.01931150293870698,22351.0,0.008573620323992559
117,1998,Italy,1134535000000.0,0.03487451450421508,19940.0,0.034769071094966186,1299741000000.0,0.021894120107493142,114.1,-0.023116438356164393,22839.0,0.021833475012303705
116,1999,Italy,1175150000000.0,0.03579880744093389,20650.0,0.03560682046138419,1331321000000.0,0.02429714843187991,113.3,-0.007011393514461006,23388.0,0.024037830027584306
115,2000,Italy,1241513000000.0,0.05647193975237208,21800.0,0.0556900726392251,1353569000000.0,0.016711221410914412,109.0,-0.0379523389232127,23763.0,0.016033863519753666
114,2001,Italy,1304137000000.0,0.050441678822533476,22890.0,0.050000000000000044,1420028000000.0,0.04909908545482344,108.9,-0.0009174311926605228,24918.0,0.048604974119429434
113,2002,Italy,1350259000000.0,0.03536591631093966,23650.0,0.03320227173438184,1436142000000.0,0.011347663567197186,106.4,-0.022956841138659367,25138.0,0.008828958985472424
112,2003,Italy,1394693000000.0,0.032907760659251384,24290.0,0.027061310782241055,1471326000000.0,0.024498970157547095,105.5,-0.008458646616541388,25590.0,0.01798074628053148
111,2004,Italy,1452319000000.0,0.041318053507115815,25110.0,0.033758748456154786,1526401000000.0,0.03743222100336707,105.1,-0.0037914691943128354,26374.0,0.030636967565455198
110,2005,Italy,1493635000000.0,0.028448295450242078,25670.0,0.02230187176423737,1591581000000.0,0.04270175399518217,106.6,0.014272121788772685,27411.0,0.039319026313793914
109,2006,Italy,1552687000000.0,0.03953576342279064,26570.0,0.03506038176860149,1657384000000.0,0.04134442419204554,106.7,0.0009380863039401,28466.0,0.03848819816861848
108,2007,Italy,1614840000000.0,0.040029316919636626,27470.0,0.0338727888596162,1677700000000.0,0.012257871440776613,103.9,-0.026241799437675684,28604.0,0.0048478887093375
107,2008,Italy,1637699000000.0,0.014155581977161713,27640.0,0.00618856934838008,1738520000000.0,0.03625201168266079,106.2,0.022136669874879722,29466.0,0.030135645364284702
106,2009,Italy,1577256000000.0,-0.036907270505752265,26470.0,-0.04232995658465988,1839115000000.0,0.057862434714584854,116.6,0.09792843691148767,31071.0,0.05446955813479937
105,2010,Italy,1611279000000.0,0.0215710068625512,26930.0,0.017378163959199,1920661000000.0,0.04433980474304211,119.2,0.022298456260720467,32354.0,0.041292523575037876
104,2011,Italy,1648756000000.0,0.023259162441762182,27450.0,0.019309320460453083,1973483000000.0,0.027501990200248683,119.7,0.004194630872483174,33227.0,0.026982753291710404
103,2012,Italy,1624359000000.0,-0.01479721681073487,26920.0,-0.01930783242258649,2054753000000.0,0.041180998265503144,126.5,0.05680868838763575,34426.0,0.03608511150570326
102,2013,Italy,1612751000000.0,-0.007146203517818361,26590.0,-0.012258543833580937,2136226000000.0,0.03965099454776322,132.5,0.04743083003952564,35145.0,0.020885377331086863
101,2014,Italy,1627406000000.0,0.00908695762706091,26770.0,0.0067694622038361185,2202997000000.0,0.03125652435650528,135.4,0.021886792452830317,36236.0,0.031042822592118435
100,2015,Italy,1655355000000.0,0.01717395659104115,27260.0,0.018304071722077042,2239409000000.0,0.016528392912019463,135.3,-0.0007385524372229835,36914.0,0.018710674467380395
99,2016,Italy,1695787000000.0,0.024424972286911206,27970.0,0.026045487894350794,2285619000000.0,0.020634908585256184,134.8,-0.003695491500369519,37723.0,0.021915804301890773
98,2017,Italy,1736593000000.0,0.02406316359306926,28690.0,0.025741866285305726,2329553000000.0,0.019221926314053173,134.1,-0.005192878338279083,38515.0,0.020995148848182765
97,2018,Italy,1766168000000.0,0.01703047288570203,29210.0,0.01812478215406066,2380942000000.0,0.022059596841110807,134.8,0.005219985085757051,39446.0,0.02417240036349466
96,2019,Italy,1787664000000.0,0.012170982601881652,29610.0,0.013693940431359186,2409841000000.0,0.012137632920079522,134.8,0.0,40001.0,0.01406986766719065
