Date,Open,High,Low,Close
2015-01-02,175.3,175.63,174.75,175.46
2015-01-05,175.02,175.14,174.48,174.78
2015-01-06,174.76,175.3,174.15,174.48
2015-01-07,174.52,174.79,173.97,174.27
2015-01-08,174.28,174.47,173.59,173.9
2015-01-09,173.9,174.04,173.38,173.95
2015-01-12,174.03,174.22,173.44,173.72
2015-01-13,173.73,174.11,172.79,172.94
2015-01-14,172.94,173.11,172.18,172.61
2015-01-15,172.61,172.72,167.44,168.37
2015-01-16,168.36,168.94,166.76,167.8
2015-01-19,167.93,169.06,167.68,168.94
2015-01-20,168.95,169.03,167.88,168.07
2015-01-21,168.06,169.36,167.79,168.64
2015-01-22,168.67,168.83,165.55,166.09
2015-01-23,166.07,166.14,162.63,163.9
2015-01-26,162.85,164.88,162.19,164.1
2015-01-27,164.1,165.85,163.86,165.4
2015-01-28,165.39,165.62,164.21,164.23
2015-01-29,164.23,165.99,164.22,165.75
2015-01-30,165.74,166.08,165.07,165.16
2015-02-02,165.23,166.42,165.11,166.06
2015-02-03,166.07,167.82,165.79,167.23
2015-02-04,167.24,167.43,164.88,165.1
2015-02-05,165.1,166.63,164.71,166.32
2015-02-06,166.33,166.34,164.73,164.81
2015-02-09,164.76,165.27,164.24,164.98
2015-02-10,164.98,165.08,164.29,164.77
2015-02-11,164.76,165.51,164.29,165.21
2015-02-12,165.2,165.47,164.48,165.33
2015-02-13,165.33,165.73,164.98,165.17
2015-02-16,165.07,165.53,164.26,164.58
2015-02-17,164.58,165.85,164.24,165.72
2015-02-18,165.72,165.73,164.33,165.11
2015-02-19,165.11,165.68,164.57,164.81
2015-02-20,164.8,165.74,163.74,165.13
2015-02-23,165.08,165.3,164,164.17
2015-02-24,164.17,164.44,163.8,164.28
2015-02-25,164.29,164.61,164,164.17
2015-02-26,164.18,164.32,162.4,162.49
2015-02-27,162.49,163.16,162.23,162.31
2015-03-02,162.26,163.27,162.05,162.71
2015-03-03,162.71,162.99,162.3,162.68
2015-03-04,162.67,162.7,161.46,161.76
2015-03-05,161.77,162.38,160.85,161.28
2015-03-06,161.28,161.34,159.78,159.93
2015-03-09,159.72,160.41,159.55,159.61
2015-03-10,159.6,159.65,157.45,157.63
2015-03-11,157.63,157.97,156,156.47
2015-03-12,156.47,157.94,155.91,157.72
2015-03-13,157.72,157.89,156.29,156.65
2015-03-16,156.67,157.99,156.37,157.34
2015-03-17,157.34,158.7,157.1,158.09
2015-03-18,158.09,161.55,157.85,160.04
2015-03-19,160.04,160.95,157.98,158.91
2015-03-20,158.91,160.51,158.77,159.8
2015-03-23,160.09,161.79,159.52,161.6
2015-03-24,161.6,162.35,161.08,161.55
2015-03-25,161.55,162.44,161.43,162.07
2015-03-26,162.07,162.63,160.81,161
2015-03-27,161,161.53,159.91,160.95
2015-03-30,160.89,161.09,160.33,160.63
2015-03-31,160.633,160.852,158.938,159.293
2015-04-01,159.29,160.22,159.08,159.55
2015-04-02,159.55,161.41,159.35,161.12
2015-04-03,161.13,162.39,160.92,161.83
2015-04-06,162.11,162.43,161.35,161.56
2015-04-07,161.56,161.76,160.3,160.37
2015-04-08,160.38,160.8,159.39,159.61
2015-04-09,159.61,159.82,158.64,158.91
2015-04-10,158.91,159.12,158.04,158.37
2015-04-13,158.33,158.73,157.49,157.65
2015-04-14,157.65,158.76,157.12,158.2
2015-04-15,158.19,158.33,157.22,158.13
2015-04-16,158.13,159.28,157.43,158.72
2015-04-17,158.71,159.28,158.15,159.26
2015-04-20,159.17,159.19,158.24,158.54
2015-04-21,158.55,158.78,157.71,158.46
2015-04-22,158.46,158.79,157.57,157.86
2015-04-23,157.86,159.25,157.31,158.96
2015-04-24,158.96,159.61,158.4,158.86
2015-04-27,158.88,159.3,158.57,158.91
