Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,90.84,91.49,90.8,91.46,22546,118207
2015-01-05,91.24,91.78,91.23,91.42,21642,123382
2015-01-06,91.36,91.81,91.12,91.72,22663,126083
2015-01-07,91.77,92.27,91.65,92.02,22300,127196
2015-01-08,92.02,92.53,91.99,92.34,28521,127235
2015-01-09,92.3,92.5,91.9,91.92,45768,129105
2015-01-12,91.76,92.34,91.73,92.04,33018,130158
2015-01-13,91.98,92.43,91.81,92.25,34650,127504
2015-01-14,92.23,92.42,91.61,92.07,51337,126189
2015-01-15,92.17,92.75,91.51,92.18,81769,125997
2015-01-16,92.24,93.26,92.09,92.52,60651,130363
2015-01-19,92.7,92.71,92.33,92.58,17158,132029
2015-01-20,92.68,93.1,92.55,93.01,16376,130077
2015-01-21,93,93.08,92.15,92.74,28128,127458
2015-01-22,92.87,94.5,92.48,94.25,30559,130639
2015-01-23,94.2,95.48,94.11,94.99,29495,132792
2015-01-26,95.21,95.29,94.59,94.96,36148,137955
2015-01-27,95.01,95.01,93.7,94.03,58152,129495
2015-01-28,94.16,94.69,93.97,94.68,34334,126953
2015-01-29,94.6,95.01,94.33,94.7,49008,129371
2015-01-30,94.64,94.92,94.43,94.8,31039,129269
2015-02-02,94.69,94.88,94.37,94.61,23634,131424
2015-02-03,94.51,94.7,93.25,93.71,30233,125025
2015-02-04,93.8,94.53,93.61,94.42,22323,123437
2015-02-05,94.45,94.49,93.42,93.55,29771,120768
2015-02-06,93.58,94.76,93.52,94.65,49959,118585
2015-02-09,94.66,94.88,94.36,94.56,29039,117846
2015-02-10,94.49,94.87,94.4,94.82,33046,114816
2015-02-11,94.79,95.12,94.68,94.84,25394,115311
2015-02-12,94.91,94.97,93.98,94.23,42525,116301
2015-02-13,94.19,94.31,93.9,94.19,21530,115728
2015-02-16,94.03,94.54,93.9,94.4,10526,115139
2015-02-17,94.45,94.47,93.8,94.08,13480,115630
2015-02-18,94.14,94.53,93.99,94.08,25036,115652
2015-02-19,94.1,94.45,93.84,94.41,32622,115043
2015-02-20,94.41,94.79,94.05,94.31,49995,115751
2015-02-23,94.4,94.92,94.28,94.54,28658,118245
2015-02-24,94.55,94.99,94.43,94.48,38277,118929
2015-02-25,94.4,94.43,94.13,94.21,26632,119590
2015-02-26,94.25,95.36,94.06,95.28,29529,119057
2015-02-27,95.18,95.36,94.91,95.24,36786,120767
2015-03-02,95.48,95.51,95.06,95.47,24636,123087
2015-03-03,95.45,95.57,95.1,95.38,27148,123981
2015-03-04,95.32,96.06,95.32,95.94,35745,129163
2015-03-05,95.94,96.59,95.84,96.32,51723,132992
2015-03-06,96.39,97.73,96.3,97.72,73424,136245
2015-03-09,97.67,97.78,97.29,97.66,71900,143882
2015-03-10,97.81,98.81,97.81,98.69,112996,148486
2015-03-11,98.61,99.99,98.54,99.71,159577,158884
2015-03-12,99.69,100.06,98.65,99.25,192589,155305
2015-03-13,99.35,100.39,99.2,100.18,122322,157920
2015-03-16,100.18,100.19,99.32,99.7,74268,131202
2015-03-17,99.75,99.83,99.23,99.65,45065,132548
2015-03-18,99.53,99.8,96.63,97.84,51726,132021
2015-03-19,97.39,99.46,97.38,99.11,98151,125249
2015-03-20,99,99.11,97.45,97.8,88520,121618
2015-03-23,97.89,98.24,96.83,96.97,75815,114909
2015-03-24,97.07,97.38,96.39,97.22,71588,116148
2015-03-25,97.19,97.28,96.54,96.9,43730,113279
2015-03-26,96.84,97.55,96.17,97.41,59716,111308
2015-03-27,97.29,97.92,96.99,97.39,57017,111482
2015-03-30,97.43,98.07,97.42,97.97,40528,114566
2015-03-31,97.93,98.67,97.83,98.4,46162,118796
2015-04-01,98.4,98.64,97.98,98.17,46162,117565
2015-04-02,98.14,98.28,97.33,97.51,49080,117565
2015-04-03,97.57,97.61,96.39,96.74,29421,117034
2015-04-06,96.63,97.24,96.33,97.06,31466,113018
2015-04-07,97.06,98.02,96.93,97.96,40231,113690
2015-04-08,97.88,98.2,97.25,98.07,49200,113313
2015-04-09,98.05,99.18,98.04,98.99,53470,116756
2015-04-10,98.96,99.69,98.84,99.34,47153,118633
2015-04-13,99.33,99.99,99.23,99.52,58514,121640
2015-04-14,99.48,99.7,98.37,98.75,66930,119021
2015-04-15,98.81,99.36,98.22,98.37,77643,119889
2015-04-16,98.39,98.72,97.28,97.65,72097,117513
2015-04-17,97.71,97.82,97.1,97.45,58812,114077
2015-04-20,97.61,98.07,97.49,97.92,35366,117143
2015-04-21,97.85,98.46,97.64,97.96,39525,115918
2015-04-22,97.95,98.12,97.43,98.07,35305,115103
2015-04-23,98.04,98.43,97.15,97.31,47848,114381
2015-04-24,97.36,97.56,96.76,96.86,54729,113101
2015-04-27,96.94,97.28,96.47,96.75,40883,111757
2015-04-28,96.8,96.93,96.01,96.08,53021,112648
2015-04-29,96.14,96.18,94.68,95.21,52026,105143
2015-04-30,95.21,95.45,94.4,94.83,85252,103421
2015-05-01,94.85,95.4,94.5,95.21,54511,102681
2015-05-04,95.28,95.64,95.04,95.42,29804,101345
2015-05-05,95.43,95.95,94.88,95.13,49376,102100
2015-05-06,95.17,95.22,93.88,94.15,80074,103531
2015-05-07,94.16,94.83,93.89,94.58,45393,98905
2015-05-08,94.62,95.07,94.32,94.79,59487,97990
2015-05-11,94.86,95.26,94.8,95.04,28265,100438
2015-05-12,95.08,95.16,94.24,94.53,32925,99697
2015-05-13,94.55,94.59,93.46,93.68,42296,98907
2015-05-14,93.7,93.76,93.13,93.39,55342,98261
2015-05-15,93.41,94.03,93.14,93.23,42660,97124
2015-05-18,93.27,94.27,93.27,94.17,38060,97621
2015-05-19,94.1,95.47,94.09,95.31,65081,98050
2015-05-20,95.32,95.84,95.26,95.58,54999,99452
2015-05-21,95.54,95.65,94.97,95.4,40709,98410
2015-05-22,95.4,96.27,94.82,96.01,69254,99981
2015-05-25,96.29,96.48,96.17,96.38,12621,99981
2015-05-26,96.46,97.36,96.45,97.31,34147,103211
2015-05-27,97.21,97.78,96.89,97.27,58604,101575
2015-05-28,97.3,97.63,96.87,96.94,66516,102823
2015-05-29,96.9,97.19,96.75,96.88,52989,102750
2015-06-01,97.08,97.68,96.93,97.46,55775,102041
2015-06-02,97.47,97.53,95.67,95.93,96166,102174
2015-06-03,95.95,96.51,95.21,95.35,84831,103006
2015-06-04,95.4,95.61,94.65,95.59,69481,102772
2015-06-05,95.67,96.91,95.36,96.31,86837,102879
2015-06-08,96.43,96.55,95.05,95.27,73936,104690
2015-06-09,95.26,95.58,94.87,95.18,74725,105463
2015-06-10,95.1,95.23,94.32,94.65,124064,108720
2015-06-11,94.73,95.6,94.71,95.14,103084,107742
2015-06-12,95.09,95.68,94.69,94.97,119591,107843
2015-06-15,95.13,95.39,94.73,94.82,38424,85946
2015-06-16,94.85,95.23,94.56,94.95,35929,86281
2015-06-17,94.99,95.18,94.11,94.25,58740,88769
2015-06-18,94.14,94.23,93.56,94.04,53253,87248
2015-06-19,94.07,94.5,93.92,94.07,28340,85810
2015-06-22,94.08,94.45,93.81,94.33,30715,85268
2015-06-23,94.31,95.64,94.3,95.42,47732,85932
2015-06-24,95.35,95.54,94.93,95.28,35498,85841
2015-06-25,95.26,95.51,95.09,95.21,26896,87197
2015-06-26,95.18,95.67,95.08,95.4,33226,88215
2015-06-29,96.37,96.37,94.68,94.95,36859,85079
2015-06-30,95.05,95.68,94.85,95.51,40972,83260
2015-07-01,95.57,96.35,95.47,96.26,46216,86528
2015-07-02,96.39,96.42,95.87,96.08,41254,85249
2015-07-03,96.09,96.22,95.87,95.95,9613,85249
2015-07-06,96.57,96.63,96.02,96.26,2199,84682
2015-07-07,96.33,97.24,96.31,96.74,25485,89292
2015-07-08,96.7,96.88,96.12,96.21,40174,87917
2015-07-09,96.25,96.76,95.97,96.42,32582,88043
2015-07-10,96.38,96.4,95.45,96.03,47206,87008
2015-07-13,95.98,96.86,95.63,96.8,46628,87503
2015-07-14,96.96,97.05,96.27,96.66,30013,88719
2015-07-15,96.66,97.31,96.53,97.17,42756,91125
2015-07-16,97.24,97.76,97.17,97.65,40132,93306
2015-07-17,97.62,97.98,97.42,97.96,27465,94870
2015-07-20,97.98,98.15,97.72,98.07,26587,96273
2015-07-21,98,98.15,97.14,97.33,44105,98609
2015-07-22,97.4,97.79,97.11,97.43,36021,99065
2015-07-23,97.48,97.49,96.89,97.22,42751,99047
2015-07-24,97.17,97.62,97.12,97.24,28054,98855
2015-07-27,97.28,97.29,96.29,96.54,49430,97050
2015-07-28,96.56,96.97,96.47,96.65,24603,96069
2015-07-29,96.63,97.25,96.5,97.19,32379,95861
2015-07-30,97.17,97.77,97.17,97.49,35603,98909
