,City,Country,Continent,Total GDP,GDP per capita
60,Foshan,China,Asia,184543,24870
61,Viena,Austria,Europa,183712,48546
62,Manila,Filipinas,Asia,182842,14222
63,Ningbo,China,Asia,178985,23153
64,Melbourne,Australia,Oceanía,178392,40244
65,Abu Dhabi,Emiratos Árabes Unidos,Asia,178256,61009
66,Río de Janeiro,Brasil,América,176630,14176
67,Lima,Perú,América,176447,16530
68,Baltimore,Estados Unidos,América,173747,62291
69,Kuala Lumpur,Malasia,Asia,171772,28076
70,Santiago de Chile,Chile,América,171436,23929
71,Barcelona,España,Europa,171032,36157
72,Denver,Estados Unidos,América,169737,61795
73,Kuwait,Kuwait,Asia,166452,55171
74,Riad,Arabia Saudita,Asia,163476,22139
75,Roma,Italia,Europa,163243,38025
76,Tangshan,China,Asia,162320,20874
77,Hamburgo,Alemania,Europa,161437,49757
78,Jeddah,Arabia Saudita,Asia,160617,21452
79,San Jose,Estados Unidos,América,160339,82414
80,Bogotá,Colombia,América,159850,17497
81,Portland,Estados Unidos,América,158544,67639
82,Stuttgart,Alemania,Europa,157787,49679
83,Berlín,Alemania,Europa,157706,36259
84,Zhengzhou,China,Asia,155969,14907
85,Montreal,Canadá,América,155905,38867
86,Riverside,Estados Unidos,América,154904,34917
87,Tel Aviv,Israel,Asia,153297,42614
88,Mumbai,India,Asia,150853,7005
89,Yantai,China,Asia,149022,21117
90,Estocolmo,Suecia,Europa,142953,56250
91,Brasilia,Brasil,América,141916,35689
92,Dongguan,China,Asia,141129,16660
93,Varsovia,Polonia,Europa,141096,48681
94,San Luis,Estados Unidos,América,140584,50070
95,Pittsburgh,Estados Unidos,América,138429,58615
96,Karlsruhe,Alemania,Europa,137071,44476
97,Jinan,China,Asia,136811,19488
98,Perth,Australia,Oceanía,134021,65651
99,Shijiazhuang,China,Asia,130538,12405
100,Tampa,Estados Unidos,América,130314,44999
101,Atenas,Grecia,Europa,129623,32484
102,Nantong,China,Asia,128320,17441
103,Harbin,China,Asia,127918,12865
104,Sacramento,Estados Unidos,América,127401,56928
105,Copenhague,Dinamarca,Europa,127001,42220
106,Charlotte,Estados Unidos,América,126156,53142
107,Changchun,China,Asia,124455,16413
108,Xi'an,China,Asia,124186,14473
109,Monterrey,México,América,122896,28290
110,Katowice,Polonia,Europa,122321,23824
111,Birmingham,Reino Unido,Europa,121067,31572
112,Hefei,China,Asia,120875,21576
113,San Petersburgo,Rusia,Europa,119613,23361
114,Fuzhou,China,Asia,117441,17743
115,Orlando,Estados Unidos,América,116233,50410
116,Cleveland,Estados Unidos,América,115142,55876
117,Taichung,Taiwán,Asia,114701,41877
118,Kaohsiung,Taiwán,Asia,113647,40534
119,Indianapolis,Estados Unidos,América,113606,57511
120,Xuzhou,China,Asia,113173,13107
121,Cincinnati,Estados Unidos,América,110897,51677
122,Changzhou,China,Asia,110874,30205
123,Vancouver,Canadá,América,109805,44337
124,Zúrich,Suiza,Europa,109065,56666
125,Columbus,Estados Unidos,América,108904,54780
126,Austin,Estados Unidos,América,107364,55420
127,Kansas City,Estados Unidos,América,105945,51157
128,Ankara,Turquía,Europa,104863,21076
129,San Antonio,Estados Unidos,América,102771,44232
130,El Cairo,Egipto,África,102165,7843
131,Wenzhou,China,Asia,101941,11008
132,Hartford,Estados Unidos,América,101150,83088
133,Zibo,China,Asia,100274,21681
134,Aachen,Bélgica,Europa,99728,33054
135,Lille,Francia,Europa,98484,30259
136,Daqing,China,Asia,98451,35127
137,Budapest,Hungría,Europa,97957,34519
138,Calgary,Canadá,América,97882,69826
139,Lyon,Francia,Europa,97006,43316
140,Brisbane,Australia,Oceanía,96621,42103
141,Lisboa,Portugal,Europa,96282,32434
142,Nanchang,China,Asia,95990,18516
143,Nashville,Estados Unidos,América,94968,53193
144,Baotou,China,Asia,94124,33838
145,Las Vegas,Estados Unidos,América,93858,45744
146,Mánchester,Reino Unido,Europa,92260,35029
147,Virginia Beach,Estados Unidos,América,92109,53661
148,Eindhoven,Países Bajos,Europa,91539,42729
149,Dublín,Irlanda,Europa,90137,51319
150,Praga,República Checa,Europa,89181,46947
151,Kunming,China,Asia,88631,13418
152,Taoyuan,Taiwán,Asia,86782,42168
153,Milwaukee,Estados Unidos,América,86548,54915
154,Nápoles,Italia,Europa,85476,19451
155,Belo Horizonte,Brasil,América,84686,15134
156,Dongying,China,Asia,83667,39952
157,Edmonton,Canadá,América,82958,62832
158,Johannesburgo,Sudáfrica,África,82918,16370
159,Dubái,Emiratos Árabes Unidos,Asia,82867,24866
160,Guadalajara,México,América,80656,17206
161,Sapporo,Japón,Asia,80464,32446
162,Bursa,Turquía,Europa,80063,21507
163,Esmirna,Turquía,Europa,80061,19886
164,Turín,Italia,Europa,78836,34284
165,Providence,Estados Unidos,América,78114,48673
166,Helsinki,Finlandia,Europa,77084,47547
167,Tainan,Taiwán,Asia,76702,40376
168,Xiamen,China,Asia,76061,20469
169,Sendai,Japón,Asia,75317,33765
170,Hiroshima,Japón,Asia,74932,36900
171,Leeds,Reino Unido,Europa,74577,33355
172,Nürnberg,Alemania,Europa,74508,44219
173,Oslo,Noruega,Europa,74356,52802
174,Nueva Orleans,Estados Unidos,América,74225,58762
175,Salt Lake City,Estados Unidos,América,73836,63746
176,Búfalo,Estados Unidos,América,72657,64090
177,Bucarest,Rumania,Europa,72426,38635
178,Richmond,Estados Unidos,América,71589,56933
179,Ciudad Ho Chi Minh,Vietnam,Asia,71055,8660
180,Nanning,China,Asia,70276,9716
181,Hohhot,China,Asia,70074,23571
182,Oklahoma City,Estados Unidos,América,70010,52195
183,Bridgeport,Estados Unidos,América,69963,73855
184,Zhongshan,China,Asia,68682,21295
185,Rochester,Estados Unidos,América,67823,62516
186,Anshan,China,Asia,67432,19190
187,Liverpool,Reino Unido,Europa,65766,32121
188,Memphis,Estados Unidos,América,65021,48235
189,Raleigh,Estados Unidos,América,64352,51729
190,Jacksonville,Estados Unidos,América,63789,45258
191,Taiyuan,China,Asia,62969,14601
192,Luxemburgo,Luxemburgo,Europa,62464,52703
193,Louisville,Estados Unidos,América,62397,49072
194,Porto Alegre,Brasil,América,62136,15078
195,Calcuta,India,Asia,60447,4036
196,Marseille,Francia,Europa,60282,36127
197,Hannover,Alemania,Europa,59629,45287
198,Urumchi,China,Asia,59575,22590
199,Campinas,Brasil,América,59251,20759
200,Ciudad del Cabo,Sudáfrica,África,58863,14086
201,Honolulu,Estados Unidos,América,58635,59007
202,Chennai,India,Asia,58625,6469
203,Shizuoka,Japón,Asia,58418,41472
204,Albany,Estados Unidos,América,58397,66342
205,Ottawa,Canadá,América,58206,44149
206,Curitiba,Brasil,América,57654,16980
207,Venecia,Italia,Europa,57289,35190
208,Okayama,Japón,Asia,56799,35198
209,Glasgow,Reino Unido,Europa,56747,37753
210,Basel,Suiza,Europa,56166,44400
211,East Rand,Sudáfrica,África,55337,17361
212,Daegu,Corea del Sur,Asia,54458,22467
213,Birmingham,Estados Unidos,América,54164,47304
214,Macau,China,Asia,53888,93849
215,Baton Rouge,Estados Unidos,América,53535,64750
216,New Haven,Estados Unidos,América,53344,61782
