"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/3/2006;1679.93;1654.39;1686.59;1633.62
1/4/2006;1695.83;1684.05;1696.83;1681.85
1/5/2006;1705.29;1697.80;1707.71;1697.33
1/6/2006;1734.99;1718.17;1735.50;1710.86
1/9/2006;1741.90;1734.50;1745.12;1729.60
1/10/2006;1744.02;1732.25;1744.47;1730.25
1/11/2006;1758.24;1748.88;1761.46;1743.85
1/12/2006;1747.35;1754.91;1760.12;1742.85
1/13/2006;1746.78;1748.37;1750.27;1738.01
1/17/2006;1736.39;1733.91;1739.25;1728.62
1/18/2006;1716.62;1708.13;1726.28;1707.75
1/19/2006;1729.92;1725.34;1740.59;1720.56
1/20/2006;1676.38;1724.12;1727.02;1674.32
1/23/2006;1676.30;1681.46;1685.67;1670.47
1/24/2006;1686.22;1682.80;1695.41;1680.61
1/25/2006;1677.00;1694.54;1694.54;1670.33
1/26/2006;1690.49;1687.50;1694.63;1677.25
1/27/2006;1711.11;1699.16;1722.93;1697.88
1/30/2006;1713.45;1712.84;1720.88;1711.42
1/31/2006;1710.75;1713.98;1717.95;1700.34
2/1/2006;1713.02;1697.12;1714.28;1695.83
2/2/2006;1685.77;1709.31;1711.15;1684.67
2/3/2006;1664.53;1673.04;1676.18;1658.38
2/6/2006;1657.54;1663.71;1667.48;1650.99
2/7/2006;1651.84;1656.05;1663.99;1644.84
2/8/2006;1670.47;1665.07;1672.44;1654.03
2/9/2006;1654.08;1675.94;1681.92;1652.09
2/10/2006;1663.75;1655.05;1668.72;1637.26
2/13/2006;1645.83;1653.76;1655.81;1638.53
2/14/2006;1661.95;1648.64;1666.91;1643.17
2/15/2006;1673.15;1658.17;1676.14;1655.22
2/16/2006;1688.61;1677.78;1688.61;1672.93
2/17/2006;1675.21;1683.19;1684.21;1674.89
2/21/2006;1655.68;1675.88;1676.93;1650.94
2/22/2006;1677.52;1657.46;1684.15;1653.68
2/23/2006;1672.29;1675.02;1687.59;1669.81
2/24/2006;1676.50;1672.21;1678.15;1666.97
2/27/2006;1695.66;1681.45;1701.10;1680.43
2/28/2006;1670.57;1690.44;1695.35;1665.63
3/1/2006;1694.58;1675.92;1697.25;1672.60
3/2/2006;1693.78;1686.95;1699.72;1683.38
3/3/2006;1684.32;1685.13;1706.41;1682.71
3/6/2006;1669.94;1688.87;1691.11;1665.37
3/7/2006;1661.02;1666.73;1668.82;1652.59
3/8/2006;1660.35;1656.29;1668.06;1646.03
3/9/2006;1645.09;1666.30;1671.84;1644.86
3/10/2006;1648.23;1645.27;1657.31;1634.25
3/13/2006;1653.79;1655.35;1663.73;1650.94
3/14/2006;1681.15;1650.93;1682.93;1650.93
3/15/2006;1694.46;1687.82;1694.90;1680.06
3/16/2006;1679.05;1701.00;1703.11;1679.05
3/17/2006;1685.66;1682.68;1690.96;1676.63
3/20/2006;1688.98;1690.90;1695.04;1684.16
3/21/2006;1672.47;1688.59;1707.69;1671.20
3/22/2006;1676.32;1663.61;1678.73;1662.56
3/23/2006;1670.73;1672.12;1676.28;1660.82
3/24/2006;1679.81;1677.09;1687.56;1669.17
3/27/2006;1680.63;1678.93;1687.54;1678.05
3/28/2006;1673.03;1681.10;1694.60;1667.95
3/29/2006;1703.84;1677.11;1711.26;1674.88
3/30/2006;1708.68;1706.61;1720.20;1700.15
3/31/2006;1703.66;1712.93;1715.62;1701.86
4/3/2006;1706.77;1715.12;1723.06;1704.92
4/4/2006;1716.55;1708.92;1720.43;1705.27
4/5/2006;1732.74;1722.22;1735.13;1717.28
4/6/2006;1739.20;1734.21;1745.68;1727.14
4/7/2006;1723.03;1743.74;1750.23;1720.62
4/10/2006;1718.86;1724.65;1727.82;1712.47
4/11/2006;1704.40;1723.96;1725.66;1696.67
4/12/2006;1704.75;1705.17;1710.92;1701.29
4/13/2006;1712.07;1704.47;1721.05;1700.55
4/17/2006;1694.32;1710.91;1716.72;1684.35
4/18/2006;1726.64;1699.00;1730.33;1699.00
4/19/2006;1734.04;1729.71;1734.10;1720.64
4/20/2006;1728.90;1734.50;1741.35;1724.62
4/21/2006;1709.02;1736.73;1737.20;1701.57
4/24/2006;1706.44;1706.51;1711.04;1697.00
4/25/2006;1701.47;1711.35;1711.35;1694.52
4/26/2006;1702.20;1704.43;1710.00;1696.50
4/27/2006;1717.14;1695.03;1727.79;1688.25
4/28/2006;1700.71;1705.52;1717.49;1699.51
5/1/2006;1686.61;1706.80;1709.44;1680.52
5/2/2006;1689.93;1692.95;1697.18;1686.65
5/3/2006;1686.30;1692.62;1693.52;1679.26
5/4/2006;1701.03;1688.41;1707.36;1688.41
5/5/2006;1713.84;1711.64;1716.19;1706.33
5/8/2006;1715.23;1713.74;1721.13;1712.18
5/9/2006;1711.17;1711.93;1715.73;1708.03
5/10/2006;1694.82;1706.19;1707.38;1690.90
