,metascore,name,console,userscore,date,genre,brand
0,9.8,Grand Theft Auto IV,PS3,7.5,2008-04-29,Action-Adventure,Sony
1,9.8,Red Dead Redemption 2,XONE,5.9,2018-10-26,Action-Adventure,Microsoft
2,9.8,Tony Hawk's Pro Skater 2,PS,7.4,2000-09-20,Sports,Sony
3,9.8,Grand Theft Auto IV,X360,7.9,2008-04-29,Action-Adventure,Microsoft
4,9.7,Super Mario Galaxy,WII,9.0,2007-11-12,Platform,Nintendo
5,9.7,Perfect Dark,N64,8.9,2000-05-22,Shooter,Nintendo
6,9.7,NFL 2K1,DC,6.4,2000-09-07,Sports,Sega
7,9.7,The Legend of Zelda: Breath of the Wild,Switch,8.5,2017-03-03,Action-Adventure,Nintendo
8,9.7,Tony Hawk's Pro Skater 2,DC,6.2,2000-11-06,Sports,Sega
9,9.7,Halo: Combat Evolved,XBOX,8.6,2001-11-14,Shooter,Microsoft
10,9.7,Grand Theft Auto V,X360,8.3,2013-09-17,Action-Adventure,Microsoft
11,9.7,Tony Hawk's Pro Skater 3,PS2,7.5,2001-10-28,Sports,Sony
12,9.7,Grand Theft Auto V,PS3,8.3,2013-09-17,Action-Adventure,Sony
13,9.7,Red Dead Redemption 2,PS4,7.7,2018-10-26,Action-Adventure,Sony
14,9.7,Super Mario Odyssey,Switch,8.9,2017-10-27,Platform,Nintendo
15,9.7,Grand Theft Auto V,XONE,7.8,2014-11-18,Action-Adventure,Microsoft
16,9.7,Grand Theft Auto V,PS4,8.3,2014-11-18,Action-Adventure,Sony
17,9.7,Metroid Prime,GC,9.2,2002-11-17,Shooter,Nintendo
18,9.7,Super Mario Galaxy 2,WII,9.1,2010-05-23,Platform,Nintendo
19,9.7,Grand Theft Auto III,PS2,8.5,2001-10-22,Action-Adventure,Sony
20,9.6,Metal Gear Solid 2: Sons of Liberty,PS2,8.8,2001-11-12,Action-Adventure,Sony
21,9.6,Batman: Arkham City,PS3,8.7,2011-10-18,Action-Adventure,Sony
22,9.6,The Elder Scrolls V: Skyrim,X360,8.5,2011-11-11,Role-Playing,Microsoft
23,9.6,Mass Effect 2,X360,8.9,2010-01-26,Role-Playing,Microsoft
24,9.6,Uncharted 2: Among Thieves,PS3,8.9,2009-10-13,Action-Adventure,Sony
25,9.6,Resident Evil 4,PS2,9.0,2005-10-25,Action-Adventure,Sony
26,9.6,Resident Evil 4,GC,9.3,2005-01-11,Action-Adventure,Nintendo
27,9.6,The Legend of Zelda: Twilight Princess,GC,8.9,2006-12-11,Action-Adventure,Nintendo
28,9.6,BioShock,X360,8.9,2007-08-21,Shooter,Microsoft
29,9.6,The Orange Box,X360,8.8,2007-10-10,Shooter,Microsoft
30,9.6,The Legend of Zelda: The Wind Waker,GC,8.9,2003-03-24,Action-Adventure,Nintendo
31,9.6,The Legend of Zelda: Breath of the Wild,WIIU,8.2,2017-03-03,Action-Adventure,Nintendo
32,9.5,LittleBigPlanet,PS3,6.8,2008-10-27,Platform,Sony
33,9.5,Halo 2,XBOX,8.2,2004-11-09,Shooter,Microsoft
34,9.5,The Legend of Zelda: Majora's Mask,N64,9.1,2000-10-25,Action-Adventure,Nintendo
35,9.5,Madden NFL 2003,PS2,7.4,2002-08-12,Sports,Sony
36,9.5,Red Dead Redemption,PS3,8.9,2010-05-18,Action-Adventure,Sony
37,9.5,Red Dead Redemption,X360,9.0,2010-05-18,Action-Adventure,Microsoft
38,9.5,Portal 2,X360,8.7,2011-04-19,Shooter,Microsoft
39,9.5,The Legend of Zelda Collector's Edition,GC,9.0,2003-11-17,Action-Adventure,Nintendo
40,9.5,Grand Theft Auto: Vice City,PS2,8.8,2002-10-27,Action-Adventure,Sony
41,9.5,The Last of Us Remastered,PS4,9.1,2014-07-29,Action-Adventure,Sony
42,9.5,The Legend of Zelda: Twilight Princess,WII,9.0,2006-11-19,Action-Adventure,Nintendo
43,9.5,Portal 2,PS3,8.5,2011-04-19,Shooter,Sony
44,9.5,Grand Theft Auto: San Andreas,PS2,9.0,2004-10-26,Action-Adventure,Sony
45,9.5,Gran Turismo 3: A-Spec,PS2,8.4,2001-07-09,Racing,Sony
46,9.5,The Last of Us,PS3,9.2,2013-06-14,Action-Adventure,Sony
47,9.5,Tony Hawk's Pro Skater 2,GBA,7.1,2001-05-30,Sports,Nintendo
48,9.5,The Legend of Zelda: A Link to the Past,GBA,8.9,2002-12-03,Action-Adventure,Nintendo
49,9.5,Metal Gear Solid V: The Phantom Pain,XONE,7.4,2015-09-01,Action-Adventure,Microsoft
50,9.4,Ninja Gaiden Black,XBOX,8.7,2005-09-20,Action-Adventure,Microsoft
51,9.4,Burnout 3: Takedown,XBOX,7.4,2004-09-07,Racing,Microsoft
52,9.4,Batman: Arkham City,X360,8.7,2011-10-18,Action-Adventure,Microsoft
53,9.4,The Elder Scrolls IV: Oblivion,X360,8.7,2006-03-20,Role-Playing,Microsoft
54,9.4,Devil May Cry,PS2,8.6,2001-10-16,Action-Adventure,Sony
55,9.4,Final Fantasy IX,PS,9.2,2000-11-13,Role-Playing,Sony
56,9.4,Chrono Cross,PS,8.8,2000-08-15,Role-Playing,Sony
57,9.4,Jet Grind Radio,DC,8.0,2000-10-30,Action-Adventure,Sega
58,9.4,Call of Duty: Modern Warfare 2,PS3,6.4,2009-11-10,Shooter,Sony
59,9.4,Call of Duty: Modern Warfare 2,X360,6.4,2009-11-10,Shooter,Microsoft
60,9.4,Gears of War,X360,8.3,2006-11-07,Shooter,Microsoft
61,9.4,Celeste,XONE,6.4,2018-01-26,Platform,Microsoft
62,9.4,God of War,PS2,8.9,2005-03-22,Action-Adventure,Sony
63,9.4,God of War,PS4,9.2,2018-04-20,Action-Adventure,Sony
64,9.4,Metal Gear Solid 3: Subsistence,PS2,8.9,2006-03-14,Action-Adventure,Sony
65,9.4,Street Fighter IV,PS3,7.3,2009-02-17,Fighting,Sony
66,9.4,Madden NFL 2002,PS2,7.4,2001-08-19,Sports,Sony
67,9.4,BioShock,PS3,8.7,2008-10-21,Shooter,Sony
68,9.4,Virtua Fighter 4,PS2,8.1,2002-03-17,Fighting,Sony
69,9.4,Metal Gear Solid 4: Guns of the Patriots,PS3,8.8,2008-06-12,Action-Adventure,Sony
70,9.4,World of Goo,WII,8.7,2008-10-13,Puzzle,Nintendo
71,9.4,BioShock Infinite,PS3,8.5,2013-03-26,Shooter,Sony
72,9.4,Mass Effect 2,PS3,8.5,2011-01-17,Role-Playing,Sony
73,9.4,The Legend of Zelda: Ocarina of Time 3D,3DS,9.0,2011-06-19,Action-Adventure,Nintendo
74,9.4,Call of Duty 4: Modern Warfare,PS3,8.4,2007-11-05,Shooter,Sony
75,9.4,Madden NFL 2004,GC,7.0,2003-08-12,Sports,Nintendo
76,9.4,Madden NFL 2004,PS2,8.4,2003-08-12,Sports,Sony
77,9.4,Super Mario Advance 4: Super Mario Bros. 3,GBA,8.9,2003-10-21,Platform,Nintendo
78,9.4,Call of Duty 4: Modern Warfare,X360,8.5,2007-11-05,Shooter,Microsoft
79,9.4,Halo 3,X360,7.9,2007-09-25,Shooter,Microsoft
80,9.4,NCAA Football 2004,PS2,8.7,2003-07-16,Sports,Sony
81,9.4,Star Wars: Knights of the Old Republic,XBOX,9.0,2003-07-17,Role-Playing,Microsoft
82,9.4,Tony Hawk's Pro Skater 4,PS2,8.4,2002-10-23,Sports,Sony
83,9.3,Metal Gear Solid V: The Phantom Pain,PS4,8.2,2015-09-01,Action-Adventure,Sony
84,9.3,Persona 5,PS4,9.0,2017-04-04,Role-Playing,Sony
85,9.3,Persona 4 Golden,VITA,8.9,2012-11-20,Role-Playing,Sony
86,9.3,Mass Effect 3,X360,5.9,2012-03-06,Role-Playing,Microsoft
87,9.3,SSX,PS2,8.4,2000-10-30,Sports,Sony
88,9.3,Quake III Arena,DC,8.1,2000-10-22,Shooter,Sega
89,9.3,Skies of Arcadia,DC,8.9,2000-11-13,Role-Playing,Sega
90,9.3,Tony Hawk's Pro Skater 3,XBOX,7.9,2002-03-04,Sports,Microsoft
91,9.3,Test Drive Le Mans,DC,7.7,2000-11-13,Racing,Sega
92,9.3,Mass Effect 3,PS3,5.6,2012-03-05,Role-Playing,Sony
93,9.3,Uncharted 4: A Thief's End,PS4,8.3,2016-05-10,Action-Adventure,Sony
94,9.3,NBA 2K1,DC,7.0,2000-11-01,Sports,Sega
95,9.3,Street Fighter IV,X360,7.3,2009-02-17,Fighting,Microsoft
96,9.3,The Legend of Zelda: Skyward Sword,WII,8.1,2011-11-20,Action-Adventure,Nintendo
97,9.3,Pac-Man Championship Edition DX,X360,7.8,2010-11-17,Puzzle,Microsoft
98,9.3,BioShock Infinite,X360,8.5,2013-03-26,Shooter,Microsoft
99,9.3,NFL 2K3,PS2,7.4,2002-08-12,Sports,Sony
100,9.3,Undertale,Switch,8.1,2018-09-18,Role-Playing,Nintendo
101,9.3,INSIDE,XONE,8.2,2016-06-29,Action-Adventure,Microsoft
102,9.3,Braid,X360,8.5,2008-08-06,Platform,Microsoft
103,9.3,Braid,PS3,7.8,2009-11-12,Platform,Sony
104,9.3,Grand Theft Auto: Chinatown Wars,DS,8.2,2009-03-17,Action-Adventure,Nintendo
105,9.3,Super Mario 3D World,WIIU,8.9,2013-11-22,Platform,Nintendo
106,9.3,Paper Mario,N64,9.1,2001-02-05,Role-Playing,Nintendo
107,9.3,NBA 2K2,DC,7.3,2001-10-24,Sports,Sega
108,9.3,The Elder Scrolls IV: Oblivion,PS3,8.0,2007-03-20,Role-Playing,Sony
109,9.3,Gears of War 2,X360,7.7,2008-11-07,Shooter,Microsoft
110,9.3,Fallout 3,X360,8.5,2008-10-28,Role-Playing,Microsoft
111,9.3,Super Smash Bros. Brawl,WII,8.9,2008-03-09,Fighting,Nintendo
112,9.3,Viewtiful Joe,GC,8.3,2003-10-07,Action-Adventure,Nintendo
113,9.3,God of War II,PS2,8.9,2007-03-13,Action-Adventure,Sony
114,9.3,SSX 3,PS2,8.9,2003-10-20,Sports,Sony
115,9.3,World Soccer Winning Eleven 7 International,PS2,8.8,2004-02-17,Sports,Sony
116,9.3,Burnout 3: Takedown,PS2,9.0,2004-09-07,Racing,Sony
117,9.3,World Soccer Winning Eleven 6 International,PS2,8.4,2003-03-11,Sports,Sony
118,9.3,Virtua Fighter 4: Evolution,PS2,8.9,2003-08-13,Fighting,Sony
119,9.3,Tom Clancy's Splinter Cell,XBOX,8.6,2002-11-17,Action-Adventure,Microsoft
120,9.3,Okami,PS2,9.1,2006-09-19,Action-Adventure,Sony
121,9.3,SoulCalibur II,GC,8.8,2003-08-27,Fighting,Nintendo
122,9.3,Grand Theft Auto: San Andreas,XBOX,8.7,2005-06-07,Action-Adventure,Microsoft
123,9.2,Madden NFL 2003,XBOX,8.1,2002-08-12,Sports,Microsoft
124,9.2,Conker's Bad Fur Day,N64,9.1,2001-03-04,Platform,Nintendo
125,9.2,The Witcher 3: Wild Hunt,PS4,9.2,2015-05-19,Role-Playing,Sony
