,metascore,name,console,playerscore,date,genre,brand
6975,6.0,Resistance: Burning Skies,VITA,6.9,2012-05-29,Shooter,Sony
6976,6.0,Dynasty Warriors 6,X360,7.2,2008-02-19,Action-Adventure,Microsoft
6977,6.0,Defiance,X360,7.2,2013-04-02,Action-Adventure,Microsoft
6978,6.0,MicroBot,X360,6.4,2010-12-29,Shooter,Microsoft
6979,6.0,Ryse: Son of Rome,XONE,6.2,2013-11-22,Action-Adventure,Microsoft
6980,6.0,Final Exam,PS3,4.8,2013-11-05,Action-Adventure,Sony
6981,6.0,Captain America: Super Soldier,X360,6.4,2011-07-19,Action-Adventure,Microsoft
6982,6.0,Dungeon Explorer: Warriors of Ancient Arts,DS,0.0,2008-02-19,Role-Playing,Nintendo
6983,6.0,Wild Earth: African Safari,WII,0.0,2008-04-22,Simulation,Nintendo
6984,6.0,Populous DS,DS,0.0,2008-11-10,Strategy,Nintendo
6985,6.0,Leedmees,X360,0.0,2011-09-07,Puzzle,Microsoft
6986,6.0,Buku Sudoku,X360,0.0,2008-05-28,Puzzle,Microsoft
6987,6.0,Zoo Tycoon 2 DS,DS,5.4,2008-02-04,Strategy,Nintendo
6988,6.0,Obscure: The Aftermath,PS2,8.3,2008-03-25,Action-Adventure,Sony
6989,6.0,Moon Diver,PS3,6.9,2011-03-29,Action-Adventure,Sony
6990,6.0,James Noir's Hollywood Crimes,3DS,6.7,2011-11-01,Action-Adventure,Nintendo
6991,6.0,Jurassic Park: The Game,X360,3.7,2011-11-15,Action-Adventure,Microsoft
6992,6.0,Clive Barker's Jericho,PS3,7.2,2007-10-23,Shooter,Sony
6993,6.0,Sonic Unleashed,X360,7.8,2008-11-20,Platform,Microsoft
6994,6.0,Deadpool,PS4,6.0,2015-11-17,Action-Adventure,Sony
6995,6.0,Harry Potter and the Half-Blood Prince,WII,5.5,2009-06-30,Action-Adventure,Nintendo
6996,6.0,Oh...Sir! The Insult Simulator,PS4,0.0,2017-05-30,Simulation,Sony
6997,6.0,Dead to Rights: Retribution,PS3,6.0,2010-04-27,Shooter,Sony
6998,6.0,NFL GameDay 2003,PS2,0.0,2002-08-12,Sports,Sony
6999,6.0,Chase: Hollywood Stunt Driver,XBOX,7.4,2002-09-25,Racing,Microsoft
7000,6.0,I and Me,Switch,6.6,2017-07-13,Action-Adventure,Nintendo
7001,6.0,Brawlout,Switch,5.6,2017-12-19,Fighting,Nintendo
7002,6.0,Crash: Mind Over Mutant,X360,6.5,2008-10-07,Platform,Microsoft
7003,6.0,Resident Evil 6,PS4,6.8,2016-03-29,Action-Adventure,Sony
7004,6.0,Spider-Man: Friend or Foe,X360,6.5,2007-10-02,Action-Adventure,Microsoft
7005,6.0,Heatseeker,PS2,7.8,2007-05-01,Simulation,Sony
7006,6.0,Kinect Sports Rivals,XONE,5.0,2014-04-08,Sports,Microsoft
7007,6.0,Rogue Trooper Redux,Switch,6.8,2017-10-17,Shooter,Nintendo
7008,6.0,One Piece: Burning Blood,XONE,6.4,2016-05-31,Fighting,Microsoft
7009,6.0,The Spiderwick Chronicles,DS,0.0,2008-02-05,Action-Adventure,Nintendo
7010,6.0,Pac-Man and the Ghostly Adventures 2,X360,6.5,2014-10-14,Platform,Microsoft
7011,6.0,De-formers,PS4,4.2,2017-04-21,Action-Adventure,Sony
7012,5.9,Disney Epic Mickey 2: The Power of Two,X360,5.5,2012-11-18,Platform,Microsoft
7013,5.9,Disney Epic Mickey 2: The Power of Two,PS3,4.2,2012-11-18,Platform,Sony
7014,5.9,Cocoto Platform Jumper,WII,0.0,2009-04-27,Platform,Nintendo
7015,5.9,Squeeballs Party,WII,0.0,2009-10-12,Puzzle,Nintendo
7016,5.9,ColorZ,WII,0.0,2009-09-07,Puzzle,Nintendo
7017,5.9,Tetris Ultimate,XONE,4.3,2014-12-16,Puzzle,Microsoft
7018,5.9,Inazuma Eleven Strikers,WII,7.9,2012-09-28,Sports,Nintendo
7019,5.9,True Crime: New York City,GC,8.4,2005-11-15,Action-Adventure,Nintendo
7020,5.9,Crazy Taxi,X360,7.1,2010-11-24,Racing,Microsoft
7021,5.9,Harry Potter and the Sorcerer's Stone,XBOX,6.7,2003-12-09,Action-Adventure,Microsoft
7022,5.9,MLB SlugFest 2006,XBOX,0.0,2006-06-05,Sports,Microsoft
7023,5.9,Pokemon Mystery Dungeon: Gates to Infinity,3DS,6.2,2013-03-24,Role-Playing,Nintendo
7024,5.9,Tokyo Xtreme Racer DRIFT,PS2,8.6,2006-04-18,Racing,Sony
7025,5.9,Defiance,PS3,6.8,2013-04-02,Action-Adventure,Sony
7026,5.9,Mage Knight: Destiny's Soldier,DS,7.1,2006-09-26,Strategy,Nintendo
7027,5.9,The Fast and the Furious,PS2,6.6,2006-09-26,Racing,Sony
7028,5.9,The Chase: Felix Meets Felicity,DS,0.0,2009-01-27,Action-Adventure,Nintendo
7029,5.9,Kong: The 8th Wonder of the World,GBA,8.5,2005-11-21,Action-Adventure,Nintendo
7030,5.9,Finny the Fish & the Seven Waters,PS2,0.0,2005-05-17,Sports,Sony
7031,5.9,Arc the Lad: End of Darkness,PS2,4.2,2005-06-14,Role-Playing,Sony
7032,5.9,Tony Hawk's Downhill Jam,PS2,7.3,2007-05-08,Sports,Sony
7033,5.9,Rapala Pro Fishing,XBOX,0.0,2004-08-31,Sports,Microsoft
7034,5.9,Asterix & Obelix: Kick Buttix,PS2,7.7,2004-09-14,Action-Adventure,Sony
7035,5.9,Lemmings,PS3,6.7,2006-12-07,Puzzle,Sony
7036,5.9,Disney's Aladdin,GBA,0.0,2004-09-28,Platform,Nintendo
7037,5.9,Starsky & Hutch,GC,0.0,2004-08-24,Racing,Nintendo
