,ID,Year,per_capita,thousand_tons
106,44,2010,4.6,1654
107,44,2012,5.3,1969
108,44,2013,7.4,2802
109,44,2014,6.3,2417
110,48,1975,21.7,5754
111,48,1985,24.5,10194
112,48,1995,26.5,14818
113,48,2005,26.5,19208
114,48,2010,23.2,29266
115,48,2012,20.0,26674
116,48,2013,23.2,31313
117,48,2014,23.0,31338
118,50,1975,0.1,4870
119,50,1985,0.1,10235
120,50,1995,0.2,22816
121,50,2005,0.3,39479
122,50,2010,0.4,59937
123,50,2012,0.4,67506
124,50,2013,0.4,69710
125,50,2014,0.5,73190
126,52,1975,2.3,568
127,52,1985,3.3,847
128,52,1995,3.2,829
129,52,2005,5.0,1353
130,52,2010,5.3,1478
131,52,2012,5.2,1470
132,52,2013,5.1,1448
133,52,2014,4.5,1272
134,112,1995,5.9,60773
135,112,2005,6.0,59167
136,112,2010,6.6,63043
137,112,2012,6.7,63223
138,112,2013,6.7,63769
139,112,2014,6.7,63498
140,56,1975,12.5,122100
141,56,1985,10.6,104473
142,56,1995,11.1,112328
143,56,2005,10.4,108510
144,56,2010,10.2,110824
145,56,2012,8.6,95107
146,56,2013,8.7,96970
147,56,2014,8.3,93351
148,84,1975,1.3,176
149,84,1985,1.1,191
150,84,1995,1.7,378
151,84,2005,1.5,422
152,84,2010,1.7,539
153,84,2012,1.4,477
154,84,2013,1.5,513
155,84,2014,1.4,495
156,204,1975,0.1,444
157,204,1985,0.2,744
158,204,1995,0.2,1327
159,204,2005,0.3,2395
160,204,2010,0.6,5090
161,204,2012,0.6,5471
162,204,2013,0.6,5812
163,204,2014,0.6,6318
164,60,1975,8.5,458
165,60,1985,7.8,451
166,60,1995,8.7,532
167,60,2005,9.1,583
168,60,2010,9.5,609
169,60,2012,7.5,477
170,60,2013,7.3,458
171,60,2014,9.2,576
172,64,1975,0.0,4
173,64,1985,0.1,62
174,64,1995,0.5,249
175,64,2005,0.6,396
176,64,2010,0.7,488
177,64,2012,1.1,818
178,64,2013,1.2,920
179,64,2014,1.3,1001
180,68,1975,0.8,4059
181,68,1985,0.7,4125
182,68,1995,1.3,9850
183,68,2005,1.3,12185
184,68,2010,1.5,15203
185,68,2012,1.8,18793
186,68,2013,1.8,18918
187,68,2014,1.9,20411
191,70,1995,1.0,3429
192,70,2005,4.3,16204
193,70,2010,5.5,21276
194,70,2012,5.8,22259
195,70,2013,5.7,21921
196,70,2014,5.8,22233
197,72,1975,0.2,187
198,72,1985,1.0,1159
199,72,1995,1.9,3047
200,72,2005,2.2,4096
201,72,2010,2.3,4686
202,72,2012,2.0,4232
203,72,2013,2.4,5229
204,72,2014,3.2,7033
205,76,1975,1.4,151165
206,76,1985,1.3,181249
207,76,1995,1.6,258347
208,76,2005,1.9,347309
209,76,2010,2.1,419754
210,76,2012,2.3,470029
211,76,2013,2.5,503677
212,76,2014,2.6,529808
213,92,1975,2.3,26
214,92,1985,3.7,48
215,92,1995,4.7,84
216,92,2005,6.0,132
217,92,2010,6.3,172
218,92,2012,6.1,176
219,92,2013,6.0,176
220,92,2014,6.0,180
221,96,1975,45.2,7081
222,96,1985,11.8,2596
223,96,1995,16.5,4789
224,96,2005,13.8,5005
225,96,2010,20.9,8203
226,96,2012,23.8,9666
227,96,2013,19.0,7803
228,96,2014,21.8,9109
229,100,1975,8.4,73061
230,100,1985,10.0,89541
231,100,1995,6.9,58005
232,100,2005,6.2,47917
233,100,2010,5.9,44114
234,100,2012,6.1,44708
235,100,2013,5.5,39600
236,100,2014,5.9,42416
237,854,1975,0.0,220
238,854,1985,0.1,477
239,854,1995,0.1,627
240,854,2005,0.1,1126
241,854,2010,0.1,1962
242,854,2012,0.1,2629
243,854,2013,0.2,3058
244,854,2014,0.1,2849
245,108,1975,0.0,77
246,108,1985,0.0,231
247,108,1995,0.0,238
248,108,2005,0.0,154
249,108,2010,0.0,213
250,108,2012,0.0,282
251,108,2013,0.0,290
252,108,2014,0.0,440
253,132,1975,0.3,77
254,132,1985,0.3,84
255,132,1995,0.3,121
256,132,2005,0.9,440
257,132,2010,1.1,557
258,132,2012,1.0,506
259,132,2013,1.0,499
260,132,2014,1.0,491
261,116,1975,0.0,73
262,116,1985,0.0,418
263,116,1995,0.1,1551
264,116,2005,0.2,2776
265,116,2010,0.4,5013
266,116,2012,0.4,5456
267,116,2013,0.4,5603
268,116,2014,0.4,6685
269,120,1975,0.1,1162
270,120,1985,0.6,6476
271,120,1995,0.3,4228
272,120,2005,0.2,3696
273,120,2010,0.3,6780
274,120,2012,0.3,6128
275,120,2013,0.3,6773
276,120,2014,0.3,7004
277,124,1975,17.2,397143
278,124,1985,16.3,422079
279,124,1995,16.0,467638
280,124,2005,17.3,557417
281,124,2010,15.7,534671
282,124,2012,14.9,517458
283,124,2013,14.7,517161
284,124,2014,15.1,537193
285,136,1975,4.3,55
286,136,1985,9.4,191
287,136,1995,11.0,363
288,136,2005,9.1,473
289,136,2010,10.1,557
290,136,2012,9.3,535
291,136,2013,9.2,535
292,136,2014,9.2,543
293,140,1975,0.0,103
294,140,1985,0.1,161
295,140,1995,0.1,235
296,140,2005,0.1,235
297,140,2010,0.1,264
298,140,2012,0.1,293
299,140,2013,0.1,297
300,140,2014,0.1,301
301,148,1975,0.0,183
302,148,1985,0.0,180
303,148,1995,0.0,110
304,148,2005,0.0,400
305,148,2010,0.0,517
306,148,2012,0.0,612
307,148,2013,0.0,700
308,148,2014,0.0,730
309,152,1975,2.2,23014
310,152,1985,1.8,21503
311,152,1995,2.9,41745
312,152,2005,3.8,61818
313,152,2010,4.3,72251
314,152,2012,4.7,80975
315,152,2013,4.7,83226
316,152,2014,4.7,82563
317,156,1975,1.2,1145607
318,156,1985,1.9,1966553
319,156,1995,2.8,3320285
320,156,2005,4.5,5896958
321,156,2010,6.5,8776040
322,156,2012,7.4,10028574
323,156,2013,7.5,10258007
324,156,2014,7.5,10291927
325,344,1975,2.5,11019
326,344,1985,4.3,23014
327,344,1995,5.1,31470
328,344,2005,6.5,43872
329,344,2010,5.8,40678
330,344,2012,6.1,43425
331,344,2013,6.3,45005
332,344,2014,6.4,46223
333,446,1975,1.2,297
334,446,1985,2.5,733
335,446,1995,3.1,1232
336,446,2005,3.8,1830
337,446,2010,2.6,1408
338,446,2012,2.3,1313
339,446,2013,2.1,1181
340,446,2014,2.2,1283
341,170,1975,1.5,35896
342,170,1985,1.6,48379
343,170,1995,1.7,59614
344,170,2005,1.4,60946
345,170,2010,1.7,76175
346,170,2012,1.7,79952
347,170,2013,1.9,89625
348,170,2014,1.8,84092
349,174,1975,0.1,33
350,174,1985,0.1,48
351,174,1995,0.1,73
352,174,2005,0.2,139
353,174,2010,0.2,161
354,174,2012,0.2,143
355,174,2013,0.2,176
356,174,2014,0.2,154
357,178,1975,0.7,1100
358,178,1985,0.6,1280
359,178,1995,0.6,1566
360,178,2005,0.3,983
361,178,2010,0.5,1980
362,178,2012,0.7,2970
363,178,2013,0.7,3088
364,178,2014,0.7,3095
365,184,1975,0.8,15
