,ID,Year,Real growth rate,Per capita,In millions
333,56,1995,2.4,28427.0,289571.0
334,56,2005,2.1,36727.0,387356.0
335,56,2010,2.7,44205.0,483548.0
336,56,2015,1.7,40383.0,455838.0
337,56,2016,1.5,41356.0,469739.0
338,56,2017,1.7,43289.0,494764.0
339,84,1985,1.0,1268.0,209.0
340,84,1995,4.2,2834.0,587.0
341,84,2005,3.0,3933.0,1114.0
342,84,2010,3.3,4344.0,1397.0
343,84,2015,3.8,4950.0,1779.0
344,84,2016,-0.5,4960.0,1820.0
345,84,2017,0.5,5077.0,1902.0
346,204,1985,7.5,264.0,1130.0
347,204,1995,10.1,397.0,2345.0
348,204,2005,1.7,602.0,4804.0
349,204,2010,2.1,758.0,6970.0
350,204,2015,6.5,799.0,8454.0
351,204,2016,5.0,788.0,8572.0
352,204,2017,5.0,826.0,9236.0
353,60,1985,4.2,24241.0,1428.0
354,60,1995,5.4,40780.0,2557.0
355,60,2005,1.7,74745.0,4868.0
356,60,2010,-2.5,91516.0,5853.0
357,60,2015,0.4,95006.0,5891.0
358,60,2016,-0.1,98809.0,6093.0
359,60,2017,2.5,102192.0,6269.0
360,64,1985,5.7,369.0,172.0
361,64,1995,6.8,562.0,289.0
362,64,2005,7.1,1247.0,819.0
363,64,2010,11.7,2179.0,1585.0
364,64,2015,6.6,2615.0,2059.0
365,64,2016,8.0,2774.0,2213.0
366,64,2017,6.0,3173.0,2562.0
367,68,1985,-1.0,664.0,4122.0
368,68,1995,4.7,887.0,6715.0
369,68,2005,4.4,1046.0,9549.0
370,68,2010,4.1,1981.0,19650.0
371,68,2015,4.9,3077.0,33000.0
372,68,2016,4.3,3117.0,33941.0
373,68,2017,4.2,3394.0,37509.0
374,70,1995,20.8,529.0,2034.0
375,70,2005,3.9,2968.0,11223.0
376,70,2010,0.9,4615.0,17176.0
377,70,2015,3.1,4584.0,16210.0
378,70,2016,3.1,4809.0,16911.0
379,70,2017,3.0,5181.0,18169.0
380,72,1985,9.2,704.0,838.0
381,72,1995,7.0,3015.0,4731.0
382,72,2005,4.6,5351.0,9931.0
383,72,2010,8.6,6346.0,12787.0
384,72,2015,-1.7,6528.0,14421.0
385,72,2016,4.3,6954.0,15649.0
386,72,2017,2.4,7596.0,17407.0
387,76,1985,7.8,1382.0,187460.0
388,76,1995,4.2,4794.0,778053.0
389,76,2005,3.2,4770.0,891634.0
390,76,2010,7.5,11224.0,2208838.0
391,76,2015,-3.8,8750.0,1802212.0
392,76,2016,-3.5,8634.0,1792800.0
393,76,2017,1.0,9821.0,2055512.0
394,92,1985,1.4,3396.0,45.0
395,92,1995,24.1,21114.0,389.0
396,92,2005,15.5,36802.0,853.0
397,92,2010,-0.1,32183.0,876.0
398,92,2015,0.3,31698.0,955.0
399,92,2016,0.3,31677.0,971.0
400,92,2017,0.5,31917.0,996.0
401,96,1985,-1.5,19712.0,4425.0
402,96,1995,4.5,17650.0,5245.0
403,96,2005,0.4,28923.0,10561.0
404,96,2010,2.6,35267.0,13707.0
405,96,2015,-0.4,30968.0,12930.0
406,96,2016,-2.5,26939.0,11400.0
407,96,2017,1.3,28291.0,12128.0
408,100,1985,2.7,1837.0,16486.0
409,100,1995,2.9,1723.0,14433.0
410,100,2005,7.1,3857.0,29636.0
411,100,2010,1.3,6835.0,50610.0
412,100,2015,3.5,6994.0,50201.0
413,100,2016,3.9,7465.0,53240.0
414,100,2017,3.8,8218.0,58222.0
415,854,1985,8.5,203.0,1569.0
416,854,1995,5.7,238.0,2404.0
417,854,2005,8.7,407.0,5463.0
418,854,2010,8.4,575.0,8980.0
419,854,2015,3.9,575.0,10416.0
420,854,2016,5.9,583.0,10864.0
421,854,2017,6.3,642.0,12325.0
422,108,1985,11.7,249.0,1171.0
423,108,1995,-7.0,168.0,1000.0
424,108,2005,0.9,150.0,1117.0
425,108,2010,5.1,232.0,2032.0
426,108,2015,-0.4,276.0,2811.0
427,108,2016,2.8,277.0,2916.0
428,108,2017,0.0,290.0,3155.0
429,132,1985,8.6,497.0,157.0
430,132,1995,7.5,1434.0,558.0
431,132,2005,6.5,2329.0,1105.0
432,132,2010,1.5,3313.0,1664.0
433,132,2015,1.0,2995.0,1596.0
434,132,2016,4.7,3082.0,1663.0
435,132,2017,4.0,3245.0,1773.0
436,116,1985,4.7,137.0,1059.0
437,116,1995,5.9,311.0,3309.0
438,116,2005,13.2,474.0,6293.0
439,116,2010,6.0,786.0,11242.0
440,116,2015,7.0,1163.0,18050.0
441,116,2016,6.9,1270.0,20017.0
442,116,2017,7.0,1382.0,22121.0
443,120,1985,2.4,955.0,9597.0
444,120,1995,3.5,716.0,9641.0
445,120,2005,2.0,1030.0,17944.0
446,120,2010,3.4,1309.0,26144.0
447,120,2015,5.7,1353.0,30905.0
448,120,2016,4.6,1392.0,32618.0
449,120,2017,3.5,1452.0,34924.0
450,124,1985,4.7,14098.0,364761.0
451,124,1995,2.7,20594.0,604014.0
452,124,2005,3.2,36218.0,1169393.0
453,124,2010,3.1,47221.0,1613463.0
454,124,2015,1.0,43186.0,1552523.0
455,124,2016,1.4,42077.0,1526954.0
456,124,2017,3.0,44974.0,1647120.0
457,136,1985,3.5,21544.0,416.0
458,136,1995,4.8,40930.0,1296.0
459,136,2005,6.5,62559.0,3042.0
460,136,2010,-2.7,58859.0,3267.0
461,136,2015,2.8,62592.0,3753.0
462,136,2016,3.5,64179.0,3900.0
463,136,2017,2.3,65472.0,4030.0
464,140,1985,3.3,344.0,905.0
465,140,1995,5.2,348.0,1167.0
466,140,2005,2.4,342.0,1413.0
467,140,2010,3.6,457.0,2034.0
468,140,2015,4.8,359.0,1632.0
469,140,2016,4.5,394.0,1810.0
470,140,2017,4.3,428.0,1993.0
471,148,1985,7.9,194.0,987.0
472,148,1995,1.4,235.0,1643.0
473,148,2005,7.9,664.0,6681.0
474,148,2010,15.0,923.0,10970.0
475,148,2015,3.8,838.0,11733.0
476,148,2016,-2.7,758.0,10953.0
477,148,2017,-3.1,719.0,10717.0
478,152,1985,2.0,1559.0,18985.0
479,152,1995,10.6,5253.0,75099.0
480,152,2005,6.2,7615.0,122965.0
481,152,2010,5.8,12860.0,218538.0
482,152,2015,2.3,13737.0,243999.0
483,152,2016,1.3,13961.0,250036.0
484,152,2017,1.5,15347.0,277081.0
485,156,1985,13.4,289.0,309839.0
486,156,1995,11.0,592.0,734485.0
487,156,2005,11.4,1730.0,2285960.0
488,156,2010,10.6,4487.0,6100648.0
489,156,2015,6.9,7920.0,11064687.0
490,156,2016,6.7,7974.0,11191030.0
491,156,2017,6.9,8682.0,12237782.0
492,344,1985,0.8,6688.0,35700.0
493,344,1995,2.4,23559.0,144652.0
494,344,2005,7.4,26593.0,181569.0
