YearMonthDay,usertype,tripduration
2014-10-13,818,237.28483277777775
2014-10-14,982,306.1037277777778
2014-10-15,626,133.43965000000006
2014-10-16,790,222.39089222222216
2014-10-17,588,149.37024166666654
2014-10-18,798,325.78661222222195
2014-10-19,1332,684.8710277777778
2014-10-20,778,206.56126388888904
2014-10-21,714,177.49454055555557
2014-10-22,282,63.86777833333335
2014-10-23,676,171.93412222222227
2014-10-24,860,240.54234722222216
2014-10-25,432,133.0304394444445
2014-10-26,504,172.84314555555562
2014-10-27,734,182.22648722222203
2014-10-28,470,125.4982211111111
2014-10-29,880,195.3422344444446
2014-10-30,454,82.03300611111113
2014-10-31,452,88.22594388888892
2014-11-01,876,331.38392944444445
2014-11-02,662,255.2987505555556
2014-11-03,474,83.93861555555559
2014-11-04,770,142.72762166666672
2014-11-05,592,113.246415
2014-11-06,512,117.68315388888897
2014-11-07,690,177.52062166666656
2014-11-08,1058,473.63257055555613
2014-11-09,474,179.2980733333334
2014-11-10,784,265.4518711111111
2014-11-11,540,127.60474499999995
2014-11-12,592,135.09986000000004
2014-11-13,636,191.24784333333355
2014-11-14,534,141.53499055555554
2014-11-15,490,194.2601700000001
2014-11-16,378,102.52569611111106
2014-11-17,558,133.77800611111104
2014-11-18,586,119.80449444444444
2014-11-19,682,199.64327222222198
2014-11-20,468,91.27225222222222
2014-11-21,318,77.4266977777778
2014-11-22,480,188.27606055555563
2014-11-23,414,142.3000033333334
2014-11-24,434,94.7614727777778
2014-11-25,348,96.60427111111116
2014-11-26,580,186.63215888888882
2014-11-27,244,76.35009888888884
2014-11-28,124,24.86348555555555
2014-11-29,126,29.18795333333331
2014-11-30,222,48.51418166666664
2014-12-01,410,97.27489944444446
2014-12-02,442,95.18717611111106
2014-12-03,504,86.88487111111108
2014-12-04,454,90.32330611111105
2014-12-05,418,88.89095444444453
2014-12-06,298,81.23842333333336
2014-12-07,348,127.66310444444446
2014-12-08,410,93.47185833333336
2014-12-09,472,115.36281166666667
2014-12-10,342,70.62949222222225
2014-12-11,370,79.42764111111113
2014-12-12,498,92.252183888889
2014-12-13,416,145.7989955555557
2014-12-14,368,248.68891222222214
2014-12-15,476,97.05130111111107
2014-12-16,492,116.78777888888882
2014-12-17,382,64.16006944444443
2014-12-18,330,52.368876666666694
2014-12-19,600,126.32324666666663
2014-12-20,156,29.022262222222235
2014-12-21,282,95.66946833333336
2014-12-22,518,186.98004444444442
2014-12-23,254,36.6511688888889
2014-12-24,258,52.171062777777806
2014-12-25,298,236.4771455555555
2014-12-26,390,153.27867777777763
2014-12-27,238,82.74389611111113
2014-12-28,266,101.02026166666663
2014-12-29,352,67.61337
2014-12-30,348,122.79136055555554
2014-12-31,272,60.350225000000044
2015-01-01,328,133.5528477777778
2015-01-02,272,50.495997222222215
2015-01-03,302,116.91095555555549
2015-01-04,102,29.819203888888886
2015-01-05,360,62.47359222222219
2015-01-06,574,118.35738888888889
2015-01-07,630,115.78788277777785
2015-01-08,666,159.9537222222223
2015-01-09,596,120.23204277777775
2015-01-10,266,72.60293499999997
2015-01-11,202,65.0981694444445
2015-01-12,562,96.6346911111112
2015-01-13,592,115.51565666666667
2015-01-14,560,134.11367555555557
2015-01-15,412,67.65009444444445
2015-01-16,618,170.92362222222212
2015-01-17,262,78.36936555555548
2015-01-18,176,58.77064666666666
2015-01-19,546,167.51023611111106
2015-01-20,640,130.43206833333332
2015-01-21,600,121.27178111111101
2015-01-22,552,106.92638555555558
2015-01-23,428,99.47147777777778
2015-01-24,460,154.02114555555565
2015-01-25,524,253.74251888888875
2015-01-26,634,152.40387611111106
2015-01-27,498,94.10936222222223
2015-01-28,672,162.0879144444444
2015-01-29,640,133.48064277777766
2015-01-30,614,147.2368472222223
2015-01-31,448,132.70668722222217
2015-02-01,252,91.46946000000004
2015-02-02,364,60.842128333333356
2015-02-03,484,82.52072611111105
2015-02-04,424,87.50710888888884
2015-02-05,344,60.94576944444444
2015-02-06,372,76.48477388888897
2015-02-07,244,54.83813500000003
2015-02-08,358,158.52961888888902
2015-02-09,504,101.61370111111111
2015-02-10,574,111.43916999999988
2015-02-11,612,106.41258111111108
2015-02-12,650,132.73337611111114
2015-02-13,768,193.59895611111102
2015-02-14,774,426.7502627777775
2015-02-15,642,447.6053616666668
2015-02-16,498,182.09246888888882
2015-02-17,680,219.59402555555576
2015-02-18,612,130.87675166666682
2015-02-19,488,108.25933500000006
2015-02-20,520,117.98352277777781
2015-02-21,762,388.1737744444447
2015-02-22,496,220.332445
2015-02-23,546,184.11920444444442
2015-02-24,560,109.66888722222231
2015-02-25,412,64.4105955555556
2015-02-26,554,106.07757888888894
2015-02-27,436,90.8279500000001
2015-02-28,730,437.27345166666714
2015-03-01,492,305.4640705555552
2015-03-02,564,115.0467216666667
2015-03-03,592,120.6184483333333
2015-03-04,654,146.43634611111108
2015-03-05,564,136.0689294444446
2015-03-06,702,175.86359888888893
2015-03-07,924,496.10967277777723
2015-03-08,834,495.5652583333336
2015-03-09,638,188.1513594444445
2015-03-10,748,151.3556599999998
2015-03-11,620,150.69649944444456
2015-03-12,832,224.8527305555557
2015-03-13,728,239.19198722222217
2015-03-14,492,178.209266111111
2015-03-15,68,12.584014444444446
2015-03-16,608,173.40117722222215
2015-03-17,638,143.89013888888886
2015-03-18,718,238.80950277777782
2015-03-19,742,212.33052055555564
2015-03-20,604,141.91142222222223
2015-03-21,628,293.7640088888889
2015-03-22,374,109.14605888888883
2015-03-23,478,92.26360722222218
2015-03-24,722,183.44807388888876
2015-03-25,548,111.08632555555552
